"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"AATE006054";"KI421900";1369809;1371293;-1
"AATE006177";"KI421900";1245601;1249194;1
"AATE006189";"KI421894";4460662;4462054;1
"AATE006192";"KI421894";3358285;3361126;-1
"AATE006236";"KI421900";1023020;1024303;-1
"AATE006311";"KI421900";1815722;1816585;1
"AATE006332";"KI421894";4009937;4019326;-1
"AATE006338";"KI421894";4917532;4930270;1
"AATE006399";"KI421900";1427785;1432031;1
"AATE006442";"KI421900";1069729;1072654;-1
"AATE006504";"KI421894";4511524;4526595;-1
"AATE006577";"KI421900";2939563;2955391;-1
"AATE006602";"KI421894";4484174;4486845;-1
"AATE007011";"KI421894";65043;67961;1
"AATE007043";"KI421900";1532064;1538442;1
"AATE007111";"KI421894";4440142;4441658;-1
"AATE007454";"KI421894";5420924;5437083;1
"AATE007499";"KI421894";151194;151862;1
"AATE007542";"KI421922";438922;449601;-1
"AATE007621";"KI421900";1111997;1116144;1
"AATE007628";"KI421924";216861;220325;1
"AATE007637";"KI421900";1987470;1990768;-1
"AATE007662";"KI421894";47034;55167;1
"AATE007670";"KI421894";5474877;5476332;-1
"AATE007697";"KI421900";2794263;2802712;1
"AATE007797";"KI421900";1809899;1810864;1
"AATE007826";"KI421894";2556361;2570626;-1
"AATE007843";"KI421894";2015802;2022117;-1
"AATE007874";"KI421894";4621699;4622677;1
"AATE008026";"KI421900";2857872;2859755;1
"AATE008072";"KI421900";1540591;1546204;1
"AATE008190";"KI421894";3719718;3722489;-1
"AATE008286";"KI421900";1196906;1202488;1
"AATE008296";"KI421894";3235210;3236127;1
"AATE008299";"KI421900";74820;77291;-1
"AATE008317";"KI421894";158068;164982;1
"AATE008484";"KI421894";3615045;3616702;1
"AATE008497";"KI421894";2182898;2184704;-1
"AATE008558";"KI421894";2342041;2351303;-1
"AATE008600";"KI421894";1617984;1620013;1
"AATE008788";"KI421894";1118889;1131457;-1
"AATE008822";"KI421894";4836254;4868088;-1
"AATE008949";"KI421894";2647486;2648102;-1
"AATE008972";"KI421894";77054;81222;1
"AATE009040";"KI421894";2457997;2466584;1
"AATE009132";"KI421900";1310782;1336813;1
"AATE009159";"KI421900";312326;319174;1
"AATE009177";"KI421894";3976785;3977782;-1
"AATE009193";"KI421894";4968938;4971825;-1
"AATE009233";"KI421894";1705299;1709840;-1
"AATE009331";"KI421900";1766665;1769764;-1
"AATE009553";"KI421894";1140247;1141516;-1
"AATE009555";"KI421894";271723;276167;1
"AATE009573";"KI421894";2445119;2453772;-1
"AATE009692";"KI421894";3608640;3611569;1
"AATE009753";"KI421894";1616090;1617374;-1
"AATE009761";"KI421900";2823527;2835575;1
"AATE009823";"KI421894";459;2340;-1
"AATE009918";"KI421894";125229;140067;1
"AATE009944";"KI421894";2629;4478;1
"AATE010121";"KI421900";3532677;3533547;-1
"AATE010271";"KI421894";3667565;3676921;-1
"AATE010427";"KI421924";84370;91264;1
"AATE010468";"KI421900";3275576;3284426;1
"AATE010593";"KI421894";4201482;4205482;1
"AATE010647";"KI421900";2843293;2851940;1
"AATE010733";"KI421894";2669287;2670918;1
"AATE010804";"KI421900";1117182;1127011;-1
"AATE010819";"KI421900";1633709;1647768;1
"AATE010896";"KI421894";1551235;1555712;-1
"AATE010919";"KI421922";111351;121586;1
"AATE011099";"KI421894";2419561;2435611;-1
"AATE011237";"KI421900";492980;506423;-1
"AATE011301";"KI421894";1527469;1533365;1
"AATE011303";"KI421894";60193;64430;-1
"AATE011358";"KI421900";1205314;1216746;1
"AATE011634";"KI421900";2332348;2338732;1
"AATE011648";"KI421900";1512912;1516124;-1
"AATE011682";"KI421894";1532936;1541626;-1
"AATE011740";"KI421900";1128869;1135847;1
"AATE011863";"KI421894";1637673;1654359;-1
"AATE011953";"KI421894";2209980;2211887;-1
"AATE012061";"KI421894";5481076;5491145;-1
"AATE012066";"KI421900";1937940;1943559;1
"AATE012085";"KI421894";5013471;5048368;-1
"AATE012194";"KI421900";2809574;2814188;1
"AATE012214";"KI421894";2936591;2939880;-1
"AATE012242";"KI421894";1598186;1600066;1
"AATE012261";"KI421894";3214960;3226717;-1
"AATE012309";"KI421900";1099933;1109256;1
"AATE012333";"KI421894";3473729;3478356;1
"AATE012402";"KI421894";4626473;4635139;-1
"AATE012452";"KI421894";5120271;5128685;1
"AATE012512";"KI421894";2191812;2204288;-1
"AATE012627";"KI421894";4494418;4497217;1
"AATE012698";"KI421894";2003045;2008149;-1
"AATE012710";"KI421894";2360511;2368280;1
"AATE012894";"KI421900";32178;36785;-1
"AATE012926";"KI421894";2317241;2322142;1
"AATE012935";"KI421894";3158612;3212433;-1
"AATE013052";"KI421900";203826;209022;-1
"AATE013137";"KI421894";3251910;3259424;1
"AATE013144";"KI421894";3611650;3613229;-1
"AATE013150";"KI421894";1545987;1548971;-1
"AATE013191";"KI421900";3508313;3512630;-1
"AATE013198";"KI421900";2956043;2956643;1
"AATE013424";"KI421900";1216978;1219639;-1
"AATE013500";"KI421894";3722961;3725964;1
"AATE013612";"KI421894";2381988;2403609;1
"AATE013620";"KI421900";1304561;1310759;1
"AATE013672";"KI421894";5268399;5277161;-1
"AATE013741";"KI421894";3757153;3766382;-1
"AATE013811";"KI421894";3324734;3330415;-1
"AATE013823";"KI421900";1292841;1296910;-1
"AATE013921";"KI421894";5532820;5535833;1
"AATE013954";"KI421900";1456685;1463833;1
"AATE014040";"KI421894";4723482;4735837;1
"AATE014060";"KI421894";3299673;3312466;-1
"AATE014068";"KI421894";2153322;2182178;1
"AATE014109";"KI421894";257636;270200;-1
"AATE014119";"KI421894";5377675;5388649;1
"AATE014126";"KI421894";4048775;4057565;-1
"AATE014193";"KI421894";1565304;1570249;-1
"AATE014292";"KI421900";1237002;1240931;-1
"AATE014324";"KI421900";1354726;1356751;1
"AATE014433";"KI421894";3212837;3214978;1
"AATE014445";"KI421894";1489177;1492430;1
"AATE014533";"KI421900";3171907;3192276;-1
"AATE014604";"KI421900";181310;199976;1
"AATE014645";"KI421894";4602444;4615169;1
"AATE014683";"KI421894";2338140;2339313;1
"AATE014733";"KI421894";3295554;3298023;1
"AATE014879";"KI421894";3516711;3531706;1
"AATE014920";"KI421894";1498686;1509411;-1
"AATE014931";"KI421894";318793;322432;-1
"AATE015019";"KI421894";4980999;4985998;1
"AATE015054";"KI421894";2121249;2125121;1
"AATE015154";"KI421894";1493274;1497905;1
"AATE015356";"KI421900";1710980;1711395;-1
"AATE015365";"KI421900";3094797;3101415;-1
"AATE015396";"KI421894";3505594;3514601;-1
"AATE015413";"KI421900";1011462;1015627;-1
"AATE015484";"KI421900";1219736;1230964;1
"AATE015504";"KI421894";3231190;3234824;-1
"AATE015527";"KI421900";3336314;3338330;1
"AATE015556";"KI421900";1248819;1253324;-1
"AATE015564";"KI421900";15523;18212;1
"AATE015696";"KI421900";2340089;2347659;-1
"AATE015735";"KI421900";3394072;3396378;1
"AATE015801";"KI421894";3289604;3290798;-1
"AATE015851";"KI421894";3285580;3286284;-1
"AATE015852";"KI421900";1765196;1766644;1
"AATE015910";"KI421900";749156;751029;-1
"AATE016034";"KI421894";5301157;5303203;1
"AATE016103";"KI421894";2527163;2529003;1
"AATE016152";"KI421894";1165746;1174153;1
"AATE016229";"KI421894";5219104;5231985;-1
"AATE016235";"KI421894";4930691;4937274;-1
"AATE016319";"KI421900";3051373;3067887;1
"AATE016328";"KI421894";3617503;3619160;-1
"AATE016362";"KI421894";2098938;2099472;1
"AATE016582";"KI421894";166757;168824;-1
"AATE016702";"KI421900";1381637;1401229;1
"AATE016740";"KI421900";3139389;3141932;-1
"AATE016752";"KI421900";893358;906656;-1
"AATE016802";"KI421900";3340;7561;1
"AATE016936";"KI421900";752561;759637;-1
"AATE016945";"KI421900";1222107;1228633;-1
"AATE016948";"KI421900";727753;750037;1
"AATE017022";"KI421894";362523;362870;-1
"AATE017109";"KI421922";374412;379422;-1
"AATE017272";"KI421900";1424266;1427243;-1
"AATE017453";"KI421894";3332488;3335343;-1
"AATE017705";"KI421894";3372563;3386306;1
"AATE017754";"KI421900";1072334;1076754;1
"AATE017912";"KI421894";2351772;2355570;1
"AATE017970";"KI421894";1112339;1115257;-1
"AATE018040";"KI421894";5538119;5540812;-1
"AATE018053";"KI421894";3335841;3346299;1
"AATE018073";"KI421900";1045503;1047911;1
"AATE018206";"KI421900";1990852;1995606;1
"AATE018219";"KI421894";5102874;5108420;1
"AATE018266";"KI421900";415647;426476;-1
"AATE018343";"KI421894";3539051;3553170;-1
"AATE018375";"KI421894";3411596;3413627;1
"AATE018486";"KI421900";7237;11874;-1
"AATE018497";"KI421900";608553;611611;-1
"AATE018517";"KI421894";3710090;3711316;-1
"AATE018537";"KI421900";3119785;3130360;-1
"AATE018612";"KI421894";3755168;3756673;-1
"AATE018769";"KI421900";288973;291337;-1
"AATE018815";"KI421894";4541987;4551439;1
"AATE018858";"KI421900";1817651;1820457;-1
"AATE019312";"KI421900";3441656;3442487;-1
"AATE019327";"KI421900";3353267;3364519;1
"AATE019447";"KI421894";3227659;3230924;1
"AATE019516";"KI421894";2340112;2341361;1
"AATE019607";"KI421900";819431;829111;-1
"AATE019636";"KI421894";437981;443767;-1
"AATE019747";"KI421900";722597;726459;1
"AATE019754";"KI421894";111317;118259;-1
"AATE019794";"KI421900";3453350;3453632;-1
"AATE019882";"KI421894";3718214;3720714;1
"AATE019977";"KI421900";3221700;3223806;1
"AATE020016";"KI421900";2911559;2917276;-1
"AATE020047";"KI421900";18198;22065;-1
"AATE020285";"KI421894";4798012;4810951;1
"AATE020438";"KI421894";1108752;1109714;1
"AATE020467";"KI421900";686625;700222;-1
"AATE020567";"KI421894";3661206;3664825;-1
"AATE020656";"KI421894";3424813;3450605;1
"AATE020743";"KI421900";2140166;2146384;-1
"AATE020830";"KI421900";1300128;1303344;1
"AATE020844";"KI421900";2405226;2407756;-1
"AATE020858";"KI421900";3134737;3139514;1
"AATE020862";"KI421894";1521835;1523160;-1
"AATE020939";"KI421900";1812012;1815070;-1
"AATE020995";"KI421894";140787;150490;1
"AATE021017";"KI421894";4720859;4722840;-1
"AATE021022";"KI421894";270699;271309;-1
"AATE021100";"KI421894";4292640;4294628;-1
"AATE021139";"KI421894";1623856;1637332;1
"AATE021162";"KI421900";2965461;2978951;-1
