Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Anopheles atroparvus gene stable ID,Anopheles atroparvus chromosome/scaffold,Anopheles atroparvus start (bp),Anopheles atroparvus end (bp),Anopheles gambiae gene stable ID,Anopheles gambiae chromosome/scaffold,Anopheles gambiae start (bp),Anopheles gambiae end (bp)
AALB001099,2L,5911847,5912313,-1,,,,,,,,
AALB008365,2R,28395362,28395747,-1,,,,,AGAP002445,2R,21511763,21512161
AALB008365,2R,28395362,28395747,-1,,,,,AGAP002641,2R,24889907,24890303
AALB014085,2L,9160271,9160659,1,,,,,,,,
AALB010723,3R,18129143,18133977,-1,AATE019195,KI421887,3198332,3202641,AGAP010754,3L,9841645,9847734
AALB000743,2L,12465296,12467796,1,,,,,,,,
AALB004993,3L,17968271,17968713,-1,,,,,AGAP005051,2L,8823859,8824648
AALB004993,3L,17968271,17968713,-1,,,,,AGAP012825,UNKN,32088458,32088931
AALB010214,3R,10251255,10255089,-1,,,,,,,,
AALB005980,3L,30040070,30046030,1,AATE015480,KI421884,12691981,12696693,AGAP007400,2L,46321640,46323714
AALB001289,2R,51786604,51788813,1,,,,,,,,
AALB001391,2L,36605844,36616318,1,AATE010001,KI421882,20051764,20061981,AGAP007942,3R,3231275,3241585
AALB003417,2R,42360726,42361153,1,AATE010308,KI421883,4650902,4651355,AGAP002936,2R,29851715,29852735
AALB002095,2R,22495483,22498053,-1,AATE016285,KI421885,5120414,5124909,,,,
AALB007338,3L,1237152,1238026,1,AATE020745,KI421886,3271615,3273754,,,,
AALB014776,2R,28571058,28572931,1,,,,,,,,
AALB000233,2L,21481357,21483123,1,AATE011917,KI421889,9033156,9037671,AGAP007757,3R,315137,316697
AALB001360,2L,36845664,36848579,1,AATE009254,KI421882,19560277,19563375,AGAP007874,3R,2414347,2417389
AALB004568,3L,11681495,11682653,1,AATE019353,KI421884,5244479,5245667,AGAP006029,2L,25447418,25448405
AALB009762,3R,2759365,2761091,1,AATE000346,KI421901,2983368,2986230,AGAP028108,3L,36664129,36666255
AALB009762,3R,2759365,2761091,1,AATE000346,KI421901,2983368,2986230,AGAP028157,3L,36653861,36655980
AALB009762,3R,2759365,2761091,1,AATE019105,AXCP01008018,297,1386,AGAP028108,3L,36664129,36666255
AALB009762,3R,2759365,2761091,1,AATE019105,AXCP01008018,297,1386,AGAP028157,3L,36653861,36655980
AALB001536,2L,34718349,34722056,1,AATE003275,KI421882,15096804,15110528,AGAP009929,3R,45417820,45421670
AALB010305,3R,11794826,11802946,-1,AATE003865,KI421886,8472533,8478785,AGAP000427,X,7623631,7631249
AALB007315,3L,571828,577069,-1,AATE011067,KI421886,4380489,4382903,AGAP004944,2L,6544141,6546511
AALB008174,2R,31039766,31044272,1,AATE011541,KI421888,7710656,7720729,AGAP013479,2R,46320056,46321262
AALB010640,3R,16938737,16939897,1,AATE018578,KI421901,1772603,1773732,,,,
AALB010573,3R,15785499,15793570,-1,AATE003948,KI421887,430813,445566,AGAP011208,3L,19385972,19394415
AALB008495,3R,23490309,23490983,1,AATE013760,KI421893,6256169,6256714,,,,
AALB002477,2R,13659637,13676389,-1,AATE003335,KI421897,217667,228453,AGAP001566,2R,6307926,6324138
AALB004586,3L,11825659,11827247,-1,AATE015319,KI421905,724685,727180,AGAP004908,2L,5802380,5809666
AALB014436,3L,11751198,11751520,-1,,,,,,,,
AALB006109,3L,31560937,31565210,-1,AATE019615,KI421886,5006520,5009078,AGAP005761,2L,20336663,20340021
AALB005973,3L,29905587,29906876,-1,AATE013661,KI421884,12529088,12530912,AGAP007419,2L,46530460,46532416
AALB005779,3L,27611403,27612712,1,AATE009928,KI421884,6168202,6170761,AGAP005973,2L,24337687,24341502
AALB005574,3L,24969763,24970203,1,AATE003587,KI421905,1097635,1098045,AGAP007220,2L,44384829,44389094
AALB002499,2R,13491924,13492959,-1,AATE012969,KI421892,2968813,2969846,AGAP003773,2R,43149729,43150647
AALB002407,2R,14492341,14501504,-1,AATE012603,KI421883,7038464,7040451,AGAP003026,2R,31234647,31236284
AALB009850,3R,3616701,3617330,-1,AATE010674,KI421902,1911405,1912263,AGAP010502,3L,5064690,5065514
AALB007106,3R,26716442,26725526,1,AATE008140,KI421893,6840771,6848365,AGAP011726,3L,32456394,32457802
AALB008320,2R,28898288,28899237,1,AATE019692,KI421908,1174759,1180153,AGAP013140,2R,58532787,58533305
AALB004157,3L,4807536,4815752,-1,AATE008940,KI421886,6649742,6679687,AGAP005714,2L,19419184,19473933
AALB015263,3R,1158265,1158324,-1,,,,,,,,
AALB015410,2R,19886710,19886781,1,,,,,,,,
AALB008005,2L,2424667,2432484,1,AATE016393,KI421889,8252771,8270746,AGAP007791,3R,888097,910032
AALB000917,2L,9773155,9774750,1,AATE004570,KI421889,1377375,1379227,AGAP008661,3R,14565312,14566901
AALB007169,2R,17542479,17545182,1,AATE002066,KI421888,3118344,3120194,AGAP002484,2R,21883063,21884163
AALB010528,3R,15172810,15175715,1,,,,,,,,
AALB005892,3L,28881496,28883236,-1,AATE013102,KI421886,980817,982954,AGAP005137,2L,10381740,10384703
AALB005464,3L,23905201,23906372,1,,,,,AGAP007714,2L,49198624,49199851
AALB003718,3R,90483,93773,1,AATE009035,KI421887,9730035,9732323,AGAP012390,3L,41693522,41695667
AALB005390,3L,23105862,23109838,1,,,,,,,,
AALB000550,2L,15677570,15680537,-1,AATE000276,KI421890,441745,444624,AGAP009009,3R,23502180,23506525
AALB014984,3R,16493238,16493833,1,,,,,,,,
AALB010685,3R,17726209,17727810,1,,,,,,,,
AALB015769,3L,12320686,12362090,1,,,,,AGAP007012,2L,40918279,40939517
AALB001363,2L,36828372,36829132,-1,AATE014696,KI421882,19579768,19581289,,,,
AALB003250,3L,2766358,2768430,-1,AATE018699,KI421884,1958905,1963904,AGAP006261,2L,28743187,28746274
AALB009059,2R,6232102,6235707,1,AATE013145,KI421885,10630442,10634919,AGAP002340,2R,20284397,20288304
AALB009966,3R,5706785,5707376,1,AATE005478,KI421899,2962121,2970130,AGAP012220,3L,38993185,38999808
AALB009914,3R,4517717,4537817,-1,AATE020154,KI421893,1628729,1654887,AGAP011034,3L,15299371,15318611
AALB002087,2R,22769084,22769839,-1,AATE010532,AXCP01008350,4685,6395,,,,
AALB015712,2L,36192238,36195581,1,,,,,AGAP007916,3R,2782414,2785612
AALB000501,2L,16766604,16783623,-1,AATE002891,KI421889,3320582,3334533,AGAP009568,3R,36348849,36362340
AALB001142,2L,5162068,5164234,-1,AATE009348,KI421882,15414561,15444379,AGAP009899,3R,45088535,45090088
AALB001416,2L,36200282,36202628,1,AATE006505,KI421882,19660867,19662330,AGAP007889,3R,2534851,2537491
AALB003639,2R,39073630,39075109,1,AATE018536,KI421902,1726047,1727609,AGAP010507,3L,5238515,5239942
AALB014235,2R,14147236,14149050,1,,,,,,,,
AALB000731,2L,12623011,12624051,1,AATE012522,KI421889,7434164,7435901,AGAP009618,3R,37048121,37048840
AALB005627,3L,25742142,25742948,1,AATE009563,KI421884,238261,241532,,,,
AALB000398,2L,18650464,18651864,1,,,,,,,,
AALB007375,3R,27816912,27818844,1,AATE014084,KI421910,294117,296551,,,,
AALB010848,3R,20548191,20548634,1,AATE006531,KI421887,1649104,1649565,,,,
AALB007114,3R,26838786,26839643,-1,AATE003545,KI421887,2634515,2640314,AGAP028414,3L,25248891,25249652
AALB008598,2R,47790540,47791169,-1,AATE008511,KI421885,9143269,9144582,AGAP013091,2R,6144546,6146226
AALB008598,2R,47790540,47791169,-1,AATE008511,KI421885,9143269,9144582,AGAP013236,2R,6142942,6144348
AALB000790,2L,11730612,11734549,1,AATE001492,KI421882,7733662,7738070,AGAP009763,3R,42470964,42474047
AALB015793,2R,44696091,44697067,1,AATE008623,KI421892,6396241,6399081,AGAP003712,2R,42302848,42328110
AALB009216,2R,3877923,3879081,-1,,,,,AGAP001270,2R,2146078,2147348
AALB005647,3L,25932612,25936091,-1,AATE004196,KI421886,1885374,1890019,AGAP007204,2L,44280294,44284218
AALB001904,2L,27918412,27924596,-1,AATE007650,KI421889,2688122,2729640,AGAP013759,3R,1860522,1973364
AALB000126,2L,23722512,23722841,1,,,,,,,,
AALB007263,2R,16273557,16287359,-1,AATE006152,KI421883,12416133,12430045,AGAP003967,2R,47212045,47227325
AALB009822,3R,3307500,3308604,-1,,,,,,,,
AALB008284,2R,29595190,29597265,1,,,,,,,,
AALB009131,2R,5068087,5070295,1,AATE009213,KI421888,8115696,8118139,AGAP001546,2R,6091797,6094114
AALB003841,3R,1581333,1590044,-1,AATE018747,KI421887,5467631,5516091,AGAP011618,3L,29911377,29968350
AALB002152,2R,21224396,21225259,-1,AATE018999,KI421888,9046257,9047120,AGAP004130,2R,50520138,50521031
AALB009100,2R,5505072,5507249,1,AATE013995,KI421883,6436400,6438361,AGAP002993,2R,30668927,30670840
AALB008001,2L,2290955,2292222,1,AATE019731,KI421889,8635428,8640749,,,,
AALB002513,2R,13343571,13357236,-1,AATE008358,KI421892,3137375,3153481,AGAP003789,2R,43312816,43324328
AALB002513,2R,13343571,13357236,-1,AATE008358,KI421892,3137375,3153481,AGAP012547,UNKN,14534204,14536327
AALB001513,2L,34995853,34997421,1,AATE018498,KI421890,5356413,5357961,AGAP008146,3R,6153069,6154609
AALB001923,2L,27692200,27699285,-1,AATE017649,KI421882,4916953,4926126,AGAP008036,3R,4773670,4781794
AALB005375,3L,22952966,22954809,-1,,,,,AGAP006708,2L,37117085,37117629
AALB004869,3L,16471223,16472291,1,AATE003765,KI421894,5114487,5115472,AGAP005260,2L,13356664,13357456
AALB015541,3R,391283,392345,-1,AATE012275,KI421887,7951586,7952787,AGAP011917,3L,35126950,35127906
AALB005935,3L,29398079,29403434,1,,,,,,,,
AALB005489,3L,24190377,24191666,-1,AATE003196,KI421905,1983620,1988155,AGAP007301,2L,45099802,45127857
AALB004591,3L,11846348,11847824,1,AATE014437,KI421886,459836,461230,AGAP006926,2L,40078617,40079751
AALB009696,2R,25485279,25488916,-1,AATE005183,KI421892,850641,854735,AGAP003572,2R,39970692,39982952
AALB009696,2R,25485279,25488916,-1,AATE010050,KI421892,857647,863730,AGAP003572,2R,39970692,39982952
AALB014868,2R,383859,386825,-1,,,,,,,,
AALB003203,3L,1959026,1959871,1,AATE001086,KI421891,7290661,7291497,AGAP005182,2L,11685185,11686024
AALB001260,3R,31338471,31340988,-1,,,,,,,,
AALB005011,3L,18355845,18359143,-1,AATE013589,KI421886,5611959,5614981,AGAP007048,2L,41648960,41651846
AALB004153,3L,4686455,4688991,-1,AATE018184,KI421886,6789800,6793275,AGAP005712,2L,19277265,19282704
AALB001377,2L,36684453,36691009,-1,,,,,AGAP013719,3R,2576518,2583151
AALB007203,2R,17167243,17168301,1,,,,,,,,
AALB015663,2R,13421094,13421790,1,AATE016905,KI421892,3052127,3052938,AGAP028486,2R,43240817,43241674
AALB015743,3L,9231035,9232838,1,AATE006700,KI421884,5070857,5072677,AGAP006049,2L,25636420,25638630
AALB010359,3R,12560771,12561107,-1,AATE001539,KI421887,1029102,1047693,AGAP011250,3L,20003733,20025596
AALB003415,2R,42369654,42370030,1,AATE005508,KI421897,1840074,1848339,AGAP002372,2R,20776828,20785488
AALB008923,2R,7817313,7818497,1,AATE018524,KI421906,1306046,1309372,AGAP028586,UNKN,17073227,17075399
AALB007102,3R,26666211,26666519,1,AATE014077,KI421901,2519173,2536846,,,,
AALB001109,2L,5738670,5741595,1,AATE020571,KI421890,8259668,8260627,AGAP028073,3R,16065746,16067161
AALB004137,3L,4570998,4573003,1,AATE006823,KI421886,7118400,7120903,AGAP005931,2L,23847287,23849640
AALB007295,3L,272911,274377,1,AATE016132,KI421886,3427048,3428546,AGAP004996,2L,7733493,7734921
AALB000348,2L,19550928,19560475,1,AATE014085,KI421882,935049,956946,AGAP009176,3R,28136513,28152065
AALB005898,3L,28942970,28949993,-1,AATE001739,KI421886,875198,885765,AGAP005328,2L,14118770,14130789
AALB008515,2R,48967982,48970865,1,AATE007021,KI421885,807334,810413,AGAP002954,2R,30076837,30079931
AALB003637,2R,39201809,39204884,-1,AATE018781,KI421883,15147841,15155854,AGAP003308,2R,35613940,35629130
AALB006203,3L,32982497,32983190,1,,,,,AGAP007591,2L,48054252,48055055
AALB010387,3R,12776726,12781320,-1,AATE000059,KI421901,3161560,3182324,AGAP012016,3L,36380500,36398421
AALB010387,3R,12776726,12781320,-1,AATE000059,KI421901,3161560,3182324,AGAP027992,3L,36354305,36357104
AALB004159,3L,4852222,4853667,-1,AATE018399,KI421886,6636153,6637268,,,,
AALB002878,2R,50185288,50191185,1,AATE018634,KI421885,8617651,8624404,AGAP001799,2R,10591413,10597071
AALB000491,2L,16938430,16940852,-1,AATE010882,KI421889,3122817,3125164,AGAP009558,3R,36146181,36147802
