Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Anopheles atroparvus gene stable ID,Anopheles atroparvus chromosome/scaffold,Anopheles atroparvus start (bp),Anopheles atroparvus end (bp),Anopheles gambiae gene stable ID,Anopheles gambiae chromosome/scaffold,Anopheles gambiae start (bp),Anopheles gambiae end (bp)
AALB006514,X,5658014,5661269,-1,AATE008674,KI421895,13893,30527,AGAP000235,X,4414895,4430025
AALB014612,X,1407259,1409837,1,,,,,,,,
AALB007626,X,8637184,8639029,-1,AATE014473,KI421898,1397248,1399723,AGAP000858,X,15833868,15836389
AALB006783,X,2044939,2046880,-1,AATE013132,KI421902,1944109,1945947,AGAP000978,X,18801785,18803385
AALB014703,X,9761393,9763444,1,,,,,,,,
AALB014595,X,3540936,3542518,1,,,,,,,,
AALB006300,X,8382150,8385393,-1,AATE006413,KI421898,2182747,2186539,AGAP000700,X,12548888,12556851
AALB014565,X,8208095,8209612,1,,,,,,,,
AALB014614,X,985191,986411,-1,,,,,,,,
AALB006746,X,2735823,2737003,1,AATE019759,KI421898,2808026,2811848,AGAP000585,X,10410448,10477935
AALB006931,X,324455,330892,1,AATE012325,KI421919,96610,102302,AGAP000321,X,5698848,5711854
AALB006495,X,5875606,5877297,-1,AATE010496,KI421896,860433,862998,AGAP000377,X,6873929,6876076
AALB006853,X,1303976,1304668,-1,AATE014686,AXCP01009642,739,1428,AGAP000805,X,14756843,14758303
AALB006393,X,7123804,7126247,-1,AATE005501,KI421896,1843037,1845046,AGAP009079,3R,25444938,25446897
AALB014592,X,3933447,3934502,1,,,,,,,,
AALB006302,X,8354457,8354994,-1,,,,,,,,
AALB006528,X,5494720,5495094,1,AATE016009,KI421895,101735,102088,AGAP013348,X,10699414,10700449
AALB006279,X,8489176,8489917,1,,,,,AGAP000680,X,12119442,12120056
AALB006635,X,4228436,4232026,-1,AATE016997,KI421898,3820444,3825557,AGAP000074,X,1207398,1210353
AALB007652,X,8888755,8901484,1,AATE011864,KI421896,3951238,3953036,AGAP013262,X,8735647,8751910
AALB006600,X,4522758,4524142,1,AATE006938,KI421896,1852540,1853382,AGAP000438,X,7764447,7766035
AALB006592,X,4579067,4581289,-1,AATE010993,KI421895,2882172,2884718,AGAP000621,X,11233957,11236530
AALB007650,X,8882418,8883803,-1,AATE008229,KI421898,71676,74209,AGAP000704,X,12622062,12623732
AALB014710,X,10652793,10653175,-1,,,,,,,,
AALB006855,X,1288346,1289712,1,AATE002819,KI421898,3182787,3185584,AGAP000807,X,14803452,14825980
AALB006822,X,1676174,1676748,1,AATE000879,KI421895,3891853,3892449,AGAP013413,X,10083304,10084057
AALB006825,X,1657374,1664564,-1,AATE012984,KI421896,1895442,1904561,AGAP000124,X,2018689,2026485
AALB015833,X,3335726,3337360,-1,,,,,AGAP013449,X,12626285,12627763
AALB006739,X,2829434,2832816,-1,,,,,,,,
AALB009740,X,12146466,12148988,-1,,,,,AGAP004971,2L,7331917,7333303
AALB006295,X,8401624,8406327,1,AATE011973,KI421896,1962558,1967129,AGAP000188,X,3070951,3080156
AALB006816,X,1709789,1713301,-1,AATE015238,KI421898,1376323,1380079,AGAP000861,X,15861007,15868268
AALB006950,X,10139,11335,1,AATE011475,KI421898,2287998,2290719,AGAP000695,X,12443351,12444668
AALB014888,X,12102105,12103146,-1,,,,,,,,
AALB006917,X,466059,466890,-1,AATE000652,KI421896,1545382,1548414,AGAP000477,X,8293985,8359883
AALB006794,X,1989878,1992477,1,AATE007781,KI421895,643358,647419,AGAP000434,X,7701644,7706535
AALB006663,X,3753318,3758303,-1,AATE007603,KI421907,847830,851040,AGAP000874,X,16431518,16435201
AALB006747,X,2686907,2694831,1,,,,,,,,
AALB006803,X,1947837,1951043,-1,AATE020572,KI421898,770026,774617,AGAP000407,X,7325613,7331429
AALB006806,X,1928664,1932940,-1,AATE005588,KI421898,106362,112350,AGAP000403,X,7288292,7291716
AALB006927,X,350991,351996,-1,AATE011345,KI421919,61939,63136,AGAP000326,X,5748669,5749740
AALB006810,X,1907827,1909838,1,AATE010543,KI421920,25699,27700,AGAP000840,X,15536995,15539148
AALB006862,X,1219333,1219714,1,AATE005918,KI421896,756656,765147,AGAP000299,X,5327170,5337482
AALB007769,X,10885440,10887123,-1,AATE009750,KI421898,1793526,1795783,AGAP011684,3L,31356683,31357681
AALB007769,X,10885440,10887123,-1,AATE009750,KI421898,1793526,1795783,AGAP000725,X,13159187,13160745
AALB007637,X,8762006,8763483,1,AATE013110,KI421893,2879615,2880869,AGAP011362,3L,21979813,21980906
AALB007637,X,8762006,8763483,1,AATE013110,KI421893,2879615,2880869,AGAP028592,X,9597283,9599719
AALB006627,X,4282601,4284484,1,AATE011020,KI421898,3609739,3611628,AGAP000248,X,4572839,4574704
AALB006764,X,2323232,2328127,-1,AATE017295,KI421895,671608,689412,,,,
AALB014701,X,9319565,9321126,-1,,,,,,,,
AALB007706,X,9471616,9478174,1,AATE010948,KI421896,899466,906099,AGAP000483,X,8442607,8451330
AALB014625,X,16424,17015,1,,,,,AGAP000692,X,12437473,12438077
AALB007773,X,10831497,10833725,-1,AATE000573,KI421911,581455,582753,AGAP000719,X,13067590,13073526
AALB006552,X,5129787,5139740,1,AATE017228,KI421920,223851,236124,AGAP000314,X,5511709,5522791
AALB007739,X,9767802,9769436,1,AATE008973,KI421895,2936076,2937796,AGAP001051,X,20951119,20953313
AALB006562,X,4916798,4919286,-1,AATE014786,KI421898,464279,464668,AGAP000654,X,11692557,11695719
AALB006562,X,4916798,4919286,-1,AATE002964,KI421885,10266262,10269832,AGAP000654,X,11692557,11695719
AALB006417,X,6527727,6530459,-1,AATE012817,KI421896,618357,621515,AGAP000814,X,14915762,14918629
AALB014573,X,6777433,6778534,1,,,,,,,,
AALB007729,X,9694361,9709465,1,AATE017079,KI421896,1323423,1332456,AGAP001035,X,19923244,19929520
AALB006901,X,634634,639582,1,AATE000895,KI421907,1367527,1374690,AGAP000256,X,4900441,4905540
AALB014580,X,5694353,5696001,1,,,,,,,,
AALB006874,X,1125658,1129312,1,AATE008369,KI421907,357335,360458,AGAP000190,X,3120259,3158051
AALB007737,X,9759458,9760932,1,AATE003856,KI421896,1214530,1217234,AGAP000992,X,18978097,18979392
AALB007785,X,10660951,10663420,1,AATE021183,KI422040,4654,8052,AGAP000735,X,13423329,13428590
AALB007785,X,10660951,10663420,1,AATE006687,KI421923,112012,115103,AGAP000735,X,13423329,13428590
AALB006649,X,3978130,3984844,-1,AATE012799,KI421907,746697,755364,AGAP000519,X,9215504,9266532
AALB006706,X,3235870,3260111,1,AATE017200,KI421896,3721914,3726413,AGAP000112,X,1798381,1835932
AALB006292,X,8412789,8416053,-1,AATE009209,KI421895,3276050,3278756,AGAP000523,X,9455267,9456114
AALB006292,X,8412789,8416053,-1,AATE009209,KI421895,3276050,3278756,AGAP028517,3L,19995361,19996571
AALB006292,X,8412789,8416053,-1,AATE005191,KI421899,4436198,4436614,AGAP000523,X,9455267,9456114
AALB006292,X,8412789,8416053,-1,AATE005191,KI421899,4436198,4436614,AGAP028517,3L,19995361,19996571
AALB015527,X,1053227,1058272,-1,AATE007038,KI421907,466553,471821,AGAP010414,3L,2957334,2970919
AALB006392,X,7130489,7137564,1,AATE000443,KI421896,622844,640159,AGAP000815,X,14937287,14950975
AALB006411,X,6554606,6558305,1,AATE017335,KI421969,50557,54845,AGAP000420,X,7545011,7550460
AALB006653,X,3936807,3938506,-1,AATE017073,KI421896,2167473,2173018,AGAP000395,X,7231460,7232678
AALB006662,X,3888235,3893317,1,AATE007017,KI421898,1590932,1607491,AGAP000380,X,6905029,6928907
AALB007658,X,8939570,8943539,1,AATE018720,KI421895,2195904,2198655,AGAP000788,X,14351163,14354721
AALB006267,X,8603770,8604981,-1,,,,,,,,
AALB006721,X,3022370,3024120,1,,,,,AGAP000342,X,5899611,5902085
AALB006688,X,3404104,3409081,1,AATE012424,KI421926,80974,91161,AGAP001005,X,19092108,19095128
AALB006278,X,8479010,8492236,-1,AATE018866,KI421907,282798,293415,AGAP000175,X,2943798,2950913
AALB006744,X,2755365,2758080,1,AATE008154,KI421898,2836503,2839044,AGAP000587,X,10498796,10500896
AALB006637,X,4182720,4189585,-1,AATE008442,KI421898,3876254,3888411,AGAP000073,X,1160877,1165193
AALB014608,X,2097184,2098275,1,,,,,,,,
AALB006500,X,5834759,5835827,1,AATE016703,KI421896,4171362,4174553,,,,
AALB015759,X,6082575,6092620,1,AATE011329,KI421896,2066150,2068000,AGAP000745,X,13656841,13668016
AALB007649,X,8876757,8881777,-1,,,,,,,,
AALB006280,X,8470028,8473368,-1,,,,,AGAP012978,X,2956917,2961208
AALB014591,X,3937854,3939297,1,AATE019039,KI421893,143166,144020,AGAP000948,X,18319986,18320947
AALB006716,X,3054798,3057094,-1,,,,,,,,
AALB006580,X,4774042,4779661,-1,AATE013877,KI421921,49930,52730,,,,
AALB003307,X,10190029,10191618,1,AATE004062,KI421896,1174248,1177248,AGAP000633,X,11369793,11372923
AALB003307,X,10190029,10191618,1,AATE004062,KI421896,1174248,1177248,AGAP005309,2L,13956306,13957610
AALB006793,X,2000571,2001872,-1,AATE018577,KI421898,849267,851663,AGAP000266,X,4953414,4954737
AALB006910,X,556774,561778,1,AATE017493,KI421907,1073589,1082442,AGAP000534,X,9555155,9565371
AALB006502,X,5791499,5792917,1,AATE013887,KI421896,4225040,4239502,AGAP000225,X,4180964,4238447
AALB009742,X,12091789,12096683,-1,,,,,,,,
AALB007656,X,8932329,8933581,-1,,,,,,,,
AALB006551,X,5145018,5148306,1,AATE013372,KI421920,241834,267487,AGAP000313,X,5495763,5503866
AALB014571,X,7340337,7346351,1,,,,,,,,
AALB007761,X,10929404,10934770,-1,,,,,,,,
AALB006420,X,6474865,6476944,-1,AATE010479,KI421977,33887,36240,AGAP010485,3L,4764391,4783010
AALB003332,X,10455512,10456250,-1,AATE020008,KI421898,3138091,3139274,AGAP000809,X,14838271,14839995
AALB014706,X,11001184,11006685,-1,,,,,,,,
AALB007776,X,10758352,10770058,1,AATE001468,KI421895,3769149,3780254,AGAP000043,X,610531,615856
AALB006557,X,5040886,5043268,-1,AATE021708,KI421895,431793,459248,AGAP000894,X,16896937,16942574
AALB006322,X,8050112,8052264,-1,AATE003745,KI421888,4835691,4838112,AGAP001933,2R,12424563,12426730
AALB007721,X,9610093,9612036,-1,AATE005781,KI421898,3084949,3086874,AGAP013259,X,9524563,9526527
AALB015364,X,4265490,4265561,-1,,,,,,,,
AALB006310,X,8225712,8228360,1,AATE017578,KI421895,2069768,2077535,AGAP000970,X,18632743,18636223
AALB007765,X,10893552,10909872,-1,AATE004961,KI421948,7425,13317,AGAP000159,X,2780430,2816494
AALB014570,X,7400349,7402189,1,,,,,,,,
AALB006418,X,6522566,6525254,1,,,,,AGAP000812,X,14888685,14897448
AALB006418,X,6522566,6525254,1,,,,,AGAP011060,3L,15805306,15806325
AALB006889,X,747610,749708,1,AATE007359,KI421947,66160,70526,AGAP000039,X,494371,496532
AALB006446,X,6320483,6328135,-1,AATE018948,KI421898,1121214,1128627,AGAP000540,X,9662048,9670481
AALB006949,X,12631,13824,-1,,,,,,,,
AALB006432,X,6401656,6408398,1,,,,,AGAP012973,X,2063878,2065611
AALB006336,X,7851954,7868628,1,AATE013082,KI421896,871338,885290,AGAP000009,X,97670,114021
AALB006414,X,6545447,6547384,1,,,,,AGAP000284,X,5112278,5114815
AALB006423,X,6446722,6454201,-1,AATE007074,KI421898,36580,38160,AGAP000273,X,4997982,5005862
AALB006423,X,6446722,6454201,-1,AATE013188,KI421898,38264,43243,AGAP000273,X,4997982,5005862
AALB006265,X,8608532,8609901,-1,AATE018926,KI421898,1435316,1438251,AGAP000857,X,15790708,15792393
AALB006481,X,5988112,5988696,-1,AATE001938,KI421907,1562688,1567318,AGAP001044,X,20161491,20162678
AALB006526,X,5498700,5501340,1,AATE014253,KI421895,90278,95772,AGAP000241,X,4510139,4520051
AALB007787,X,10655172,10656458,1,AATE017483,KI421897,1838477,1839763,AGAP000616,X,11207345,11209451
AALB007787,X,10655172,10656458,1,AATE017468,KI421895,388032,389318,AGAP000616,X,11207345,11209451
AALB003313,X,10227590,10229701,-1,AATE021173,KI421895,1749111,1753922,AGAP001028,X,19742305,19746392
AALB003313,X,10227590,10229701,-1,AATE010140,KI421909,370017,373665,AGAP001028,X,19742305,19746392
AALB006366,X,7491218,7495192,-1,AATE012633,KI421896,596608,600620,AGAP000864,X,16089585,16093450
AALB003329,X,10421627,10422622,1,,,,,,,,
AALB006863,X,1211852,1212771,1,AATE006043,KI421886,1294476,1295933,AGAP000298,X,5324597,5325464
AALB006863,X,1211852,1212771,1,AATE009324,KI421896,755232,756269,AGAP000298,X,5324597,5325464
AALB006770,X,2216195,2217970,-1,AATE012890,KI421921,330526,331206,,,,
AALB006795,X,1985168,1989014,-1,AATE017108,KI421896,2352907,2358255,AGAP000770,X,13856868,13859415
AALB006839,X,1533871,1538279,1,AATE002274,KI421898,1873819,1880679,AGAP000718,X,13057051,13066994
AALB006850,X,1316702,1346702,1,AATE013357,KI421898,3291007,3336894,AGAP000801,X,14618213,14702072
AALB006850,X,1316702,1346702,1,AATE008487,KI421898,3347783,3355059,AGAP000801,X,14618213,14702072
AALB007694,X,9352697,9354432,1,,,,,,,,
AALB006361,X,7543745,7551929,-1,AATE007676,KI421898,3541476,3558636,AGAP000792,X,14419729,14435537
AALB006464,X,6146876,6147823,1,AATE016017,KI421896,2108241,2143148,AGAP013276,X,13559147,13560148
AALB006696,X,3350607,3353723,-1,AATE017983,KI421896,2193367,2197545,AGAP000393,X,7193219,7195884
AALB006805,X,1935535,1943666,-1,AATE020529,KI421898,760314,767463,AGAP000406,X,7310219,7318863
AALB006450,X,6269631,6271716,-1,AATE018347,KI421895,3318296,3320331,AGAP000014,X,154424,155289
AALB006802,X,1959525,1965369,1,AATE010789,KI421898,785502,803244,AGAP000410,X,7356912,7369332
AALB006312,X,8183144,8191124,-1,AATE000795,KI421895,2008241,2017136,AGAP000968,X,18582514,18585274
AALB006658,X,3912611,3914750,-1,AATE011801,KI421896,13854,17238,AGAP000825,X,15343949,15345874
AALB006577,X,4790543,4810472,-1,AATE010215,KI421907,1390765,1399128,AGAP013275,X,7860156,7871725
AALB014326,X,10222026,10222492,1,,,,,,,,
AALB007778,X,10707811,10712739,-1,AATE008651,KI421895,3861027,3868897,AGAP000041,X,512138,517675
