"alb_id";"alb_chr";"alb_start";"alb_end";"alb_strand";"atr_id";"atr_chr";"atr_start";"atr_end";"atr_strand";"gam_id";"gam_chr";"gam_start";"gam_end";"gam_strand";"sin_id";"sin_chr";"sin_start";"sin_end";"sin_strand"
"AALB004538";"3L";147611732;147612954;1;"AATE004696";"2L";72140613;72157330;1;"AGAP007373";"2L";131808748;131824943;-1;"ASIC019680";"2L";50019601;50019690;-1
"AALB003128";"2R";49616450;49618583;-1;"AATE005050";"3R";137197231;137198096;1;"AGAP003814";"2R";67981148;67982455;1;"ASIC002294";"3R";58704057;58704369;1
"AALB004213";"3L";141958047;141959200;-1;"AATE001614";"2L";63103550;63107843;1;"AGAP005553";"2L";102655584;102666879;-1;"ASIC018802";"2L";46447448;46447877;1
"AALB007135";"2R";30466318;30470883;1;"AATE009939";"3R";153927865;153932023;-1;"AGAP002013";"2R";38182126;38186442;1;"ASIC004664";"3R";57676135;57680310;1
"AALB004362";"3L";144428740;144437294;-1;"AATE012277";"2L";69184991;69191982;-1;"AGAP005216";"2L";98081897;98090561;1;"ASIC016108";"2L";37149001;37149384;1
"AALB006674";"X";3495528;3496697;-1;"AATE020065";"X";13071621;13073315;1;"AGAP000698";"X";12541162;12542852;1;"ASIC009518";"X";2574106;2574115;-1
"AALB006341";"X";7828373;7829138;1;"AATE006230";"X";13648710;13653668;-1;"AGAP000382";"X";6943073;6944078;1;"ASIC009717";"X";3194489;3194500;-1
"AALB005537";"3L";161265668;161280298;-1;"AATE017717";"2L";63125784;63132438;-1;"AGAP005549";"2L";102629830;102638593;1;"ASIC018796";"2L";46472911;46473136;-1
"AALB000945";"2L";73168629;73171136;-1;"AATE011816";"2R";37728691;37731216;-1;"AGAP028421";"3R";150412521;150415064;1;"ASIC006467";"2R";17056656;17059172;1
"AALB009212";"2R";16105146;16105595;1;"AATE015867";"3R";105207543;105207992;1;"AGAP001274";"2R";26439695;26440343;1;"ASIC011504";"3R";54826513;54826962;1
"AALB006693";"X";3358906;3367581;-1;"AATE011758";"X";13684007;13689062;-1;"AGAP000844";"X";15570148;15577691;-1;"ASIC016914";"X";10345110;10345214;1
"AALB001872";"2L";92393396;92394198;-1;"AATE013164";"2R";54396058;54398929;-1;"AGAP009647";"3R";172622194;172622968;-1;"ASIC017259";"2R";21466944;21467048;-1
"AALB000894";"2L";74176653;74184046;-1;"AATE007882";"2R";47000516;47008774;-1;"AGAP010008";"3R";182579620;182580694;-1;"ASIC008591";"2R";29813665;29813921;-1
"AALB003255";"3L";139386586;139388661;1;"AATE004783";"2L";63439434;63442606;1;"AGAP006264";"2L";114453841;114458293;1;"ASIC018754";"2L";46782467;46782667;1
"AALB009683";"2R";37531816;37534557;-1;"AATE021032";"3R";118000146;118004726;-1;"AGAP002607";"2R";48091124;48095740;1;"ASIC021860";"3R";61730638;61730696;1
"AALB007770";"X";10882546;10885026;-1;"AATE016320";"X";13459021;13463883;-1;"AGAP000724";"X";13154935;13156918;-1;"ASIC009640";"X";1448640;1448816;-1
"AALB010520";"3R";117053446;117055392;1;"AATE014496";"X";9043083;9050938;1;"AGAP011801";"3L";221449196;221451535;1;"ASIC017773";"3L";80469375;80469422;-1
"AALB006872";"X";1158359;1163451;1;"AATE002936";"X";3164283;3175528;-1;"AGAP000203";"X";3355862;3371951;-1;"ASIC009668";"X";3896390;3896461;1
"AALB008506";"3R";125280617;125285940;1;"AATE020607";"3L";164429324;164440012;1;"AGAP028522";"3L";213115133;213125791;-1;"ASIC015483";"3L";70794418;70796382;-1
"AALB000985";"2L";72288650;72297369;1;"AATE012290";"2R";39667958;39683030;-1;"AGAP008098";"3R";140663612;140679640;-1;"ASIC017673";"2R";26846573;26846587;-1
"AALB009368";"2R";14488484;14491884;1;"AATE014327";"3R";104157492;104163870;-1;"AGAP001208";"2R";25819180;25823470;1;"ASIC019597";"2L";50737347;50737415;1
"AALB007743";"X";9776823;9780964;1;"AATE008091";"X";9971358;9975486;1;"AGAP000666";"X";11804663;11808611;1;"ASIC009593";"X";1891456;1891806;-1
"AALB005112";"3L";156319424;156322352;-1;"AATE011213";"2L";73901986;73903224;1;"AGAP007443";"2L";132276516;132277763;-1;"ASIC019751";"2L";49599352;49599660;-1
"AALB003216";"3L";139033234;139050785;-1;"AATE006120";"2L";83710764;83725403;-1;"AGAP005207";"2L";97918348;97988359;-1;"ASIC019166";"2L";45514236;45514397;1
"AALB010671";"3R";119408287;119410607;-1;"AATE007024";"3L";170952241;170956224;1;"AGAP011749";"3L";220999783;221002440;-1;"ASIC018300";"3L";76230266;76230347;1
"AALB003846";"3R";103562339;103563109;1;"AATE018800";"3L";167004542;167005390;-1;"AGAP011614";"3L";217982682;217983560;-1;"ASIC017534";"3L";67108964;67109800;-1
"AALB002237";"2R";32001779;32003254;1;"AATE019518";"3R";107217598;107219046;-1;"AGAP001862";"2R";35770918;35772399;-1;"ASIC008284";"3R";55479371;55480804;-1
"AALB000995";"2L";72130849;72132770;1;"AATE016973";"2R";26281753;26283819;-1;"AGAP008377";"3R";145135339;145137282;-1;"ASIC017582";"2R";25688854;25688895;-1
"AALB008118";"2R";44206588;44207953;-1;"AATE001646";"3R";135590481;135591788;-1;"AGAP001749";"2R";33538685;33540007;1;"ASIC012482";"3R";59008815;59008890;-1
"AALB004212";"3L";141956255;141957467;1;"AATE006017";"2L";63107454;63109319;-1;"AGAP005552";"2L";102649411;102655896;1;"ASIC018801";"2L";46449942;46450455;-1
"AALB007043";"3R";127823828;127827879;1;"AATE019788";"3L";179414813;179418795;-1;"AGAP011172";"3L";206341584;206345206;-1;"ASIC004779";"3L";67956964;67957005;1
"AALB005257";"3L";157932289;157941852;1;"AATE014214";"2L";83115403;83124519;-1;"AGAP006574";"2L";119879415;119890173;1;"ASIC019558";"2L";51099357;51099430;-1
"AALB001757";"2L";94109123;94110960;1;"AATE006169";"2R";20217897;20224325;1;"AGAP028554";"3R";145807191;145811280;-1;"ASIC006398";"2R";16651823;16652626;1
"AALB010289";"3R";113318608;113326440;1;"AATE018105";"3L";170101727;170108717;1;"AGAP011859";"3L";222390006;222402974;-1;"ASIC018158";"3L";77371092;77371265;-1
"AALB009351";"2R";14561507;14564806;1;"AATE020731";"3R";104081494;104085234;-1;"AGAP001227";"2R";25903221;25906640;1;"ASIC011458";"3R";53004972;53005052;1
"AALB004372";"3L";144486489;144487730;1;"AATE018517";"2L";101244303;101245529;-1;"AGAP005306";"2L";99590962;99592188;-1;"ASIC018656";"2L";40427987;40429204;-1
"AALB006607";"X";4499242;4500081;1;"AATE016682";"X";5144479;5145570;1;"AGAP000433";"X";7694969;7699060;-1;"ASIC006316";"X";7098895;7099002;-1
"AALB010576";"3R";117745934;117760330;-1;"AATE013818";"3L";162032497;162051660;-1;"AGAP011214";"3L";207542880;207547011;-1;"ASIC012699";"3L";63623248;63623850;1
"AALB000837";"2L";74861056;74862029;1;"AATE012884";"2R";50883121;50884788;1;"AGAP007966";"3R";138406215;138407893;1;"ASIC017619";"2R";25396646;25396809;1
"AALB001330";"2L";101215923;101219249;1;"AATE015869";"2R";17214802;17216988;1;"AGAP009536";"3R";170622983;170624880;-1;"ASIC007173";"2R";13745968;13747277;1
"AALB005167";"3L";156780211;156785390;-1;"AATE016545";"2L";73399220;73406068;1;"AGAP007521";"2L";132807571;132813624;-1;"ASIC019836";"2L";49118936;49119101;1
"AALB001568";"2L";97960743;97962572;-1;"AATE009487";"2R";27683544;27685724;1;"AGAP009824";"3R";178838070;178838973;-1;"ASIC017175";"2R";22247016;22247966;1
"AALB002280";"2R";31499545;31500067;1;"AATE008791";"3R";114639377;114640059;1;"AGAP002780";"2R";51307993;51308637;-1;"ASIC012533";"3R";59309374;59309403;-1
"AALB009378";"2R";14209788;14214762;1;"AATE012631";"3R";104408183;104414879;-1;"AGAP001200";"2R";25539285;25545618;1;"ASIC011394";"3R";54055137;54055178;-1
"AALB007842";"2L";64032424;64038801;-1;"AATE003485";"2R";57747609;57751954;-1;"AGAP010197";"3R";185473106;185494469;-1;"ASIC013537";"2R";31412227;31412513;1
"AALB010499";"3R";116851868;116853859;1;"AATE000930";"3L";189471687;189472364;1;"AGAP012321";"3L";228327583;228328244;-1;"ASIC018379";"3L";80673589;80673639;-1
"AALB009821";"3R";105202300;105208596;1;"AATE015961";"3L";164488577;164495856;-1;"AGAP011462";"3L";213071378;213072687;1;"ASIC015495";"3L";70841707;70841814;-1
"AALB001744";"2L";94291109;94292666;-1;"AATE000544";"2R";20417474;20419668;-1;"AGAP008417";"3R";145571133;145572909;-1;"ASIC006424";"2R";16842658;16842774;-1
"AALB006284";"X";8449634;8451906;-1;"AATE017716";"X";7732114;7734687;1;"AGAP000180";"X";3000116;3001857;1;"ASIC005238";"X";536045;536063;1
"AALB003898";"3R";130433816;130437772;1;"AATE001877";"3L";197550871;197555069;1;"AGAP010398";"3L";190819592;190823356;1;"ASIC013908";"3L";62997944;62998015;-1
"AALB001762";"2L";94035191;94035596;-1;"AATE018649";"2R";20135788;20136928;-1;"AGAP009316";"3R";166261028;166262090;1;"ASIC006380";"2R";16569839;16570295;-1
"AALB000099";"2L";88276489;88278109;-1;"AATE015934";"2R";28944018;28948438;1;"AGAP009742";"3R";177082863;177087440;-1;"ASIC022105";"2R";23659756;23659809;1
"AALB009407";"2R";13685103;13694934;1;"AATE007990";"3R";104940535;104948193;-1;"AGAP001175";"2R";24968104;24976625;1;"ASIC011444";"3R";54594080;54594125;-1
"AALB001393";"2L";100549004;100558196;-1;"AATE011316";"2R";16286283;16290791;1;"AGAP007939";"3R";138237632;138241909;-1;"ASIC007327";"2R";12827893;12828358;1
"AALB005125";"3L";156414190;156415469;-1;"AATE013968";"2L";73800065;73801153;1;"AGAP007461";"2L";132388765;132389919;-1;"ASIC019767";"2L";49497825;49497833;-1
"AALB001924";"2L";91645144;91649535;1;"AATE006855";"2R";31399899;31401524;1;"AGAP008035";"3R";139789538;139808141;1;"ASIC006987";"2R";32171140;32172684;-1
"AALB009958";"3R";107484722;107486389;1;"AATE018321";"3L";182601772;182603874;-1;"AGAP012229";"3L";227270314;227271705;-1;"ASIC015403";"3L";69994310;69994540;1
"AALB010364";"3R";114567831;114570893;1;"AATE020581";"3L";170902479;170905656;-1;"AGAP011757";"3L";221067563;221069085;1;"ASIC018309";"3L";76181257;76182329;-1
"AALB008058";"2R";45729498;45731440;-1;"AATE003418";"X";2427982;2430385;1;"AGAP000291";"X";5133995;5136022;1;"ASIC005168";"X";4546;4647;1
"AALB002987";"2R";46893440;46894459;1;"AATE001586";"3R";159114763;159115578;-1;"AGAP004534";"2R";81710148;81711447;-1;"ASIC021901";"3R";61916501;61917508;1
"AALB009363";"2R";14515180;14516611;1;"AATE010947";"3R";104131182;104133029;-1;"AGAP001212";"2R";25847695;25849740;1;"ASIC011535";"3R";52957510;52957576;1
"AALB001147";"2L";69029131;69029855;-1;"AATE003981";"2R";20993871;20994528;1;"AGAP009905";"3R";180204791;180205292;1;"ASIC014613";"2R";20417690;20417741;-1
"AALB010377";"3R";114653819;114655654;-1;"AATE000055";"3L";170331988;170335267;-1;"AGAP011838";"3L";222033353;222036142;1;"ASIC018185";"3L";77136241;77136272;1
"AALB001967";"2L";90893730;90894566;-1;"AATE003002";"2R";50600660;50601859;-1;"AGAP007740";"3R";135192712;135193667;1;"ASIC017653";"2R";25087609;25087683;-1
"AALB004468";"3L";146361337;146364032;1;"AATE015712";"2L";91715749;91718774;1;"AGAP005800";"2L";106864720;106867122;-1;"ASIC016405";"2L";35230324;35230351;1
"AALB006455";"X";6235988;6239037;1;"AATE005699";"X";7782771;7790675;1;"AGAP000528";"X";9473978;9480310;1;"ASIC005225";"X";591499;591557;-1
"AALB006493";"X";5889044;5892373;1;"AATE001608";"X";4109877;4116065;1;"AGAP000551";"X";9857331;9862712;1;"ASIC007622";"X";12668148;12668235;-1
"AALB006164";"3L";169002596;169003349;-1;"AATE015939";"2L";95664643;95666674;-1;"AGAP006766";"2L";123710369;123712695;1;"ASIC019050";"2L";44238642;44238774;1
"AALB005449";"3L";160304867;160317983;1;"AATE000182";"2L";73202013;73216954;-1;"AGAP007537";"2L";133005457;133015454;1;"ASIC019856";"2L";48939488;48940691;-1
"AALB006634";"X";4250560;4253143;1;"AATE007386";"X";11465809;11469376;1;"AGAP013356";"X";1234904;1238491;1;"ASIC005131";"X";210603;210929;-1
"AALB007358";"3R";130153879;130155018;-1;"AATE015044";"3L";197255084;197256196;-1;"AGAP010321";"3L";188780523;188781905;1;"ASIC013919";"3L";63282771;63282856;1
"AALB006188";"3L";169338552;169343160;-1;"AATE008825";"2L";96208798;96212739;1;"AGAP028461";"2L";123142339;123288569;-1;"ASIC019128";"2L";43668359;43668418;-1
"AALB000744";"2L";76412916;76420053;1;"AATE009649";"2R";50757670;50765513;1;"AGAP007731";"3R";135033342;135041497;-1;"ASIC017636";"2R";25268489;25268701;1
"AALB005015";"3L";155019336;155020985;1;"AATE007123";"2L";91419997;91426347;1;"AGAP007044";"2L";127236393;127238657;-1;"ASIC018561";"2L";39270037;39270401;-1
"AALB003289";"X";10052254;10054841;-1;"AATE004025";"X";13672810;13675649;1;"AGAP013101";"X";15552854;15554517;1;"ASIC016911";"X";10356569;10356622;-1
"AALB006673";"X";3498067;3521297;-1;"AATE006348";"X";13049681;13071413;1;"AGAP000697";"X";12519279;12536726;1;"ASIC009517";"X";2577074;2577130;-1
"AALB007740";"X";9769465;9771638;-1;"AATE020292";"X";7433594;7435864;-1;"AGAP010271";"3R";186933266;186935762;1;"ASIC020304";"X";6031927;6032061;1
"AALB000991";"2L";72139182;72163496;1;"AATE018692";"2R";39836566;39852859;-1;"AGAP008105";"3R";140822130;140827543;-1;"ASIC017715";"2R";27027876;27028050;-1
"AALB006281";"X";8460969;8464197;-1;"AATE001231";"X";10971434;10978397;-1;"AGAP028653";"X";2965384;2970736;-1;"ASIC020351";"X";6445508;6445733;1
"AALB005229";"3L";157628336;157629733;-1;"AATE012388";"2L";75376141;75380509;1;"AGAP006521";"2L";119497998;119504645;-1;"ASIC019502";"2L";51396536;51396735;1
"AALB005752";"3L";163943308;163946703;-1;"AATE002992";"2L";72242380;72243991;1;"AGAP007386";"2L";131898200;131899828;1;"ASIC019695";"2L";49937967;49938282;-1
"AALB006679";"X";3480085;3484521;1;"AATE005125";"X";13789329;13794152;-1;"AGAP000853";"X";15745790;15749906;-1;"ASIC016932";"X";10232169;10232329;1
"AALB002188";"2R";33053839;33057742;-1;"AATE012787";"3R";109023096;109026952;1;"AGAP001984";"2R";37405171;37409178;1;"ASIC004568";"3R";57019941;57020112;1
"AALB010739";"3R";120347496;120351343;-1;"AATE016403";"3L";174179059;174180315;-1;"AGAP010648";"3L";196077954;196079123;1;"ASIC014487";"3L";72989066;72990286;1
"AALB010217";"3R";112258297;112266074;1;"AATE011126";"3L";176629904;176638942;1;"AGAP027981";"3L";224619929;224623865;1;"ASIC015360";"3L";68392062;68392113;-1
"AALB014159";"2L";97629713;97630372;1;"AATE018030";"2R";17664670;17665871;-1;"AGAP009508";"3R";169989445;169990640;1;"ASIC007233";"2R";14196087;14196327;-1
"AALB009970";"3R";107657233;107663260;1;"AATE003645";"3L";182318859;182328646;-1;"AGAP012340";"3L";228868727;228872926;1;"ASIC015436";"3L";70273026;70275812;1
"AALB007132";"2R";30495353;30496834;1;"AATE006160";"3R";153901194;153903325;-1;"AGAP002016";"2R";38210667;38212703;1;"ASIC004660";"3R";57708899;57709166;-1
"AALB009299";"2R";15119414;15133664;-1;"AATE010488";"3R";103467036;103485037;1;"AGAP001109";"2R";24527518;24540034;1;"ASIC011578";"3R";53589421;53589442;-1
"AALB007795";"X";10590253;10593136;-1;"AATE020488";"X";15290792;15294150;-1;"AGAP000841";"X";15543194;15548834;-1;"ASIC007664";"X";11708922;11709281;-1
"AALB002977";"2R";46809484;46812363;-1;"AATE011228";"3R";159212282;159216343;1;"AGAP004551";"2R";81793597;81797052;1;"ASIC021880";"3R";61803118;61803421;1
"AALB009365";"2R";14511469;14513327;-1;"AATE006721";"3R";104134326;104136187;1;"AGAP013011";"2R";25844827;25846434;-1;"ASIC011524";"3R";52955446;52955725;-1
"AALB003189";"3L";138069863;138071997;1;"AATE010340";"2L";76629144;76631610;-1;"AGAP005163";"2L";96579989;96581988;1;"ASIC012324";"2L";42342631;42342801;-1
"AALB010335";"3R";114089529;114092358;1;"AATE000522";"3L";168314412;168317326;1;"AGAP011426";"3L";212604775;212607380;-1;"ASIC005088";"3L";65229450;65229743;1
"AALB003899";"3R";130438795;130446726;-1;"AATE006708";"3L";197555869;197557193;-1;"AGAP010399";"3L";190823916;190825516;-1;"ASIC013910";"3L";62994389;62994938;1
"AALB010216";"3R";112232264;112233338;-1;"AATE012082";"3L";176601385;176602564;-1;"AGAP010544";"3L";194124065;194125214;-1;"ASIC015404";"3L";68425567;68425761;1
"AALB000658";"2L";77725001;77727171;1;"AATE007375";"2R";40663316;40664377;1;"AGAP008986";"3R";157716414;157717199;-1;"ASIC015767";"2R";27141573;27141722;1
"AALB000720";"2L";76622742;76630959;-1;"AATE016977";"2R";49031022;49035000;1;"AGAP008501";"3R";146363659;146365766;-1;"ASIC006895";"2R";32945272;32945545;-1
"AALB009390";"2R";14107041;14108187;1;"AATE012507";"3R";104514864;104515915;-1;"AGAP001190";"2R";25428263;25429890;1;"ASIC011408";"3R";54158214;54158726;-1
"AALB000285";"2L";84601432;84604133;-1;"AATE011116";"2R";21238367;21240806;1;"AGAP009931";"3R";180455922;180457988;1;"ASIC014650";"2R";20178876;20179543;-1
"AALB009382";"2R";14195360;14196748;1;"AATE013125";"3R";104427502;104428881;-1;"AGAP013230";"2R";25524753;25526126;1;"ASIC011397";"3R";54069515;54070855;-1
"AALB006929";"X";343277;344489;1;"AATE016003";"X";15721152;15725588;1;"AGAP000328";"X";5759812;5767276;-1;"ASIC007646";"X";11595517;11595893;-1
"AALB005243";"3L";157811781;157819759;1;"AATE004321";"2L";75151943;75160217;-1;"AGAP006540";"2L";119739037;119748221;1;"ASIC019533";"2L";51199364;51199424;-1
"AALB006172";"3L";169108331;169114461;1;"AATE016524";"2L";95819278;95828062;1;"AGAP006756";"2L";123554553;123557642;-1;"ASIC019065";"2L";44083354;44083502;-1
"AALB004676";"3L";149575866;149577984;1;"AATE016950";"2L";64998238;65000462;1;"AGAP006227";"2L";114217855;114220074;-1;"ASIC018906";"2L";48388931;48389074;1
"AALB006942";"X";165520;173724;-1;"AATE001169";"X";1162806;1170169;1;"AGAP000635";"X";11387693;11397817;1;"ASIC007674";"X";11783598;11783682;-1
"AALB001918";"2L";91667484;91668933;1;"AATE015327";"2R";31426067;31428209;1;"AGAP008041";"3R";139820569;139822825;1;"ASIC006981";"2R";32138425;32138457;-1
"AALB000982";"2L";72304216;72308174;-1;"AATE018998";"2R";39656179;39664631;1;"AGAP008095";"3R";140652280;140656331;1;"ASIC017675";"2R";26829195;26829367;1
"AALB000981";"2L";72308411;72309070;-1;"AATE001126";"2R";39655226;39656062;1;"AGAP008094";"3R";140651306;140652024;1;"ASIC017676";"2R";26828250;26828310;1
"AALB003732";"3R";102085783;102086925;1;"AATE007391";"3L";169799809;169801134;-1;"AGAP011896";"3L";222788451;222789888;-1;"ASIC018124";"3L";77661440;77661663;1
"AALB006614";"X";4436845;4445197;-1;"AATE013103";"X";11682831;11701052;-1;"AGAP000095";"X";1550317;1558031;-1;"ASIC020494";"X";5747806;5749053;1
"AALB001566";"2L";97969141;97975629;1;"AATE012932";"2R";27674838;27676382;-1;"AGAP009936";"3R";180676271;180677865;1;"ASIC017173";"2R";22239202;22239423;-1
"AALB006937";"X";235829;243782;-1;"AATE009280";"X";1067115;1081200;1;"AGAP000646";"X";11508185;11520692;-1;"ASIC007685";"X";11863499;11863520;-1
"AALB002029";"2L";90208051;90208416;-1;"AATE001979";"2R";31711872;31712234;-1;"AGAP008073";"3R";140105631;140106318;-1;"ASIC006930";"2R";31818599;31818961;1
"AALB000907";"2L";74022723;74026902;1;"AATE008494";"2R";47213967;47218731;1;"AGAP008654";"3R";149084168;149086912;-1;"ASIC008651";"2R";30033580;30034950;1
"AALB009354";"2R";14553290;14555368;1;"AATE008260";"3R";104092463;104094535;-1;"AGAP001224";"2R";25894109;25896181;1;"ASIC011425";"3R";52995561;52997633;1
"AALB005819";"3L";164598143;164604664;-1;"AATE005982";"2L";63187257;63194180;1;"AGAP005544";"2L";102550633;102552632;-1;"ASIC018788";"2L";46533616;46533732;1
"AALB003778";"3R";102581294;102585659;1;"AATE015276";"3R";103258894;103260619;1;"AGAP001104";"2R";24335436;24338873;1;"ASIC011586";"3R";53779721;53781515;-1
"AALB008536";"2R";60953399;60954795;-1;"AATE001249";"3R";138505457;138506815;1;"AGAP004085";"2R";73780452;73781760;-1;"ASIC014057";"3R";58315609;58316480;-1
"AALB009766";"3R";104699894;104701202;1;"AATE021165";"3L";186546701;186548021;1;"AGAP028005";"3L";224794635;224796538;1;"ASIC005098";"3L";65332385;65332933;1
"AALB000721";"2L";76626706;76627599;1;"AATE014288";"2R";49029176;49030889;-1;"AGAP008502";"3R";146366043;146367336;1;"ASIC006897";"2R";32948465;32948516;1
"AALB009426";"2R";13583594;13584472;1;"AATE008633";"3R";105083284;105084765;-1;"AGAP001145";"2R";24849343;24850795;1;"ASIC011476";"3R";54696836;54697008;1
"AALB007363";"3R";130017801;130022603;1;"AATE009882";"3L";197152347;197157844;1;"AGAP028491";"3L";188951722;188956842;-1;"ASIC013876";"3L";63368006;63368254;-1
"AALB003097";"2R";48959008;48959785;1;"AATE008283";"3R";118193684;118195055;1;"AGAP013451";"2R";47923702;47924409;-1;"ASIC021949";"3R";60074352;60074706;1
"AALB010332";"3R";114059824;114063737;1;"AATE016643";"3L";168285248;168287025;1;"AGAP011434";"3L";212707450;212708913;-1;"ASIC005083";"3L";65188158;65188920;1
"AALB010279";"3R";113113152;113113463;1;"AATE004860";"3L";183591876;183600137;-1;"AGAP011063";"3L";204203437;204203709;1;"ASIC019472";"3L";74161310;74161633;-1
"AALB000083";"2L";88579159;88580232;1;"AATE015533";"2R";35891961;35893058;1;"AGAP008783";"3R";152829281;152830369;-1;"ASIC006631";"2R";18713276;18713457;-1
"AALB000749";"2L";76287427;76296612;-1;"AATE009111";"2R";50605243;50616106;-1;"AGAP007738";"3R";135186509;135188820;1;"ASIC017651";"2R";25098190;25098205;-1
"AALB006395";"X";7080488;7083798;1;"AATE017475";"X";7106116;7110322;1;"AGAP000938";"X";17997200;18009612;1;"ASIC005182";"X";1041544;1041673;-1
"AALB007086";"3R";128351271;128355073;1;"AATE017460";"3L";186731503;186734881;1;"AGAP012046";"3L";224967312;224969953;1;"ASIC004979";"3L";65528785;65529490;1
"AALB008839";"2R";21410824;21424374;-1;"AATE001014";"3R";107453005;107468472;-1;"AGAP001877";"2R";36034468;36048354;-1;"ASIC008310";"3R";55716953;55717247;-1
"AALB009432";"2R";13549530;13550621;-1;"AATE002283";"3R";105111798;105120736;1;"AGAP001259";"2R";26336808;26338562;1;"ASIC011486";"3R";54728238;54728432;1
"AALB006362";"X";7545606;7546110;1;"AATE011657";"X";11721492;11722675;-1;"AGAP000793";"X";14439438;14439960;-1;"ASIC020488";"X";5722297;5723703;1
"AALB008771";"2R";63678806;63680678;1;"AATE017754";"2R";58974532;58978952;-1;"AGAP010258";"3R";186736302;186739722;1;"ASIC013435";"2R";33744960;33745148;-1
"AALB006365";"X";7495844;7503393;-1;"AATE009927";"X";1503333;1512052;1;"AGAP001039";"X";20009765;20017250;1;"ASIC017095";"X";10952087;10952567;1
"AALB004021";"3R";123560662;123569960;-1;"AATE008323";"3L";189526180;189530909;-1;"AGAP011347";"3L";209637217;209641393;-1;"ASIC004808";"3L";67740809;67741166;-1
"AALB003961";"3R";124329644;124331712;-1;"AATE002056";"3L";175521592;175523683;-1;"AGAP011398";"3L";211933425;211936059;1;"ASIC015361";"3L";69577952;69578786;1
"AALB000293";"2L";84426760;84430542;1;"AATE015760";"2R";38677429;38681499;1;"AGAP009292";"3R";165896686;165897822;-1;"ASIC013835";"2R";21092067;21093188;1
"AALB015533";"X";10064441;10066056;1;"AATE016157";"X";15665613;15667662;-1;"AGAP000530";"X";9489777;9491495;1;"ASIC016908";"X";10358732;10359460;1
"AALB009056";"2R";18559997;18561083;1;"AATE000604";"3L";174580393;174584351;1;"AGAP011098";"3L";204938738;204939735;1;"ASIC014465";"3L";72630428;72631375;-1
"AALB007128";"2R";30510045;30511822;1;"AATE015506";"3R";153885671;153886572;-1;"AGAP002018";"2R";38215852;38226093;1;"ASIC004656";"3R";57722211;57722497;1
"AALB003197";"3L";138303786;138306354;-1;"AATE000194";"2L";76288450;76299038;1;"AGAP005170";"2L";96956680;97007188;-1;"ASIC012301";"2L";42048018;42048765;1
"AALB005276";"3L";158342043;158342782;-1;"AATE006318";"2L";82356748;82358000;-1;"AGAP006793";"2L";124125762;124126524;-1;"ASIC019641";"2L";50399566;50399575;-1
