# genome1: genome1
# genome2: genome2
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign
81 e1 16612688 58856 1 e1 2761839 92950 -1
82 e1 16694425 32827 1 e1 13550848 26317 1
83 e1 16746634 17917 1 e1 4261504 32553 1
84 e1 16803740 146631 1 e1 7437434 107490 -1
85 e1 16998331 126420 1 e1 14114619 104360 -1
86 e1 17143168 274484 1 e1 5767436 136396 -1
87 e1 17503857 35767 1 e1 9952690 32815 1
88 e1 17572688 42020 1 e1 12116414 24772 -1
89 e1 17661067 578555 1 e1 9316898 411437 1
90 e1 18285704 42722 1 e1 12817367 19208 -1
91 e1 18343379 38321 1 e1 9113886 25466 -1
92 e1 18525137 134472 1 e1 8934869 169743 1
93 e1 18904974 50703 1 e1 137000 47484 -1
94 e1 18978097 6972 1 e1 12809826 5575 1
95 e1 19263984 514259 1 e1 8244299 530392 1
96 e1 19832541 96979 1 e1 12863537 64215 1
97 e1 19935927 81323 1 e1 13059176 48172 1
98 e1 20100627 62051 1 e1 4934050 14705 1
99 e1 23957193 130396 1 e1 1964755 37122 1
100 e2 24412893 545511 1 e2 103216558 521572 1
101 e2 24972519 1477568 1 e2 103749913 1348190 -1
102 e2 26473478 763529 1 e2 105111798 755037 1
103 e2 27370502 278193 1 e2 119632179 297745 1
104 e2 27677032 102139 1 e2 108469040 120458 1
105 e2 27875118 511153 1 e2 134065550 814470 -1
106 e2 28386828 66058 1 e2 111234613 72785 -1
107 e2 28458063 50803 1 e2 135187558 45805 -1
108 e2 28511821 72687 1 e2 137635505 71616 1
109 e2 28588837 9369 1 e2 111945178 9203 -1
110 e2 28914329 136029 1 e2 112002530 125390 1
111 e2 29054365 131719 1 e2 139815343 134119 -1
112 e2 29231509 259999 1 e2 124370055 194003 1
113 e2 29527664 113918 1 e2 108594578 131273 1
114 e2 29643721 31616 1 e2 108411686 31152 1
115 e2 29677152 10468 1 e2 119935976 9266 1
116 e2 29732326 87694 1 e2 135234886 84827 1
117 e2 30001209 487116 1 e2 111310742 453773 -1
118 e2 30490445 8969 1 e2 133893324 9197 -1
119 e2 30537703 152771 1 e2 149219573 158757 -1
120 e2 30694912 175628 1 e2 156551490 213221 -1
121 e2 30887858 312363 1 e2 132423187 418683 -1
122 e2 31209645 207627 1 e2 120700822 271069 1
123 e2 31422650 1190693 1 e2 129093281 1447805 1
124 e2 32844503 406728 1 e2 123279019 498415 -1
125 e2 33253957 36184 1 e2 149862278 27747 1
126 e2 33316609 162297 1 e2 112457953 162853 1
127 e2 33484442 144099 1 e2 152720772 122726 -1
128 e2 33629622 44472 1 e2 114893101 27426 1
129 e2 33675355 113610 1 e2 135475810 115978 -1
130 e2 33803306 64410 1 e2 111841841 82629 1
131 e2 33879314 23592 1 e2 120680175 9839 1
132 e2 34157920 294410 1 e2 109181929 36446 -1
133 e2 34546942 312961 1 e2 144458651 338220 -1
134 e2 34873030 11173 1 e2 148697806 12638 1
135 e2 34903958 84124 1 e2 148767467 92158 1
136 e2 35000804 2230488 1 e2 106455320 1954849 1
137 e2 37232079 338410 1 e2 108727319 304846 1
138 e2 37706702 733248 1 e2 153809299 765044 -1
139 e2 38463684 227149 1 e2 123986302 326541 -1
140 e2 38703613 363346 1 e2 143891636 391346 1
141 e2 39077578 134189 1 e2 156769485 134700 -1
142 e2 39214875 112919 1 e2 149094045 112994 -1
143 e2 39528126 124965 1 e2 134919639 124551 1
144 e2 39662976 831637 1 e2 121367513 913917 1
145 e2 40497729 294757 1 e2 146612066 276708 1
146 e2 40793506 205780 1 e2 146928251 197581 -1
147 e2 41046342 1602033 1 e2 147133434 1561881 1
148 e2 42654206 132578 1 e2 144283896 155371 -1
149 e2 42902136 1496419 1 e2 157035668 1453467 1
150 e2 44607992 293121 1 e2 150796342 271836 1
151 e2 44908943 30848 1 e2 113394547 27711 -1
152 e2 44962887 383238 1 e2 154950071 362653 1
153 e2 45357785 385816 1 e2 109946453 450978 1
154 e2 45772916 479710 1 e2 131658492 493838 -1
155 e2 46268545 574084 1 e2 105867140 457215 -1
156 e2 46842984 3991263 1 e2 115497200 3984018 -1
157 e2 50956626 72168 1 e2 125966290 72951 -1
158 e2 51061085 111445 1 e2 152843998 84444 -1
159 e2 51181365 34234 1 e2 148715561 33878 1
160 e2 51430217 911400 1 e2 113697872 955360 -1
161 e2 52398285 203721 1 e2 138240491 202356 1
162 e2 52667677 311421 1 e2 112852994 357688 -1
163 e2 53006893 58362 1 e2 132872369 127494 1
164 e2 53199260 169454 1 e2 109219924 204848 -1
165 e2 53388212 99072 1 e2 143761340 112932 1
166 e2 53488101 56067 1 e2 125902093 63519 1
167 e2 53545321 590215 1 e2 152970902 680322 1
168 e2 54214311 14748 1 e2 111931177 12693 -1
169 e2 54230383 29059 1 e2 120642464 36432 -1
170 e2 54378303 76694 1 e2 138786937 65185 1
171 e2 54465735 44732 1 e2 141004990 42664 -1
172 e2 54517984 386313 1 e2 146266882 343557 1
173 e2 54905404 857183 1 e2 122281745 920608 1
174 e2 55834422 502180 1 e2 149402222 438214 -1
175 e2 56590441 195799 1 e2 152103381 207988 -1
176 e2 56818087 16224 1 e2 154843777 20496 -1
177 e2 56892863 7805 1 e2 109055090 7701 1
178 e2 57252499 74481 1 e2 110674375 54909 1
179 e2 57328716 68774 1 e2 151076801 67972 1
180 e2 57496512 74177 1 e2 128241075 60572 -1
181 e2 57574340 28185 1 e2 113577284 23662 -1
182 e2 57700004 64045 1 e2 115338836 70471 1
183 e2 57794502 10971 1 e2 150571967 8807 -1
184 e2 57812983 164019 1 e2 137474329 158180 -1
185 e2 58021378 185102 1 e2 106329130 125945 1
186 e2 58210491 1239491 1 e2 124654591 1246590 1
187 e2 59455771 132722 1 e2 123814312 161619 -1
188 e2 59607922 220058 1 e2 130818791 187995 1
189 e2 60004951 41442 1 e2 131103980 68630 -1
190 e2 60225758 287493 1 e2 131341228 316808 1
191 e2 60521867 197928 1 e2 137267288 166423 -1
192 e2 60721191 800598 1 e2 127358808 825799 1
193 e2 61554729 69541 1 e2 113602118 13762 -1
194 e2 61754258 148393 1 e2 138036837 112590 -1
195 e2 61914793 177022 1 e2 112651860 188217 1
196 e2 62094255 1412599 1 e2 155328333 1222795 -1
197 e2 63536752 309839 1 e2 109566056 352287 -1
198 e2 63857074 821948 1 e2 133004033 819902 1
199 e2 64726714 65611 1 e2 153719018 63108 1
200 e2 64830011 146729 1 e2 135049422 135073 -1
201 e2 64987530 279732 1 e2 121132536 214111 -1
202 e2 65298231 389529 1 e2 143116173 358782 1
203 e2 65718519 700660 1 e2 141058569 507136 -1
204 e2 66444071 384498 1 e2 138867210 259949 1
205 e2 67016747 6047 1 e2 110729810 5908 -1
206 e2 67034223 137891 1 e2 113440381 127890 1
207 e2 67184231 332978 1 e2 114940457 318257 -1
208 e2 67519284 196055 1 e2 135594543 199229 1
209 e2 67733505 14729 1 e2 126171866 14359 -1
210 e2 67749261 436438 1 e2 136900242 366176 1
211 e2 68187569 467027 1 e2 126973936 384284 -1
212 e2 68683098 382960 1 e2 140634023 370462 -1
213 e2 69085449 95620 1 e2 138523234 87682 1
214 e2 69238781 869360 1 e2 119969846 663889 -1
215 e2 70108457 603816 1 e2 110907675 292605 -1
216 e2 70729999 403095 1 e2 151637248 447306 -1
217 e2 71513876 688501 1 e2 128393072 695613 1
218 e2 72217112 84197 1 e2 120980476 124263 1
219 e2 72308235 1597637 1 e2 141749477 1365565 -1
220 e2 73918741 793508 1 e2 139954382 668282 -1
221 e2 74718280 388981 1 e2 112131291 320392 1
222 e2 75108026 430267 1 e2 149909214 420786 1
223 e2 75614363 642902 1 e2 126191735 542610 1
224 e2 76274031 61971 1 e2 143701040 56471 1
225 e2 76353743 1603598 1 e2 144812769 1437017 1
226 e2 78256415 292290 1 e2 143475727 205066 -1
227 e2 78550119 96966 1 e2 141575945 108589 1
228 e2 78784083 7789 1 e2 113332360 9718 1
229 e2 78853383 37084 1 e2 154889512 13358 -1
230 e2 79071906 425660 1 e2 139147762 397294 1
231 e2 79757596 147263 1 e2 150410257 131906 -1
232 e2 79909922 1183861 1 e2 135796037 1103902 1
233 e2 81094781 8517 1 e2 126165466 6113 -1
234 e2 81109942 69977 1 e2 115431446 65350 -1
235 e2 81194335 2219012 1 e2 158500506 2051039 1
236 e2 83858188 100471 1 e2 160593022 17164 -1
237 e2 84123430 1143623 1 e2 160757704 582433 1
238 e3 87397499 1273758 1 e4 60378111 690529 -1
239 e3 88693856 106645 1 e4 60070088 126778 1
240 e3 88908417 408775 1 e4 59544863 478968 -1
241 e3 89389651 258710 1 e3 66662156 366304 -1
242 e3 89701364 164882 1 e3 64090538 297882 1
243 e3 89990491 241369 1 e3 66241064 250356 -1
244 e3 90238742 141124 1 e3 63781192 232486 1
245 e3 90382282 78982 1 e3 66572784 72406 -1
246 e3 90469382 280995 1 e3 65903714 323263 -1
247 e3 90775139 137063 1 e3 64601664 171803 -1
248 e3 91638795 48293 1 e3 79756471 41443 1
249 e3 91797029 268369 1 e3 97665290 282746 1
250 e3 92078114 2411961 1 e3 69786446 1972513 -1
251 e3 94498028 165071 1 e3 79810988 115187 -1
252 e3 94750491 340528 1 e3 97330726 243046 -1
253 e3 95353082 473801 1 e3 65200205 452159 -1
254 e3 95829562 246732 1 e3 82829335 162378 1
255 e3 96099417 106856 1 e3 68124086 94715 -1
256 e3 96210031 2905 1 e3 77033949 2184 -1
257 e3 96213317 126467 1 e3 68009297 109755 -1
258 e3 96342085 941981 1 e3 81899394 814342 -1
259 e3 97916646 176515 1 e3 79398427 126684 1
260 e3 98236546 231831 1 e3 97154145 171229 -1
261 e3 98520897 680813 1 e3 62989039 776155 1
262 e3 99212771 44431 1 e3 66517973 53764 -1
263 e3 99396120 393594 1 e3 64775540 378828 1
264 e3 99837511 132959 1 e3 82716865 102557 -1
265 e3 99971478 349196 1 e3 67656679 352201 -1
266 e3 100339895 388855 1 e3 78334610 382310 -1
267 e3 100773533 181870 1 e3 61713751 175818 -1
268 e3 101051457 275390 1 e3 87130467 258285 1
269 e3 101339405 1214551 1 e3 85982554 1021519 -1
270 e3 102561058 732228 1 e3 90750630 690613 -1
271 e3 103294622 513365 1 e3 67117184 424740 -1
272 e3 103815233 122443 1 e3 61443511 117800 1
273 e3 103949502 148325 1 e3 92924090 119732 -1
274 e3 104100674 39611 1 e3 91446258 30896 1
275 e3 104179875 836854 1 e3 62185894 780318 -1
276 e3 105021086 12248 1 e3 78282654 24968 -1
277 e3 105083582 551829 1 e3 73510865 429104 -1
278 e3 105639448 110267 1 e3 84835767 103236 1
279 e3 105797491 24756 1 e3 97957927 6360 1
280 e3 105836239 557179 1 e3 71765516 488907 1
281 e3 106407895 125565 1 e3 74724938 107363 -1
282 e3 106637884 426764 1 e3 73095468 336728 -1
283 e3 107065241 890607 1 e3 96242061 761998 -1
284 e3 108149026 364932 1 e3 74333867 386401 1
285 e3 108515158 1159466 1 e3 82994767 1094491 -1
286 e3 109717100 100316 1 e3 74224258 97544 1
287 e3 109825268 2061451 1 e3 94301267 1755625 -1
288 e3 111967118 59488 1 e3 76901634 58476 1
289 e3 112135126 323732 1 e3 87391763 293377 -1
290 e3 112485206 71212 1 e3 87032742 72276 1
291 e3 112569946 139897 1 e3 84538153 125048 -1
292 e3 112772653 130614 1 e3 68281165 147785 1
293 e3 112941382 5886 1 e3 99116649 5950 -1
294 e3 112952362 91660 1 e3 79962957 77570 -1
295 e3 113077329 1023921 1 e3 75863656 1002921 1
296 e3 114103606 335294 1 e3 93073647 300958 -1
297 e3 114438977 17584 1 e3 87109681 19830 1
298 e3 114457732 117693 1 e3 97018850 103083 1
299 e3 114578842 1065494 1 e3 91477393 812534 1
300 e3 116045635 844611 1 e3 75064050 677048 -1
301 e3 116907377 255224 1 e3 85156877 219280 -1
302 e3 117453353 1229609 1 e3 97993116 1119605 1
303 e3 118700122 246538 1 e3 68733008 253732 -1
304 e3 118956527 1349451 1 e3 88658883 1120672 -1
305 e3 120382528 267831 1 e3 68459056 272015 -1
306 e3 120658732 906446 1 e3 99123151 727101 1
307 e3 121573303 726558 1 e3 93606724 654343 1
308 e3 122474943 47707 1 e3 73979271 46432 -1
309 e3 122529184 1381037 1 e3 77044362 1234400 -1
310 e3 123934218 972294 1 e3 87695756 896242 1
311 e3 124920433 1000689 1 e3 89805914 908370 1
312 e3 125948430 116668 1 e3 67565694 85712 1
313 e3 126078571 58441 1 e3 78734253 50071 1
314 e3 126146962 91120 1 e3 93466064 25205 -1
315 e3 126304394 342159 1 e3 84184972 291726 -1
316 e3 126770729 128695 1 e3 61565020 148232 -1
317 e3 126902910 21208 1 e3 93050505 16382 1
318 e3 127114889 917265 1 e3 72254500 840566 -1
319 e3 128099835 185458 1 e3 74881049 173957 1
320 e3 128298672 614276 1 e3 85386018 596431 1
321 e3 128915658 322437 1 e3 92621395 301239 -1
322 e3 129429005 14517 1 e3 75829526 15257 1
323 e3 129462054 5808 1 e3 79926490 4532 -1
324 e3 129473592 666973 1 e3 68996883 765160 -1
325 e3 130197594 1032520 1 e3 80096581 1204212 1
326 e3 131272798 185331 1 e3 78940864 7097 1
327 e3 131508402 63411 1 e3 93532170 57588 1
328 e3 131620110 562565 1 e3 99900380 538496 1
329 e3 132188798 1476136 1 e3 100847137 1399393 -1
330 e3 133857287 938470 1 e3 102294460 822036 -1
331 e3 134798746 104383 1 e3 100715521 71162 1
332 e3 134981738 26216 1 e3 102247679 31788 -1
333 e3 135050847 175309 1 e3 100480785 229213 1
334 e4 135239759 242725 1 e4 50510363 255150 -1
335 e4 135533935 1157404 1 e4 47471374 1537329 1
336 e4 136699715 64798 1 e4 52291116 68466 1
337 e4 137201404 153208 1 e4 53591468 178335 -1
338 e4 137558108 228874 1 e4 16646917 194016 -1
339 e4 137789884 161600 1 e4 16121022 92738 -1
340 e4 138026416 470297 1 e4 16232375 411367 -1
341 e4 138516290 888211 1 e4 50775603 1030822 1
342 e4 139474763 259392 1 e4 38261263 284083 1
343 e4 139915964 717953 1 e4 31316770 752696 1
344 e4 140857723 666338 1 e4 39655226 674862 1
345 e4 141525330 244370 1 e4 52370778 339661 1
346 e4 141782742 3923319 1 e4 22708821 3965064 1
347 e4 145751354 41446 1 e4 20398154 33731 1
348 e4 145793235 10706 1 e4 37919560 9170 -1
349 e4 145820718 129591 1 e4 20286413 107888 -1
350 e4 146047403 517173 1 e4 22189982 498867 1
351 e4 146577604 419386 1 e4 51954756 335743 -1
352 e4 147188849 1288054 1 e4 32333865 908013 -1
353 e4 148479990 482801 1 e4 54415777 443067 -1
354 e4 148982967 22805 1 e4 39634493 20213 1
355 e4 149031645 261684 1 e4 47213967 188321 -1
356 e4 149727508 230444 1 e4 55007857 168201 -1
357 e4 150012409 603233 1 e4 42494090 388523 -1
358 e4 150618938 2489235 1 e4 35827455 1903761 -1
359 e4 153178259 3858 1 e4 38132022 4125 1
360 e4 153281054 85976 1 e4 54865012 60709 1
361 e4 153505359 819741 1 e4 45764647 529872 -1
362 e4 154347666 1445500 1 e4 49402992 1105406 1
363 e4 155824337 499983 1 e4 33332830 358172 -1
364 e4 156325263 1312400 1 e4 33712857 1035865 1
365 e4 157674897 202896 1 e4 37929354 179148 1
366 e4 157907676 108202 1 e4 40583493 93309 -1
367 e4 158020140 342746 1 e4 53942954 321321 -1
368 e4 158402773 609789 1 e4 44836742 377872 1
369 e4 159321276 80466 1 e4 45308256 73801 -1
370 e4 159572051 28082 1 e4 45715296 30067 1
371 e4 159652577 247390 1 e4 49097811 261118 -1
372 e4 159901770 134577 1 e4 30664378 142318 -1
373 e4 160160242 29169 1 e4 34776123 24359 -1
374 e4 160536954 92630 1 e4 40330466 108279 -1
375 e4 160631672 8139 1 e4 52359906 10107 -1
376 e4 160644950 24185 1 e4 30314588 23187 1
377 e4 160677221 119665 1 e4 37733622 109808 -1
378 e4 160809809 2116504 1 e4 40749590 1716302 -1
379 e4 163161463 924740 1 e4 34801229 810266 -1
380 e4 164096856 216134 1 e4 30339021 226550 -1
381 e4 165182898 369623 1 e4 27084838 378704 1
382 e4 165645083 532125 1 e4 38608672 537747 -1
383 e4 166245457 45289 1 e4 31071968 40232 -1
384 e4 166364029 4980009 1 e4 16849717 3354198 -1
385 e4 171372337 806150 1 e4 52695870 697913 -1
386 e4 172278288 16469 1 e4 49083549 13425 1
387 e4 172307962 218566 1 e4 30814866 187445 1
388 e4 172547263 6852 1 e4 22168569 5033 -1
389 e4 172617511 211874 1 e4 54264892 134037 1
390 e4 172847737 4375 1 e4 39612808 6362 -1
391 e4 172880460 1053981 1 e4 43390659 1072376 1
392 e4 174387935 4657455 1 e4 27683544 2236474 -1
393 e4 179206577 705333 1 e4 21493713 617654 1
394 e4 179959052 42123 1 e4 40554998 28197 -1
395 e4 180100147 741637 1 e4 20728205 679587 1
396 e4 180882688 94046 1 e4 27580843 95539 -1
397 e4 181030834 361785 1 e4 39167818 296466 1
398 e4 181690510 457264 1 e4 42885685 396775 -1
399 e4 182151824 653839 1 e4 46404761 610641 1
400 e4 182867689 3275098 1 e4 55331067 2955023 1
401 e4 186410383 1473053 1 e4 58502842 939891 -1
402 e5 189017903 242468 1 e5 162909951 142093 -1
403 e5 189611919 149426 1 e5 162694942 61825 1
404 e5 189993980 830161 1 e5 161582635 1050833 -1
405 e5 190986783 110884 1 e5 163256182 118083 1
406 e5 191296828 89499 1 e5 165441917 92248 1
407 e5 191387153 60938 1 e5 163380192 137311 -1
408 e5 191527935 716664 1 e5 164177563 982524 -1
409 e5 192245600 313721 1 e5 163520126 273454 1
410 e5 193313413 309195 1 e5 168134354 268946 -1
411 e5 193689758 1140921 1 e5 184890735 1051368 1
412 e5 194841328 701232 1 e5 171776937 705233 -1
413 e5 195731323 578006 1 e5 178218228 194203 1
414 e5 196311649 84410 1 e5 183095538 51004 -1
415 e5 196580865 36092 1 e5 171018101 9592 -1
416 e5 196648199 14736 1 e5 190497823 36880 -1
417 e5 196706262 67435 1 e5 192216626 48532 -1
418 e5 196983385 80721 1 e5 171434990 62050 1
419 e5 197097991 218077 1 e5 176440568 154360 1
420 e5 197369755 96797 1 e5 168611671 97078 1
421 e5 197508727 684594 1 e5 167152357 447177 -1
422 e5 198400159 569519 1 e5 192322540 381295 1
423 e5 199030930 799948 1 e5 190718450 652383 -1
424 e5 200103818 132728 1 e5 170856785 131669 -1
425 e5 200270612 264796 1 e5 173686024 282076 1
426 e5 200733797 111865 1 e5 165559635 72275 -1
427 e5 200861056 292810 1 e5 163840725 246201 -1
428 e5 201237118 425273 1 e5 167768989 363970 1
429 e5 201725250 615586 1 e5 165648941 468677 1
430 e5 202723074 124353 1 e5 176663534 114848 1
431 e5 202850975 1300732 1 e5 186578168 1352566 1
432 e5 204155083 707239 1 e5 178415808 673039 -1
433 e5 204921602 874063 1 e5 183219503 948076 1
434 e5 205804487 389246 1 e5 179094047 472641 -1
435 e5 206200985 2648110 1 e5 187941992 2518622 1
436 e5 208864178 598361 1 e5 166430524 505024 -1
437 e5 209484414 2091104 1 e5 168715791 1942542 1
438 e5 211843816 383504 1 e5 184440152 321477 -1
439 e5 212242789 844129 1 e5 195721135 480465 -1
440 e5 213091537 10906 1 e5 171269354 9532 1
441 e5 213103274 618241 1 e5 191592080 623702 -1
442 e5 213788585 1561314 1 e5 179646984 1714376 1
443 e5 215471577 229505 1 e5 193161092 217192 -1
444 e5 216147837 250546 1 e5 181880450 305555 -1
445 e5 216764356 3031227 1 e5 193395102 2299557 1
446 e5 219855448 209064 1 e5 171033559 232835 -1
447 e5 220067676 804790 1 e5 182198092 773599 -1
448 e5 220992606 105028 1 e5 173077920 45708 -1
449 e5 221214837 366400 1 e5 198248011 239657 -1
450 e5 221626964 113134 1 e5 175910990 65166 1
451 e5 221845486 2116404 1 e5 196670796 1486244 -1
452 e5 223987895 13664 1 e5 176801804 34384 -1
453 e5 224038484 649945 1 e5 185942387 714086 -1
454 e5 224796114 430393 1 e5 172577856 348068 1
455 e5 225251932 46265 1 e5 198501797 46508 1
456 e5 225313233 511125 1 e5 199015600 456242 -1
457 e5 225831381 167044 1 e5 196234302 113731 1
458 e5 226006232 110528 1 e5 198915856 91406 1
459 e5 226148829 228451 1 e5 184168052 265623 -1
460 e5 226377718 73607 1 e5 179567154 77439 1
461 e5 226461500 89408 1 e5 191437199 102510 -1
462 e5 226596224 347334 1 e5 173285394 379020 1
463 e5 226944195 413456 1 e5 174152281 509285 1
464 e5 227509333 292156 1 e5 177730679 359663 1
465 e5 227873017 108974 1 e5 171627922 143332 -1
466 e5 228174790 264257 1 e5 175986383 453878 -1
467 e5 228447717 12653 1 e5 198212389 5357 1
468 e5 228499357 618956 1 e5 174662024 1105528 -1
469 e5 229151071 328045 1 e5 176865330 579272 -1
470 e5 229497245 228971 1 e5 196459830 208421 -1
471 e5 230003228 182759 1 e5 198747486 154671 1
472 e5 230298768 21439 1 e5 196373963 27082 -1
