"X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5","X1","X2","X3","X4","X5"
"AALB009653","2R","24710194","24719664","1","AATE018904","KI421885","8239721","8258165","-1","AGAP002238","2R","18034551","18047871","-1","ASIS004778","KI916862","40090","53992","1"
"AALB015863","2R","4618097","4624931","-1","AATE018031","KI421888","2725231","2732171","-1","AGAP002527","2R","22364288","22371320","1","ASIS013845","KI916183","111165","118084","-1"
"AALB001430","2L","36042243","36054694","-1","AATE008717","KI421882","1375119","1388704","-1","AGAP009207","3R","28697024","28745886","-1","ASIS003456","KI916508","76377","85384","-1"
"AALB000597","2L","14545790","14546933","1","AATE016096","KI421882","13895229","13896622","-1","AGAP008481","3R","11062921","11064084","1","ASIS006764","KI916275","815274","816671","-1"
"AALB007478","3R","32681461","32719340","-1","AATE002091","KI421924","10247","56354","-1","AGAP004707","2L","2358158","2431617","1","ASIS000575","KI916323","515010","525822","1"
"AALB003837","3R","1536821","1542367","-1","AATE020893","KI421887","5539560","5546120","1","AGAP011620","3L","30022597","30028326","1","ASIS020377","KI916735","43935","50305","-1"
"AALB010373","3R","12689130","12689806","-1","AATE008368","KI421887","8727821","8729125","-1","AGAP011842","3L","33980884","33981757","1","ASIS007792","KI916326","324664","325639","1"
"AALB002045","2R","23392391","23394415","-1","AATE009220","KI421885","11102994","11105324","-1","AGAP003960","2R","47008690","47010877","1","ASIS009587","KI916364","238502","240771","1"
"AALB004651","3L","12598708","12605583","1","AATE010680","KI421891","3844023","3853959","-1","AGAP006405","2L","31397844","31447449","-1","ASIS013595","AXCK02026178","846","2020","1"
"AALB014160","2L","33671810","33673156","-1","AATE001557","KI421882","18661831","18663201","-1","AGAP009507","3R","34967760","34968950","-1","ASIS019401","KI916423","358624","359986","-1"
"AALB002126","2R","21695047","21700758","1","AATE011488","KI421885","7738439","7746504","-1","AGAP002200","2R","17556634","17564558","-1","ASIS007685","KI916194","1898315","1908179","1"
"AALB000178","2L","22498985","22501042","1","AATE011786","KI421882","12621684","12623904","-1","AGAP008233","3R","7543137","7544776","1","ASIS017490","KI916297","620280","622311","1"
"AALB015489","2L","12135408","12157708","1","AATE004956","KI421882","55920","62531","-1","AGAP008767","3R","17336289","17360706","-1","ASIS005868","KI916431","115273","119149","-1"
"AALB009759","KB672410","92976","93442","1","AATE010697","KI421917","525209","528966","1","AGAP010351","3L","1950397","1953971","-1","ASIS006085","KI916451","52030","57180","-1"
"AALB003693","3R","34570205","34572698","1","AATE007542","KI421922","438922","449601","-1","AGAP004694","2L","1595176","1602296","-1","ASIS012170","KI916323","299441","311321","-1"
"AALB004074","3R","20959199","20960381","1","AATE001426","KI421894","2472115","2474855","1","AGAP004855","2L","4492189","4494085","1","ASIS007711","AXCK02025906","1","753","-1"
"AALB001587","2L","33845193","33851150","1","AATE003600","KI421912","150570","160417","-1","AGAP010003","3R","47500799","47533746","1","ASIS002893","KI916332","453019","456444","-1"
"AALB015812","3L","23816145","23817644","1","AATE011031","KI421884","11668317","11669312","-1","AGAP007543","2L","47438235","47439649","1","ASIS018849","KI916184","1658228","1659233","-1"
"AALB006215","3L","33181633","33186109","1","AATE015284","KI421888","9430682","9435098","-1","AGAP007578","2L","47796760","47800788","-1","ASIS010757","KI916223","592393","596976","-1"
"AALB010014","3R","6242907","6244271","1","AATE003769","KI421887","9856797","9858164","1","AGAP012100","3L","37645770","37647104","1","ASIS009747","KI916413","5221","5781","1"
"AALB009046","2R","6467706","6468947","1","AATE020907","KI421914","706572","707822","-1","AGAP002353","2R","20547215","20548780","1","ASIS003113","KI916201","1597404","1598844","-1"
"AALB001749","2L","30305661","30307454","1","AATE000329","KI421882","15941397","15943172","-1","AGAP008427","3R","10599615","10601435","-1","ASIS014743","KI916374","305398","307146","1"
"AALB009739","X","12186877","12192832","1","AATE004648","KI421896","174045","186107","1","AGAP000215","X","3571832","3581714","1","ASIS021138","KI916337","209805","215432","-1"
"AALB007160","2R","17631146","17634999","1","AATE006872","KI421888","3200431","3204476","1","AGAP003190","2R","33728250","33734102","1","ASIS013560","KI916183","599860","603646","1"
"AALB000166","2L","22738303","22749437","-1","AATE012040","KI421882","12352184","12358127","1","AGAP008247","3R","7803498","7870162","-1","ASIS022266","AXCK02026266","250","1806","1"
"AALB015785","2L","27771422","27772544","-1","AATE006667","KI421882","14179645","14180908","-1","AGAP009633","3R","37348557","37349608","-1","ASIS023104","KI916447","219631","220505","-1"
"AALB007277","2R","16118521","16120026","1","AATE016112","KI421883","12249537","12251722","1","AGAP003139","2R","33148444","33154607","-1","ASIS020484","KI916359","270410","277510","1"
"AALB004966","3L","17630692","17637296","1","AATE017028","KI421886","517845","519905","-1","AGAP006938","2L","40167174","40169246","-1","ASIS014610","KI916307","134826","136874","1"
"AALB003212","3L","2397998","2399827","1","AATE019296","KI421905","430383","432011","1","AGAP005198","2L","12189849","12191436","1","ASIS002159","KI916197","1677983","1679516","-1"
"AALB004538","3L","11023402","11024624","1","AATE004696","KI421884","10697561","10714278","1","AGAP007373","2L","46136461","46152656","-1","ASIS020329","KI916184","2854559","2860791","-1"
"AALB001234","3R","31787593","31791007","-1","AATE011137","KI421917","105772","107504","1","AGAP010371","3L","2288072","2290171","-1","ASIS001477","KI916419","57389","59030","-1"
"AALB008580","2R","48104844","48106164","-1","AATE020093","KI421888","9283082","9284374","1","AGAP001727","2R","8948785","8950495","1","ASIS014742","KI916314","124090","125362","1"
"AALB010524","3R","15129279","15130092","1","AATE018036","KI421887","1466530","1476858","-1","AGAP010835","3L","11724169","11724981","1","ASIS014273","KI916186","658464","659272","-1"
"AALB001504","2L","35086946","35090340","-1","AATE002313","KI421890","5497016","5501462","1","AGAP008132","3R","6014024","6016919","1","ASIS011710","KI916315","270686","273800","-1"
"AALB003128","2R","37423618","37425751","-1","AATE005050","KI421892","4556940","4557805","1","AGAP003814","2R","43726807","43728114","1","ASIS005828","KI916219","442341","443214","1"
"AALB004213","3L","5369717","5370870","-1","AATE001614","KI421884","1660498","1664791","1","AGAP005553","2L","16983297","16994592","-1","ASIS003744","KI916247","197563","198725","1"
"AALB000668","2L","13681104","13685029","1","AATE015094","KI421890","4975794","4981032","-1","AGAP009889","3R","44773869","44775019","-1","ASIS021840","KI916550","209823","214601","-1"
"AALB007135","2R","18273486","18278051","1","AATE009939","KI421897","3046129","3050287","1","AGAP002013","2R","13927785","13932101","1","ASIS004226","KI916183","3902632","3906813","1"
"AALB004362","3L","7840410","7848964","-1","AATE012277","KI421884","7741939","7748930","-1","AGAP005216","2L","12409610","12418274","1","ASIS005111","KI916225","992211","1000641","1"
"AALB006674","X","3495528","3496697","-1","AATE020065","KI421898","2189664","2191358","-1","AGAP000698","X","12541162","12542852","1","ASIS019415","KI916243","821404","823332","-1"
"AALB003131","2R","37432207","37444440","1","AATE011867","KI421892","4537963","4540032","-1","AGAP003808","2R","43704845","43706883","-1","ASIS015298","KI916219","415042","417050","-1"
"AALB000335","2L","19759006","19764025","1","AATE011479","KI421889","5094453","5103367","1","AGAP007992","3R","3850538","3854632","-1","ASIS006477","KI916198","1567353","1573702","-1"
"AALB015744","3L","9235551","9237346","1","AATE009952","KI421884","5075261","5077238","1","AGAP006047","2L","25632214","25633880","-1","ASIS005885","KI916259","709927","711997","1"
"AALB000706","2L","12994101","12996777","1","AATE007054","KI421889","4540403","4545290","1","AGAP008518","3R","11743386","11748144","1","ASIS004832","KI916214","675454","682928","1"
"AALB006341","X","7828373","7829138","1","AATE006230","KI421898","1609311","1614269","1","AGAP000382","X","6943073","6944078","1","ASIS003588","KI916223","359514","361046","-1"
"AALB015694","3L","26886269","26887014","-1","AATE005001","KI421884","503279","504518","1","AGAP006879","2L","39319780","39320739","1","ASIS015269","KI916841","50879","51707","-1"
"AALB005537","3L","24677338","24691968","-1","AATE017717","KI421884","1682732","1689386","-1","AGAP005549","2L","16957543","16966306","1","ASIS007318","KI916576","190681","195810","-1"
"AALB002816","2R","49571581","49576377","-1","AATE007563","KI421897","693728","698779","1","AGAP003466","2R","38023360","38027635","1","ASIS004043","AXCK02020318","8169","10379","1"
"AALB001945","2L","27171164","27174457","-1","AATE015002","KI421882","14296467","14299637","-1","AGAP009862","3R","44550269","44570066","1","ASIS015341","KI916447","362979","363632","-1"
"AALB000847","2L","10814024","10815614","-1","AATE014010","KI421889","5734257","5736033","1","AGAP007955","3R","3294893","3296415","-1","ASIS002460","AXCK02026821","460","1791","-1"
"AALB000945","2L","9212617","9215124","-1","AATE011816","KI421890","7804814","7807339","1","AGAP028421","3R","15392782","15395325","1","ASIS001200","KI916415","46729","49248","1"
"AALB009652","2R","24698968","24700750","-1","AATE013032","KI421885","8265187","8267601","1","AGAP002239","2R","18058292","18060441","1","ASIS015778","KI916194","1249417","1252796","-1"
"AALB009212","2R","3912314","3912763","1","AATE015867","KI421888","2010524","2010973","1","AGAP001274","2R","2185354","2186002","1","ASIS023494","KI916312","543610","544059","1"
"AALB000854","2L","10746517","10748286","-1","AATE009908","KI421882","1580614","1583638","-1","AGAP008976","3R","22409765","22411507","1","ASIS005182","KI916508","299025","299747","-1"
"AALB005041","3L","18886534","18890740","1","AATE017863","KI421891","4343038","4348540","1","AGAP006111","2L","26793211","26798156","1","ASIS014095","KI916187","437970","443591","1"
"AALB008969","2R","7404431","7405302","1","AATE009250","KI421906","1755373","1756697","-1","AGAP002712","2R","26053186","26054334","1","ASIS021617","KI916193","119904","121136","1"
"AALB009491","2R","730355","732703","-1","AATE016509","KI421883","9776276","9780829","-1","AGAP003284","2R","34946464","34949040","-1","ASIS004037","KI916205","574865","579973","-1"
"AALB006693","X","3358906","3367581","-1","AATE011758","KI421898","1573917","1578972","1","AGAP000844","X","15570148","15577691","-1","ASIS012779","KI916242","476284","489713","-1"
"AALB009854","3R","3670025","3671439","-1","AATE003043","KI421902","1836634","1837873","1","AGAP010504","3L","5124949","5126370","-1","ASIS002199","KI916347","447664","450419","-1"
"AALB001872","2L","28437384","28438186","-1","AATE013164","KI421889","2117671","2120542","1","AGAP009647","3R","37602455","37603229","-1","ASIS004793","KI916372","451126","451827","1"
"AALB010030","3R","6478385","6481798","1","AATE014743","KI421899","36350","40817","1","AGAP011513","3L","26285278","26286723","-1","ASIS017939","KI916203","184137","186203","1"
"AALB000894","2L","10220641","10228034","-1","AATE007882","KI421912","127357","135615","1","AGAP010008","3R","47559881","47560955","-1","ASIS004096","KI916332","426995","428071","1"
"AALB006884","X","884193","887852","1","AATE009214","KI421895","1237472","1256500","-1","AGAP001010","X","19263984","19269266","-1","ASIS004457","KI916296","322990","333462","1"
"AALB003255","3L","2798256","2800331","1","AATE004783","KI421884","1996382","1999554","1","AGAP006264","2L","28781554","28786006","1","ASIS011810","KI916702","93476","96109","1"
"AALB004288","3L","6641129","6646264","-1","AATE020025","KI421884","5836541","5849869","1","AGAP006017","2L","24690401","24703431","-1","ASIS003887","KI916491","295041","300628","-1"
"AALB004866","3L","16452335","16457146","-1","AATE001622","KI421894","5074921","5083218","-1","AGAP005263","2L","13380597","13387389","1","ASIS023207","KI916683","9643","18112","-1"
"AALB003405","2R","42470345","42472084","1","AATE009237","KI421892","61358","63097","-1","AGAP001601","2R","6634517","6636560","1","ASIS017830","KI916314","605421","608767","1"
"AALB002753","2R","44924920","44929398","-1","AATE012585","KI421897","1716920","1718602","-1","AGAP002394","2R","20902807","20904462","1","ASIS006354","KI916594","49630","51212","-1"
"AALB009683","2R","25338984","25341725","-1","AATE021032","KI421883","1983390","1987970","-1","AGAP002607","2R","23836783","23841399","1","ASIS023726","KI916191","2602858","2607288","1"
"AALB009227","2R","3766667","3768949","1","AATE007063","KI421888","8457966","8465154","-1","AGAP001512","2R","5728455","5733573","1","ASIS022204","KI916298","210851","216629","1"
"AALB005916","3L","29189202","29197171","-1","AATE010791","KI421886","8263896","8273180","-1","AGAP006375","2L","30676928","30678569","1","ASIS009572","KI916260","282513","294721","1"
"AALB005097","3L","19605152","19605652","1","AATE001747","KI421891","2563368","2563856","1","AGAP005493","2L","16202561","16203238","1","ASIS022819","KI916452","249607","250068","1"
"AALB004125","3L","4362228","4364000","-1","AATE012077","KI421886","6873413","6875136","-1","AGAP006676","2L","36651932","36652837","1","ASIS000740","KI916795","7862","8736","1"
"AALB007770","X","10882546","10885026","-1","AATE016320","KI421898","1799096","1803958","1","AGAP000724","X","13154935","13156918","-1","ASIS021953","AXCK02024238","317","3246","-1"
"AALB006445","X","6343611","6345277","1","AATE018948","KI421898","1121214","1128627","1","AGAP000540","X","9662048","9670481","1","ASIS022358","KI916366","205413","208029","-1"
"AALB001317","2L","37518781","37525718","-1","AATE002743","KI421890","6071746","6087893","-1","AGAP009952","3R","46164412","46166463","1","ASIS013094","KI918927","1198","3770","1"
"AALB006057","3L","30991090","30992218","1","AATE007281","KI421891","1861950","1863281","1","AGAP006100","2L","26649891","26651150","-1","ASIS006151","KI916218","946367","947500","1"
"AALB007839","2L","12968","15164","1","AATE005166","KI421900","2839258","2841578","-1","AGAP010173","3R","49908013","49910396","1","ASIS014747","KI916190","432468","435026","1"
"AALB009906","3R","4381535","4390065","-1","AATE008997","KI421979","812","9171","-1","AGAP012175","3L","38328174","38334784","-1","ASIS018537","KI916263","778734","787720","1"
"AALB005589","3L","25167483","25167935","-1","AATE001993","KI421886","1370346","1370795","-1","AGAP006622","2L","34763666","34764118","1","ASIS022986","KI916221","612304","612753","1"
"AALB009171","2R","4568270","4579128","-1","AATE012121","KI421888","2683245","2699901","-1","AGAP002529","2R","22425490","22437464","1","ASIS002503","KI916183","67870","73253","-1"
"AALB002759","2R","44881771","44885498","1","AATE013682","KI421892","6206266","6211831","-1","AGAP002952","2R","30054830","30063986","-1","ASIS019251","KI916271","115866","122404","1"
"AALB000328","2L","19864428","19865934","-1","AATE005232","KI421889","5208862","5211208","-1","AGAP007985","3R","3691424","3752570","1","ASIS015746","KI916190","1354481","1358222","-1"
"AALB003925","2R","26223583","26225839","1","AATE001708","KI421883","16398225","16401081","1","AGAP001613","2R","6816114","6818154","-1","ASIS023424","KI916382","389020","391415","1"
"AALB009490","2R","811691","814513","1","AATE006218","KI421883","9881157","9884425","1","AGAP012769","UNKN","27990622","27992867","1","ASIS022982","KI916484","42","569","1"
"AALB010520","3R","15121855","15123801","1","AATE014496","KI421895","4547168","4555023","1","AGAP011801","3L","33335429","33337768","1","ASIS002682","KI916253","534394","535587","-1"
"AALB006081","3L","31248181","31250747","-1","AATE019660","KI421884","7827212","7829971","-1","AGAP012708","UNKN","24524247","24526229","-1","ASIS018942","KI916526","155537","156169","1"
"AALB006872","X","1158359","1163451","1","AATE002936","KI421896","3164283","3175528","-1","AGAP000203","X","3355862","3371951","-1","ASIS016330","KI916316","360056","375825","1"
"AALB004958","3L","17600227","17604355","-1","AATE012237","KI421886","550821","557277","1","AGAP005351","2L","14446023","14450861","-1","ASIS013216","KI916307","91981","98454","-1"
"AALB000750","2L","12325936","12331021","-1","AATE019352","KI421899","2967795","2976207","-1","AGAP028182","3L","2762173","2765139","-1","ASIS009518","KI916277","711840","716616","-1"
"AALB008506","3R","23349026","23354349","1","AATE020607","KI421887","2863846","2874534","1","AGAP028522","3L","25001366","25012024","-1","ASIS000442","KI916203","1543233","1545966","1"
"AALB006080","3L","31244844","31247410","-1","AATE009552","KI421884","7822906","7826765","-1","AGAP005062","2L","9155189","9159529","1","ASIS015506","AXCK02025745","1","2113","1"
"AALB007609","3R","29759872","29763033","1","AATE007914","KI421913","604939","608144","1","AGAP010444","3L","3746262","3749424","1","ASIS004603","KI916229","543663","546867","1"
"AALB010027","3R","6375268","6377435","-1","AATE000933","KI421923","117465","121273","1","AGAP012858","UNKN","34426895","34427797","1","ASIS021470","KI916203","10427","13361","1"
"AALB000686","2L","13256660","13259691","1","AATE000388","KI421882","2616631","2622889","1","AGAP028076","3R","13796233","13798501","1","ASIS008288","KI916477","254824","260924","1"
"AALB006384","X","7336365","7338185","1","AATE011572","KI421895","1934931","1940088","1","AGAP000964","X","18531766","18534558","1","ASIS010367","KI916652","17695","22566","1"
"AALB006382","X","7356641","7358617","1","AATE000460","KI421895","1980140","1983465","1","AGAP000966","X","18557873","18559842","1","ASIS017731","KI916652","50707","53835","1"
"AALB010100","3R","7759916","7763169","1","AATE016041","KI421893","7103185","7112496","-1","AGAP011570","3L","27950291","27954900","-1","ASIS010870","KI916395","440498","443854","-1"
"AALB001881","2L","28354173","28355018","1","AATE013252","KI421882","11491431","11499332","-1","AGAP008295","3R","8632843","8633779","1","ASIS001831","KI916200","686272","687087","1"
"AALB000985","2L","8332638","8341357","1","AATE012290","KI421890","5853000","5868072","1","AGAP008098","3R","5643873","5659901","-1","ASIS012372","KI916719","73662","92632","-1"
"AALB009368","2R","2295652","2299052","1","AATE014327","KI421888","960473","966851","-1","AGAP001208","2R","1564839","1569129","1","ASIS004258","KI916192","2058282","2062285","-1"
"AALB014862","2R","1152645","1155960","1","AATE005028","KI421883","10309995","10315436","1","AGAP004182","2R","51384391","51387669","1","ASIS000861","KI916205","1199043","1206117","1"
"AALB002458","2R","13866133","13868918","-1","AATE005684","KI421892","151882","168923","1","AGAP001592","2R","6527324","6539429","-1","ASIS005738","KI916314","486362","499270","-1"
"AALB007743","X","9776823","9780964","1","AATE008091","KI421907","1261501","1265629","-1","AGAP000666","X","11804663","11808611","1","ASIS009622","KI916243","122753","126523","-1"
"AALB008929","2R","7787126","7790718","1","AATE020333","KI421906","1332787","1342767","-1","AGAP004476","2R","56758291","56781618","1","ASIS001442","KI917141","823","2968","1"
"AALB005112","3L","19731094","19734022","-1","AATE011213","KI421884","12458934","12460172","1","AGAP007443","2L","46604229","46605476","-1","ASIS012123","KI916184","2434405","2437004","1"
"AALB003216","3L","2444904","2462455","-1","AATE006120","KI421905","498205","512844","-1","AGAP005207","2L","12246061","12316072","-1","ASIS002729","KI916197","1601136","1625827","1"
"AALB001713","2L","30573141","30576967","-1","AATE005740","KI421890","3117279","3127042","-1","AGAP009104","3R","25631209","25642403","-1","ASIS018989","KI916206","586173","591125","-1"
"AALB005567","3L","24949935","24951329","1","AATE001500","KI421905","1076619","1078730","1","AGAP007211","2L","44361226","44363081","1","ASIS017099","KI916273","402653","404009","1"
"AALB007850","2L","243563","245999","1","AATE004569","KI421900","1984363","1986619","-1","AGAP010205","3R","50696700","50698440","1","ASIS005652","KI916198","1411204","1413104","-1"
"AALB007602","3R","29522426","29525225","-1","AATE016865","KI421913","382145","382658","-1","AGAP010437","3L","3546075","3546412","-1","ASIS005330","KI916229","310966","311388","-1"
"AALB010671","3R","17476696","17479016","-1","AATE007024","KI421887","9386763","9390746","1","AGAP011749","3L","32886016","32888673","-1","ASIS007272","KI916393","262292","265597","1"
"AALB003846","3R","1630748","1631518","1","AATE018800","KI421887","5439064","5439912","-1","AGAP011614","3L","29868915","29869793","-1","ASIS021255","KI916261","724443","729402","-1"
"AALB008196","2R","30933367","30937021","1","AATE003253","KI421888","8728091","8732502","1","AGAP001759","2R","9479330","9483291","1","ASIS008528","KI916428","150426","156160","1"
"AALB004484","3L","10217637","10225321","-1","AATE006373","KI421884","12724695","12732395","1","AGAP007698","2L","49111925","49130941","-1","ASIS002904","AXCK02018090","4930","21315","-1"
"AALB015596","2R","41834861","41835729","1","AATE021695","KI421885","3634609","3635438","1","AGAP013083","2R","29087886","29088624","1","ASIS005699","KI916213","189129","191214","1"
"AALB003550","2R","40440565","40441245","-1","AATE009845","KI421904","1266798","1267849","-1","AGAP004517","2R","57283357","57284338","-1","ASIS018018","KI916742","18505","19524","1"
"AALB002237","2R","19808947","19810422","1","AATE019518","KI421888","4020579","4022027","-1","AGAP001862","2R","11516577","11518058","-1","ASIS019515","KI916183","1439537","1440970","-1"
"AALB000995","2L","8174837","8176758","1","AATE016973","KI421882","10045517","10047583","1","AGAP008377","3R","10115600","10117543","-1","ASIS016650","KI916392","213119","215246","-1"
"AALB001896","2L","28058980","28065297","-1","AATE000030","KI421889","2554750","2573646","1","AGAP009002","3R","23116822","23136730","1","ASIS005196","AXCK02025567","3","1573","-1"
"AALB008440","2R","26833095","26836564","-1","AATE020181","KI421906","1850989","1864337","-1","AGAP002708","2R","25936374","25944762","1","ASIS019538","KI919204","275","2414","-1"
"AALB003494","2R","41272256","41274392","1","AATE014730","KI421892","3530796","3532439","-1","AGAP004424","2R","55882280","55884300","-1","ASIS013124","KI916193","1953958","1955619","-1"
"AALB008118","2R","32013756","32015121","-1","AATE001646","KI421892","2950190","2951497","-1","AGAP001749","2R","9284344","9285666","1","ASIS010016","KI916442","143809","145048","-1"
"AALB008594","2R","47906116","47906703","-1","AATE002242","KI421897","4188780","4189388","1","AGAP001740","2R","9145675","9146295","1","ASIS007400","KI916441","177708","178313","1"
"AALB004212","3L","5367925","5369137","1","AATE006017","KI421884","1664402","1666267","-1","AGAP005552","2L","16977124","16983609","1","ASIS014450","KI916247","199223","200528","-1"
"AALB004273","3L","6540500","6541414","-1","AATE017842","KI421884","5944464","5945364","1","AGAP005994","2L","24580830","24581781","-1","ASIS000571","KI916380","130012","130916","1"
"AALB010039","3R","6859181","6864443","1","AATE010624","KI421899","528102","533821","1","AGAP028523","3L","25812878","25984957","-1","ASIS022924","KI916203","758795","759519","1"
"AALB002797","2R","44518543","44520466","-1","AATE019829","KI421885","1748412","1750405","1","AGAP004060","2R","49264150","49266607","-1","ASIS005090","KI916217","51296","55759","-1"
"AALB005907","3L","29023868","29026313","1","AATE001439","KI421886","738586","739971","-1","AGAP005339","2L","14257864","14259365","-1","ASIS021236","KI916344","14630","16140","1"
"AALB007043","3R","25892237","25896288","1","AATE019788","KI421893","709444","713426","1","AGAP011172","3L","18227817","18231439","-1","ASIS018531","KI916249","693347","698624","-1"
"AALB004858","3L","16325253","16328680","1","AATE004880","KI421894","4953857","4958228","1","AGAP004832","2L","4214235","4217585","-1","ASIS002404","KI916353","472587","476108","1"
"AALB005257","3L","21343959","21353522","1","AATE014214","KI421891","88040","97156","1","AGAP006574","2L","34207128","34217886","1","ASIS016788","KI916192","1709131","1717442","1"
"AALB009199","2R","4226808","4230186","1","AATE012323","KI421888","2310454","2319784","-1","AGAP001290","2R","2505659","2508881","-1","ASIS000555","KI916757","2258","5655","1"
"AALB005335","3L","22471355","22483608","-1","AATE007571","KI421886","11412307","11416794","1","AGAP005370","2L","14709900","14711640","-1","ASIS000302","KI917325","13956","15813","-1"
"AALB001698","2L","30974151","30975263","-1","AATE018427","KI421890","3555122","3556286","-1","AGAP009116","3R","26153335","26154453","-1","ASIS006766","KI916206","1065445","1066474","-1"
"AALB004699","3L","13378575","13383047","1","AATE017387","KI421884","3952290","3955682","1","AGAP006959","2L","40260017","40263217","1","ASIS023144","KI916235","596505","598826","-1"
"AALB002343","2R","15411583","15412521","1","AATE006097","KI421892","7563081","7564285","1","AGAP013446","2R","50037689","50038588","-1","ASIS010368","KI916226","828988","829806","-1"
"AALB008994","2R","7041869","7042414","1","AATE003748","KI421888","9985981","9986530","-1","AGAP007415","2L","46416664","46417148","1","ASIS020620","KI916201","1763522","1764228","1"
