alb_id alb_chr alb_start alb_end alb_strand atr_chr atr_start atr_end atr_strand gam_chr gam_start gam_end gam_strand sin_chr sin_start sin_end sin_strand
AALB003216 3L 139033234 17551 -1 2L 83710764 14639 -1 2L 97918348 70011 -1 2L 45514236 161 1
AALB010671 3R 119408287 2320 -1 3L 170952241 3983 1 3L 220999783 2657 -1 3L 76230266 81 1
AALB003846 3R 103562339 770 1 3L 167004542 848 -1 3L 217982682 878 -1 3L 67108964 836 -1
AALB002237 2R 32001779 1475 1 3R 107217598 1448 -1 2R 35770918 1481 -1 3R 55479371 1433 -1
AALB000995 2L 72130849 1921 1 2R 26281753 2066 -1 3R 145135339 1943 -1 2R 25688854 41 -1
AALB008118 2R 44206588 1365 -1 3R 135590481 1307 -1 2R 33538685 1322 1 3R 59008815 75 -1
AALB004212 3L 141956255 1212 1 2L 63107454 1865 -1 2L 102649411 6485 1 2L 46449942 513 -1
AALB007043 3R 127823828 4051 1 3L 179414813 3982 -1 3L 206341584 3622 -1 3L 67956964 41 1
AALB005257 3L 157932289 9563 1 2L 83115403 9116 -1 2L 119879415 10758 1 2L 51099357 73 -1
AALB001757 2L 94109123 1837 1 2R 20217897 6428 1 3R 145807191 4089 -1 2R 16651823 803 1
AALB010289 3R 113318608 7832 1 3L 170101727 6990 1 3L 222390006 12968 -1 3L 77371092 173 -1
AALB009351 2R 14561507 3299 1 3R 104081494 3740 -1 2R 25903221 3419 1 3R 53004972 80 1
AALB004372 3L 144486489 1241 1 2L 101244303 1226 -1 2L 99590962 1226 -1 2L 40427987 1217 -1
AALB006607 X 4499242 839 1 X 5144479 1091 1 X 7694969 4091 -1 X 7098895 107 -1
AALB010576 3R 117745934 14396 -1 3L 162032497 19163 -1 3L 207542880 4131 -1 3L 63623248 602 1
AALB000837 2L 74861056 973 1 2R 50883121 1667 1 3R 138406215 1678 1 2R 25396646 163 1
AALB001330 2L 101215923 3326 1 2R 17214802 2186 1 3R 170622983 1897 -1 2R 13745968 1309 1
AALB005167 3L 156780211 5179 -1 2L 73399220 6848 1 2L 132807571 6053 -1 2L 49118936 165 1
AALB001568 2L 97960743 1829 -1 2R 27683544 2180 1 3R 178838070 903 -1 2R 22247016 950 1
AALB002280 2R 31499545 522 1 3R 114639377 682 1 2R 51307993 644 -1 3R 59309374 29 -1
AALB009378 2R 14209788 4974 1 3R 104408183 6696 -1 2R 25539285 6333 1 3R 54055137 41 -1
AALB007842 2L 64032424 6377 -1 2R 57747609 4345 -1 3R 185473106 21363 -1 2R 31412227 286 1
AALB010499 3R 116851868 1991 1 3L 189471687 677 1 3L 228327583 661 -1 3L 80673589 50 -1
AALB009821 3R 105202300 6296 1 3L 164488577 7279 -1 3L 213071378 1309 1 3L 70841707 107 -1
AALB001744 2L 94291109 1557 -1 2R 20417474 2194 -1 3R 145571133 1776 -1 2R 16842658 116 -1
AALB006284 X 8449634 2272 -1 X 7732114 2573 1 X 3000116 1741 1 X 536045 18 1
AALB003898 3R 130433816 3956 1 3L 197550871 4198 1 3L 190819592 3764 1 3L 62997944 71 -1
AALB001762 2L 94035191 405 -1 2R 20135788 1140 -1 3R 166261028 1062 1 2R 16569839 456 -1
AALB000099 2L 88276489 1620 -1 2R 28944018 4420 1 3R 177082863 4577 -1 2R 23659756 53 1
AALB009407 2R 13685103 9831 1 3R 104940535 7658 -1 2R 24968104 8521 1 3R 54594080 45 -1
AALB001393 2L 100549004 9192 -1 2R 16286283 4508 1 3R 138237632 4277 -1 2R 12827893 465 1
AALB005125 3L 156414190 1279 -1 2L 73800065 1088 1 2L 132388765 1154 -1 2L 49497825 8 -1
AALB001924 2L 91645144 4391 1 2R 31399899 1625 1 3R 139789538 18603 1 2R 32171140 1544 -1
AALB009958 3R 107484722 1667 1 3L 182601772 2102 -1 3L 227270314 1391 -1 3L 69994310 230 1
AALB010364 3R 114567831 3062 1 3L 170902479 3177 -1 3L 221067563 1522 1 3L 76181257 1072 -1
AALB008058 2R 45729498 1942 -1 X 2427982 2403 1 X 5133995 2027 1 X 4546 101 1
AALB002987 2R 46893440 1019 1 3R 159114763 815 -1 2R 81710148 1299 -1 3R 61916501 1007 1
AALB009363 2R 14515180 1431 1 3R 104131182 1847 -1 2R 25847695 2045 1 3R 52957510 66 1
AALB001147 2L 69029131 724 -1 2R 20993871 657 1 3R 180204791 501 1 2R 20417690 51 -1
AALB010377 3R 114653819 1835 -1 3L 170331988 3279 -1 3L 222033353 2789 1 3L 77136241 31 1
AALB001967 2L 90893730 836 -1 2R 50600660 1199 -1 3R 135192712 955 1 2R 25087609 74 -1
AALB004468 3L 146361337 2695 1 2L 91715749 3025 1 2L 106864720 2402 -1 2L 35230324 27 1
AALB006455 X 6235988 3049 1 X 7782771 7904 1 X 9473978 6332 1 X 591499 58 -1
AALB006493 X 5889044 3329 1 X 4109877 6188 1 X 9857331 5381 1 X 12668148 87 -1
AALB006164 3L 169002596 753 -1 2L 95664643 2031 -1 2L 123710369 2326 1 2L 44238642 132 1
AALB005449 3L 160304867 13116 1 2L 73202013 14941 -1 2L 133005457 9997 1 2L 48939488 1203 -1
AALB006634 X 4250560 2583 1 X 11465809 3567 1 X 1234904 3587 1 X 210603 326 -1
AALB007358 3R 130153879 1139 -1 3L 197255084 1112 -1 3L 188780523 1382 1 3L 63282771 85 1
AALB006188 3L 169338552 4608 -1 2L 96208798 3941 1 2L 123142339 146230 -1 2L 43668359 59 -1
AALB000744 2L 76412916 7137 1 2R 50757670 7843 1 3R 135033342 8155 -1 2R 25268489 212 1
AALB005015 3L 155019336 1649 1 2L 91419997 6350 1 2L 127236393 2264 -1 2L 39270037 364 -1
AALB003289 X 10052254 2587 -1 X 13672810 2839 1 X 15552854 1663 1 X 10356569 53 -1
AALB006673 X 3498067 23230 -1 X 13049681 21732 1 X 12519279 17447 1 X 2577074 56 -1
AALB007740 X 9769465 2173 -1 X 7433594 2270 -1 3R 186933266 2496 1 X 6031927 134 1
AALB000991 2L 72139182 24314 1 2R 39836566 16293 -1 3R 140822130 5413 -1 2R 27027876 174 -1
AALB006281 X 8460969 3228 -1 X 10971434 6963 -1 X 2965384 5352 -1 X 6445508 225 1
AALB005229 3L 157628336 1397 -1 2L 75376141 4368 1 2L 119497998 6647 -1 2L 51396536 199 1
AALB005752 3L 163943308 3395 -1 2L 72242380 1611 1 2L 131898200 1628 1 2L 49937967 315 -1
AALB006679 X 3480085 4436 1 X 13789329 4823 -1 X 15745790 4116 -1 X 10232169 160 1
AALB002188 2R 33053839 3903 -1 3R 109023096 3856 1 2R 37405171 4007 1 3R 57019941 171 1
AALB010739 3R 120347496 3847 -1 3L 174179059 1256 -1 3L 196077954 1169 1 3L 72989066 1220 1
AALB010217 3R 112258297 7777 1 3L 176629904 9038 1 3L 224619929 3936 1 3L 68392062 51 -1
AALB014159 2L 97629713 659 1 2R 17664670 1201 -1 3R 169989445 1195 1 2R 14196087 240 -1
AALB009970 3R 107657233 6027 1 3L 182318859 9787 -1 3L 228868727 4199 1 3L 70273026 2786 1
AALB007132 2R 30495353 1481 1 3R 153901194 2131 -1 2R 38210667 2036 1 3R 57708899 267 -1
AALB009299 2R 15119414 14250 -1 3R 103467036 18001 1 2R 24527518 12516 1 3R 53589421 21 -1
AALB007795 X 10590253 2883 -1 X 15290792 3358 -1 X 15543194 5640 -1 X 11708922 359 -1
AALB002977 2R 46809484 2879 -1 3R 159212282 4061 1 2R 81793597 3455 1 3R 61803118 303 1
AALB009365 2R 14511469 1858 -1 3R 104134326 1861 1 2R 25844827 1607 -1 3R 52955446 279 -1
AALB003189 3L 138069863 2134 1 2L 76629144 2466 -1 2L 96579989 1999 1 2L 42342631 170 -1
AALB010335 3R 114089529 2829 1 3L 168314412 2914 1 3L 212604775 2605 -1 3L 65229450 293 1
AALB003899 3R 130438795 7931 -1 3L 197555869 1324 -1 3L 190823916 1600 -1 3L 62994389 549 1
AALB010216 3R 112232264 1074 -1 3L 176601385 1179 -1 3L 194124065 1149 -1 3L 68425567 194 1
AALB000658 2L 77725001 2170 1 2R 40663316 1061 1 3R 157716414 785 -1 2R 27141573 149 1
AALB000720 2L 76622742 8217 -1 2R 49031022 3978 1 3R 146363659 2107 -1 2R 32945272 273 -1
AALB009390 2R 14107041 1146 1 3R 104514864 1051 -1 2R 25428263 1627 1 3R 54158214 512 -1
AALB000285 2L 84601432 2701 -1 2R 21238367 2439 1 3R 180455922 2066 1 2R 20178876 667 -1
AALB009382 2R 14195360 1388 1 3R 104427502 1379 -1 2R 25524753 1373 1 3R 54069515 1340 -1
AALB006929 X 343277 1212 1 X 15721152 4436 1 X 5759812 7464 -1 X 11595517 376 -1
AALB005243 3L 157811781 7978 1 2L 75151943 8274 -1 2L 119739037 9184 1 2L 51199364 60 -1
AALB006172 3L 169108331 6130 1 2L 95819278 8784 1 2L 123554553 3089 -1 2L 44083354 148 -1
AALB004676 3L 149575866 2118 1 2L 64998238 2224 1 2L 114217855 2219 -1 2L 48388931 143 1
AALB006942 X 165520 8204 -1 X 1162806 7363 1 X 11387693 10124 1 X 11783598 84 -1
AALB001918 2L 91667484 1449 1 2R 31426067 2142 1 3R 139820569 2256 1 2R 32138425 32 -1
AALB000982 2L 72304216 3958 -1 2R 39656179 8452 1 3R 140652280 4051 1 2R 26829195 172 1
AALB000981 2L 72308411 659 -1 2R 39655226 836 1 3R 140651306 718 1 2R 26828250 60 1
AALB003732 3R 102085783 1142 1 3L 169799809 1325 -1 3L 222788451 1437 -1 3L 77661440 223 1
AALB006614 X 4436845 8352 -1 X 11682831 18221 -1 X 1550317 7714 -1 X 5747806 1247 1
AALB001566 2L 97969141 6488 1 2R 27674838 1544 -1 3R 180676271 1594 1 2R 22239202 221 -1
AALB006937 X 235829 7953 -1 X 1067115 14085 1 X 11508185 12507 -1 X 11863499 21 -1
AALB002029 2L 90208051 365 -1 2R 31711872 362 -1 3R 140105631 687 -1 2R 31818599 362 1
AALB000907 2L 74022723 4179 1 2R 47213967 4764 1 3R 149084168 2744 -1 2R 30033580 1370 1
AALB009354 2R 14553290 2078 1 3R 104092463 2072 -1 2R 25894109 2072 1 3R 52995561 2072 1
AALB005819 3L 164598143 6521 -1 2L 63187257 6923 1 2L 102550633 1999 -1 2L 46533616 116 1
AALB003778 3R 102581294 4365 1 3R 103258894 1725 1 2R 24335436 3437 1 3R 53779721 1794 -1
AALB008536 2R 60953399 1396 -1 3R 138505457 1358 1 2R 73780452 1308 -1 3R 58315609 871 -1
AALB009766 3R 104699894 1308 1 3L 186546701 1320 1 3L 224794635 1903 1 3L 65332385 548 1
AALB000721 2L 76626706 893 1 2R 49029176 1713 -1 3R 146366043 1293 1 2R 32948465 51 1
AALB009426 2R 13583594 878 1 3R 105083284 1481 -1 2R 24849343 1452 1 3R 54696836 172 1
AALB007363 3R 130017801 4802 1 3L 197152347 5497 1 3L 188951722 5120 -1 3L 63368006 248 -1
AALB003097 2R 48959008 777 1 3R 118193684 1371 1 2R 47923702 707 -1 3R 60074352 354 1
AALB010332 3R 114059824 3913 1 3L 168285248 1777 1 3L 212707450 1463 -1 3L 65188158 762 1
AALB010279 3R 113113152 311 1 3L 183591876 8261 -1 3L 204203437 272 1 3L 74161310 323 -1
AALB000083 2L 88579159 1073 1 2R 35891961 1097 1 3R 152829281 1088 -1 2R 18713276 181 -1
AALB000749 2L 76287427 9185 -1 2R 50605243 10863 -1 3R 135186509 2311 1 2R 25098190 15 -1
AALB006395 X 7080488 3310 1 X 7106116 4206 1 X 17997200 12412 1 X 1041544 129 -1
AALB007086 3R 128351271 3802 1 3L 186731503 3378 1 3L 224967312 2641 1 3L 65528785 705 1
AALB008839 2R 21410824 13550 -1 3R 107453005 15467 -1 2R 36034468 13886 -1 3R 55716953 294 -1
AALB009432 2R 13549530 1091 -1 3R 105111798 8938 1 2R 26336808 1754 1 3R 54728238 194 1
AALB006362 X 7545606 504 1 X 11721492 1183 -1 X 14439438 522 -1 X 5722297 1406 1
AALB008771 2R 63678806 1872 1 2R 58974532 4420 -1 3R 186736302 3420 1 2R 33744960 188 -1
AALB006365 X 7495844 7549 -1 X 1503333 8719 1 X 20009765 7485 1 X 10952087 480 1
AALB004021 3R 123560662 9298 -1 3L 189526180 4729 -1 3L 209637217 4176 -1 3L 67740809 357 -1
AALB003961 3R 124329644 2068 -1 3L 175521592 2091 -1 3L 211933425 2634 1 3L 69577952 834 1
AALB000293 2L 84426760 3782 1 2R 38677429 4070 1 3R 165896686 1136 -1 2R 21092067 1121 1
AALB015533 X 10064441 1615 1 X 15665613 2049 -1 X 9489777 1718 1 X 10358732 728 1
AALB009056 2R 18559997 1086 1 3L 174580393 3958 1 3L 204938738 997 1 3L 72630428 947 -1
AALB007128 2R 30510045 1777 1 3R 153885671 901 -1 2R 38215852 10241 1 3R 57722211 286 1
AALB003197 3L 138303786 2568 -1 2L 76288450 10588 1 2L 96956680 50508 -1 2L 42048018 747 1
AALB005276 3L 158342043 739 -1 2L 82356748 1252 -1 2L 124125762 762 -1 2L 50399566 9 -1
AALB001955 2L 91079788 1667 -1 2R 19923426 1643 1 3R 166558271 1844 -1 2R 16359077 1628 1
AALB002037 2L 90053744 5316 1 2R 31525820 25407 1 3R 139916921 18885 1 2R 32009055 59 -1
AALB003787 3R 102674401 2846 -1 3L 169064736 3571 1 3L 229347888 1995 -1 3L 78391156 677 -1
AALB000807 2L 75210125 1295 1 2R 28098528 1280 1 3R 178289575 1253 -1 2R 22694396 1280 1
AALB000961 2L 72844218 5181 1 2R 37394983 5915 1 3R 150892341 53068 -1 2R 17387693 534 -1
AALB002703 2R 22319998 3316 1 3R 108379178 5741 1 2R 37056554 6019 1 3R 56607226 779 1
AALB004458 3L 146037658 2574 -1 2L 68616739 26578 -1 2L 107209070 8610 1 2L 34911392 138 -1
AALB004915 3L 153841637 5269 1 2L 62587384 5885 1 2L 125697937 5117 1 2L 46050605 143 1
AALB009385 2R 14173710 7051 1 3R 104444012 6094 -1 2R 25503341 6302 1 3R 54084718 45 1
AALB009215 2R 16065424 17549 1 3R 105165209 5823 1 2R 26394877 4561 1 3R 54785890 77 1
AALB004669 3L 149552226 2057 1 2L 64960228 2639 1 2L 126724653 1939 1 2L 48360131 170 1
AALB005367 3L 159430816 1898 -1 2L 96598255 2206 1 2L 122622713 1887 -1 2L 43308858 71 -1
AALB000350 2L 83493717 1187 1 2R 35400469 1184 -1 3R 163143553 1211 1 2R 19125086 11 -1
AALB006564 X 4913281 1752 -1 X 2920976 2101 1 X 2485052 1817 1 X 9267722 1130 1
AALB009682 2R 37529259 1225 1 3R 117998524 1793 1 2R 48096069 1510 -1 3R 61730638 58 1
AALB004941 3L 154061096 11053 -1 2L 84095213 767 1 2L 112859007 414 -1 2L 45178290 17 -1
AALB006815 X 1716663 6337 1 X 14785819 9561 -1 X 11683504 3061 -1 X 9567735 68 -1
AALB003198 3L 138334811 2448 -1 2L 76248834 9624 1 2L 97009994 8610 -1 2L 42007676 533 -1
AALB005858 3L 165160527 1782 -1 2L 73903558 1172 -1 2L 132275002 1440 1 2L 49600185 1439 -1
AALB003731 3R 102077518 8063 1 3L 169802471 6940 -1 3L 222790550 7381 -1 3L 77654157 140 1
AALB004707 3L 150151450 3424 1 2L 77401849 12208 -1 2L 109330590 11367 1 2L 43146956 176 -1
AALB002979 2R 46826284 3839 1 3R 159190896 4358 -1 2R 81778197 3217 -1 3R 61841729 1148 1
AALB010522 3R 117056337 1603 1 3L 180812010 1771 1 3L 221452620 1438 1 3L 80465639 1082 -1
AALB010350 3R 114461713 2620 1 3L 183863372 3847 1 3L 203915040 2688 -1 3L 74387890 1577 1
AALB006190 3L 169442656 3568 1 2L 96062286 4571 -1 2L 123298168 5890 1 2L 43832725 213 1
AALB010042 3R 108848338 1453 -1 3L 184727440 1829 1 3L 213839737 686 -1 3L 72252251 99 -1
AALB003781 3R 102600899 2095 -1 3L 169149723 7193 1 3L 229246540 2115 -1 3L 78302927 123 -1
AALB005301 3L 158702234 1164 -1 2L 82704244 1349 -1 2L 124529202 1334 -1 2L 50726551 108 -1
AALB009635 2R 36740223 5192 1 3R 138526767 2192 1 2R 68952941 1872 1 3R 58294693 29 -1
AALB002699 2R 22361209 638 1 3R 108426191 632 1 2R 29520774 733 1 3R 56654462 632 1
AALB004878 3L 153156769 4988 1 2L 76747133 5550 1 2L 96446192 2048 -1 2L 42461930 186 1
AALB000387 2L 82802444 5373 1 2R 48569865 1835 1 3R 136129797 1832 1 2L 36464479 1832 1
AALB006880 X 1000698 10046 -1 X 10689238 23747 -1 X 3227256 31078 1 X 6735377 17 1
AALB004914 3L 153819607 714 -1 2L 62555747 1165 -1 2L 125668194 1200 -1 2L 46020882 128 -1
AALB004502 3L 147215341 2142 -1 2L 71720605 2481 -1 2L 121339118 2071 -1 2L 52627462 615 -1
AALB004792 3L 151345081 10157 -1 2L 76942382 5268 -1 2L 96211374 4341 1 2L 42665150 99 -1
AALB008844 2R 21334147 938 -1 3R 107370820 719 -1 2R 35944912 689 -1 3R 55630667 650 -1
AALB009066 2R 18130948 12433 -1 3R 150544805 5301 -1 2R 64661753 17686 -1 3R 60672323 140 1
AALB007695 X 9355123 2791 -1 X 3190955 3951 1 X 2057361 3851 -1 X 3878035 15 -1
AALB008822 2R 21561358 8356 -1 3R 107617610 8130 -1 2R 36210251 7500 -1 3R 55874334 266 -1
AALB010220 3R 112380105 752 -1 3L 186668168 11330 -1 3L 224913727 1538 -1 3L 65464246 291 -1
AALB009899 3R 106252776 1570 1 3L 183485320 2760 1 3L 204420904 1547 -1 3L 74044648 94 1
AALB003262 3L 139498957 1181 -1 2L 63666704 1882 1 2L 114754823 1340 1 2L 47006430 51 1
AALB001479 2L 99221673 4713 1 2R 26210024 9326 -1 3R 145068982 5127 -1 2R 30811620 97 -1
AALB000724 2L 76609648 2070 1 2R 49046306 4050 -1 3R 172014726 3800 -1 2R 32929409 489 1
AALB009690 2R 37560404 560 1 3R 118160523 10213 -1 2R 47935343 1725 1 3R 60065274 128 -1
AALB002181 2R 33157535 5915 -1 3R 108909694 6149 1 2R 37275073 22080 1 3R 56917643 110 1
AALB001365 2L 100766061 2199 -1 2R 16728455 6883 -1 3R 137476148 2348 1 2R 13270328 12 -1
AALB007868 2L 64501175 4037 -1 2R 59439675 3058 1 3R 186203966 1826 -1 2R 34141564 62 1
AALB002665 2R 22733651 13068 -1 3R 108859916 6526 -1 2R 37243110 1610 -1 3R 56881535 1219 -1
AALB004100 3L 140348785 887 -1 2L 64339760 1910 -1 2L 115648585 1341 -1 2L 47711832 455 -1
AALB008535 2R 60959373 1724 1 3R 138497486 1733 -1 2R 78609721 2118 1 3R 58322775 1733 1
AALB002324 2R 28023120 1025 -1 3R 138326151 1007 1 2R 52340637 1773 1 3R 58492351 277 -1
AALB007146 2R 29948667 2902 1 3R 154468465 3704 -1 2R 37660401 3077 1 3R 57254137 1016 1
AALB001469 2L 99427916 3137 1 2R 25947487 5337 -1 3R 144757843 3326 -1 2R 30502524 199 -1
AALB003804 3R 102847939 5029 1 3L 171403213 4864 -1 3L 229862678 4873 1 3L 76821053 211 1
AALB010315 3R 113831879 2402 1 3L 168039638 7453 1 3L 219393045 2172 1 3L 64920795 62 1
AALB010384 3R 114672250 805 1 3L 170359492 852 1 3L 221993629 662 -1 3L 77112575 116 -1
AALB005387 3L 159670551 6702 1 2L 96274384 9599 -1 2L 122968448 2041 1 2L 43594804 52 1
AALB002666 2R 22730372 2392 1 3R 108841649 2596 1 2R 37225599 2144 1 3R 56856419 92 1
AALB010075 3R 109378709 1247 -1 3L 180840780 2679 -1 3L 228176892 1244 1 3L 80427945 940 1
AALB004052 3R 123189435 1528 1 3L 175305840 1049 -1 3L 226048771 1455 1 3L 75191455 277 1
AALB010262 3R 112697347 3578 1 3L 170464512 26400 1 3L 221819615 6550 -1 3L 75782088 588 1
AALB009431 2R 13563972 1057 1 3R 105106275 1251 -1 2R 24824925 1766 1 3R 54721871 920 -1
AALB003215 3L 139009597 5721 1 2L 83675333 1229 1 2L 97894778 857 1 2L 45579656 503 -1
AALB004455 3L 145951924 4733 1 2L 68555157 5121 1 2L 107292690 2931 -1 2L 34833246 100 1
AALB009366 2R 14507090 2859 1 3R 104136253 7207 -1 2R 25839809 4529 1 3R 52950236 123 1
AALB001033 2L 71310327 4803 -1 2R 27097839 5184 1 3R 164987125 2893 1 2R 26491946 128 1
AALB010320 3R 113860151 3077 1 3L 168069057 1346 1 3L 219429408 1494 1 3L 64953735 48 1
AALB000712 2L 76746577 16264 -1 2R 52190802 5488 1 3R 146495418 28394 -1 2R 33082066 147 -1
AALB008481 3R 125673317 6294 -1 3L 189945672 2753 -1 3L 209961718 2254 -1 3L 67421538 27 1
AALB010772 3R 121157993 998 1 3L 184128896 942 -1 3L 205803074 1033 1 3L 74577992 121 -1
AALB002970 2R 46726573 9698 -1 3R 159281410 5032 1 2R 81868567 2652 1 3R 59889769 70 -1
AALB005748 3L 163889947 803 -1 2L 72297885 1600 1 2L 131952773 1642 1 2L 49884888 79 -1
AALB009893 3R 106218803 3419 1 3L 183441989 3185 1 3L 204464900 2734 -1 3L 73999311 1058 1
AALB006498 X 5843921 1124 1 X 4158427 3037 -1 X 11597718 1570 -1 X 8211671 18 1
AALB010398 3R 114817492 1176 -1 3L 186169334 851 1 3L 194676993 1560 -1 3L 79371168 11 -1
AALB005110 3L 156312225 2042 1 2L 73908507 8303 -1 2L 132267473 2168 1 2L 49608195 95 -1
AALB002973 2R 46770727 1606 -1 3R 159255918 1682 1 2R 81841918 1647 1 3R 61761122 2849 1
AALB002924 2R 63190849 1458 1 2R 58502842 1640 1 3R 187675409 1610 1 2R 33281307 40 1
AALB004984 3L 154374420 1354 1 2L 69748853 1337 -1 2L 91782572 3552 -1 2L 36474249 274 1
AALB010488 3R 116262378 13452 1 3L 163995941 7263 -1 3L 226221076 5490 1 3L 74946989 211 1
AALB003194 3L 138246642 5514 1 2L 76387149 3404 -1 2L 96858715 4428 1 2L 42134630 48 -1
AALB007046 3R 127843766 1622 1 3L 179397597 2168 -1 3L 206319936 970 -1 3L 67979919 218 1
AALB002035 2L 90071727 9648 1 2R 31565339 3151 1 3R 139954059 2985 1 2R 32678008 117 1
AALB001876 2L 92335253 7588 1 2R 54321040 10549 1 3R 172509762 11448 1 2R 21393825 363 1
AALB000001 2L 89992850 6659 1 2R 31479573 6581 1 3R 139869987 6518 1 2R 32076282 6512 -1
AALB001487 2L 99159716 1325 1 2R 39864039 1621 -1 3R 140848572 2040 -1 2R 27040660 65 -1
AALB000632 2L 78067736 2406 1 2R 21594195 5793 1 3R 179127028 2578 1 2R 19780892 54 -1
AALB006838 X 1538909 5789 -1 X 2206059 12862 1 X 7157708 10110 -1 X 2329132 55 -1
AALB006142 3L 168653940 6920 -1 2L 95155056 28614 -1 2L 113607786 201324 -1 2L 44689359 33 1
AALB001195 2L 68051881 1493 -1 2R 45765645 1523 -1 3R 154116063 1583 1 2R 28565553 183 -1
AALB004023 3R 123558481 892 1 3L 189523342 1093 1 3L 209632691 1065 1 3L 67740809 357 -1
AALB000085 2L 88540650 1251 1 2L 73785634 1828 1 2L 132420596 1592 -1 2L 49476138 9 1
AALB001113 2L 69623966 3690 1 2R 37198518 3766 1 3R 151179882 3186 -1 2R 17572320 2500 -1
AALB001596 2L 97706647 1879 1 2R 46801521 4578 1 3R 182356948 1914 1 2R 29589222 1454 1
AALB007708 X 9509441 2956 -1 X 935489 2723 -1 X 8487286 22247 -1 X 12053727 754 1
AALB000306 2L 84039738 805 -1 2R 35480770 863 -1 3R 163063973 886 1 2R 19048710 84 1
