"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene";"asinensis_eg_gene"
"AALB005916";"AATE010791";"AGAP006375";"ASIS009572"
"AALB005097";"AATE001747";"AGAP005493";"ASIS022819"
"AALB004125";"AATE012077";"AGAP006676";"ASIS000740"
"AALB007770";"AATE016320";"AGAP000724";"ASIS021953"
"AALB006445";"AATE018948";"AGAP000540";"ASIS022358"
"AALB001317";"AATE002743";"AGAP009952";"ASIS013094"
"AALB006057";"AATE007281";"AGAP006100";"ASIS006151"
"AALB007839";"AATE005166";"AGAP010173";"ASIS014747"
"AALB009906";"AATE008997";"AGAP012175";"ASIS018537"
"AALB005589";"AATE001993";"AGAP006622";"ASIS022986"
"AALB009171";"AATE012121";"AGAP002529";"ASIS002503"
"AALB002759";"AATE013682";"AGAP002952";"ASIS019251"
"AALB000328";"AATE005232";"AGAP007985";"ASIS015746"
"AALB003925";"AATE001708";"AGAP001613";"ASIS023424"
"AALB009490";"AATE006218";"AGAP012769";"ASIS022982"
"AALB009490";"AATE006218";"AGAP003285";"ASIS022982"
"AALB010520";"AATE014496";"AGAP011801";"ASIS002682"
"AALB010520";"AATE015419";"AGAP011801";"ASIS002682"
"AALB010520";"AATE008333";"AGAP011801";"ASIS002682"
"AALB010520";"AATE014555";"AGAP011801";"ASIS002682"
"AALB006081";"AATE019660";"AGAP012708";"ASIS018942"
"AALB006081";"AATE019660";"AGAP005061";"ASIS018942"
"AALB006872";"AATE002936";"AGAP000203";"ASIS016330"
"AALB004958";"AATE012237";"AGAP005351";"ASIS013216"
"AALB000750";"AATE019352";"AGAP028182";"ASIS009518"
"AALB000750";"AATE019352";"AGAP012173";"ASIS009518"
"AALB000750";"AATE019352";"AGAP028182";"ASIS008587"
"AALB000750";"AATE019352";"AGAP012173";"ASIS008587"
"AALB000750";"AATE019352";"AGAP028182";"ASIS023429"
"AALB000750";"AATE019352";"AGAP012173";"ASIS023429"
"AALB000750";"AATE019352";"AGAP028182";"ASIS008769"
"AALB000750";"AATE019352";"AGAP012173";"ASIS008769"
"AALB008506";"AATE020607";"AGAP028522";"ASIS000442"
"AALB006080";"AATE009552";"AGAP005062";"ASIS015506"
"AALB006080";"AATE009552";"AGAP005062";"ASIS002500"
"AALB006080";"AATE009552";"AGAP005062";"ASIS003613"
"AALB007609";"AATE007914";"AGAP010444";"ASIS004603"
"AALB010027";"AATE000933";"AGAP012858";"ASIS021470"
"AALB010027";"AATE000933";"AGAP011519";"ASIS021470"
"AALB000686";"AATE000388";"AGAP028076";"ASIS008288"
"AALB006384";"AATE011572";"AGAP000964";"ASIS010367"
"AALB006382";"AATE000460";"AGAP000966";"ASIS017731"
"AALB010100";"AATE016041";"AGAP011570";"ASIS010870"
"AALB001881";"AATE013252";"AGAP008295";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008292";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008296";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008294";"ASIS001831"
"AALB001881";"AATE013252";"AGAP012842";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008291";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008293";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008290";"ASIS001831"
"AALB001881";"AATE013252";"AGAP008295";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008292";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008296";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008294";"ASIS023733"
"AALB001881";"AATE013252";"AGAP012842";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008291";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008293";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008290";"ASIS023733"
"AALB001881";"AATE013252";"AGAP008295";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008292";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008296";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008294";"ASIS009697"
"AALB001881";"AATE013252";"AGAP012842";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008291";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008293";"ASIS009697"
"AALB001881";"AATE013252";"AGAP008290";"ASIS009697"
"AALB000985";"AATE012290";"AGAP008098";"ASIS012372"
"AALB009368";"AATE014327";"AGAP001208";"ASIS004258"
"AALB014862";"AATE005028";"AGAP004182";"ASIS000861"
"AALB002458";"AATE005684";"AGAP001592";"ASIS005738"
"AALB002458";"AATE005684";"AGAP012824";"ASIS005738"
"AALB007743";"AATE008091";"AGAP000666";"ASIS009622"
"AALB007743";"AATE016621";"AGAP000666";"ASIS009622"
"AALB008929";"AATE020333";"AGAP004476";"ASIS001442"
"AALB005112";"AATE011213";"AGAP007443";"ASIS012123"
"AALB003216";"AATE006120";"AGAP005207";"ASIS002729"
"AALB003216";"AATE004418";"AGAP005207";"ASIS002729"
"AALB001713";"AATE005740";"AGAP009104";"ASIS018989"
"AALB005567";"AATE001500";"AGAP007211";"ASIS017099"
"AALB007850";"AATE004569";"AGAP010205";"ASIS005652"
"AALB007602";"AATE016865";"AGAP010437";"ASIS005330"
"AALB010671";"AATE007024";"AGAP011749";"ASIS007272"
"AALB003846";"AATE018800";"AGAP011614";"ASIS021255"
"AALB008196";"AATE003253";"AGAP001759";"ASIS008528"
"AALB004484";"AATE006373";"AGAP007698";"ASIS002904"
"AALB004484";"AATE006373";"AGAP007698";"ASIS009097"
"AALB015596";"AATE021695";"AGAP013083";"ASIS005699"
"AALB015596";"AATE021695";"AGAP013261";"ASIS005699"
"AALB003550";"AATE009845";"AGAP004517";"ASIS018018"
"AALB002237";"AATE019518";"AGAP001862";"ASIS019515"
"AALB000995";"AATE016973";"AGAP008377";"ASIS016650"
"AALB001896";"AATE000030";"AGAP009002";"ASIS005196"
"AALB008440";"AATE020181";"AGAP002708";"ASIS019538"
"AALB008440";"AATE020181";"AGAP002707";"ASIS019538"
"AALB008440";"AATE020181";"AGAP002708";"ASIS004063"
"AALB008440";"AATE020181";"AGAP002707";"ASIS004063"
"AALB008440";"AATE020181";"AGAP002708";"ASIS010419"
"AALB008440";"AATE020181";"AGAP002707";"ASIS010419"
"AALB003494";"AATE014730";"AGAP004424";"ASIS013124"
"AALB008118";"AATE001646";"AGAP001749";"ASIS010016"
"AALB008594";"AATE002242";"AGAP001740";"ASIS007400"
"AALB004212";"AATE006017";"AGAP005552";"ASIS014450"
"AALB004273";"AATE017842";"AGAP005994";"ASIS000571"
"AALB010039";"AATE010624";"AGAP028523";"ASIS022924"
"AALB010039";"AATE010624";"AGAP028523";"ASIS022951"
"AALB002797";"AATE019829";"AGAP004060";"ASIS005090"
"AALB005907";"AATE001439";"AGAP005339";"ASIS021236"
"AALB005907";"AATE001439";"AGAP005337";"ASIS021236"
"AALB007043";"AATE019788";"AGAP011172";"ASIS018531"
"AALB004858";"AATE004880";"AGAP004832";"ASIS002404"
"AALB005257";"AATE014214";"AGAP006574";"ASIS016788"
"AALB009199";"AATE012323";"AGAP001290";"ASIS000555"
"AALB005335";"AATE007571";"AGAP005370";"ASIS000302"
"AALB001698";"AATE018427";"AGAP009116";"ASIS006766"
"AALB004699";"AATE017387";"AGAP006959";"ASIS023144"
"AALB004699";"AATE017387";"AGAP006961";"ASIS023144"
"AALB004699";"AATE017387";"AGAP006958";"ASIS023144"
"AALB004699";"AATE014990";"AGAP006959";"ASIS023144"
"AALB004699";"AATE014990";"AGAP006961";"ASIS023144"
"AALB004699";"AATE014990";"AGAP006958";"ASIS023144"
"AALB002343";"AATE006097";"AGAP013446";"ASIS010368"
"AALB008994";"AATE003748";"AGAP007415";"ASIS020620"
"AALB008994";"AATE003748";"AGAP002849";"ASIS020620"
"AALB001757";"AATE006169";"AGAP028554";"ASIS007267"
"AALB004884";"AATE017934";"AGAP005890";"ASIS012368"
"AALB001883";"AATE020640";"AGAP009638";"ASIS015078"
"AALB001883";"AATE020640";"AGAP009638";"ASIS017559"
"AALB001883";"AATE020640";"AGAP009638";"ASIS017425"
"AALB001883";"AATE002104";"AGAP009638";"ASIS015078"
"AALB001883";"AATE002104";"AGAP009638";"ASIS017559"
"AALB001883";"AATE002104";"AGAP009638";"ASIS017425"
"AALB010289";"AATE018105";"AGAP011859";"ASIS018883"
"AALB009195";"AATE003480";"AGAP001293";"ASIS007049"
"AALB005183";"AATE006022";"AGAP006459";"ASIS012387"
"AALB006683";"AATE021100";"AGAP000881";"ASIS001064"
"AALB000899";"AATE013419";"AGAP008644";"ASIS021192"
"AALB002983";"AATE006252";"AGAP004544";"ASIS007300"
"AALB005781";"AATE001122";"AGAP005971";"ASIS010874"
"AALB001335";"AATE013313";"AGAP009542";"ASIS001359"
"AALB006883";"AATE015765";"AGAP001008";"ASIS020504"
"AALB009351";"AATE020731";"AGAP001227";"ASIS014566"
"AALB009122";"AATE004969";"AGAP003012";"ASIS021561"
"AALB001879";"AATE018380";"AGAP009640";"ASIS014006"
"AALB001879";"AATE020646";"AGAP009640";"ASIS014006"
"AALB009937";"AATE017784";"AGAP011968";"ASIS009047"
"AALB004372";"AATE018517";"AGAP005306";"ASIS019027"
"AALB006607";"AATE016682";"AGAP000433";"ASIS017155"
"AALB009515";"AATE012180";"AGAP003252";"ASIS020825"
"AALB001544";"AATE012810";"AGAP008304";"ASIS023526"
"AALB001544";"AATE012810";"AGAP008304";"ASIS009550"
"AALB010576";"AATE013818";"AGAP011214";"ASIS017897"
"AALB015693";"AATE015192";"AGAP006875";"ASIS011249"
"AALB015693";"AATE015192";"AGAP006877";"ASIS011249"
"AALB015693";"AATE015192";"AGAP006874";"ASIS011249"
"AALB015693";"AATE015192";"AGAP006876";"ASIS011249"
"AALB015693";"AATE005925";"AGAP006875";"ASIS011249"
"AALB015693";"AATE005925";"AGAP006877";"ASIS011249"
"AALB015693";"AATE005925";"AGAP006874";"ASIS011249"
"AALB015693";"AATE005925";"AGAP006876";"ASIS011249"
"AALB002396";"AATE013130";"AGAP002759";"ASIS006762"
"AALB000837";"AATE012884";"AGAP007966";"ASIS007885"
"AALB003495";"AATE003265";"AGAP004428";"ASIS010347"
"AALB003495";"AATE003265";"AGAP004426";"ASIS010347"
"AALB001330";"AATE015869";"AGAP009536";"ASIS010992"
"AALB000357";"AATE013688";"AGAP013772";"ASIS010643"
"AALB015828";"AATE002834";"AGAP007580";"ASIS012837"
"AALB007499";"AATE017399";"AGAP004734";"ASIS005107"
"AALB005167";"AATE016545";"AGAP007521";"ASIS012250"
"AALB001568";"AATE009487";"AGAP009824";"ASIS020122"
"AALB000007";"AATE015136";"AGAP008961";"ASIS012163"
"AALB008823";"AATE006640";"AGAP001898";"ASIS004688"
"AALB002280";"AATE008791";"AGAP002780";"ASIS001591"
"AALB005184";"AATE005772";"AGAP006456";"ASIS004302"
"AALB009378";"AATE012631";"AGAP001200";"ASIS005073"
"AALB008997";"AATE017749";"AGAP002875";"ASIS004154"
"AALB001824";"AATE019268";"AGAP028228";"ASIS019223"
"AALB001824";"AATE019268";"AGAP028228";"ASIS014117"
"AALB006248";"AATE012255";"AGAP007642";"ASIS003948"
"AALB007842";"AATE003485";"AGAP010197";"ASIS013001"
"AALB003905";"AATE009382";"AGAP002274";"ASIS010628"
"AALB003999";"AATE010096";"AGAP010482";"ASIS021371"
"AALB002066";"AATE002596";"AGAP002364";"ASIS011240"
"AALB004412";"AATE000977";"AGAP006657";"ASIS000689"
"AALB010499";"AATE000930";"AGAP012321";"ASIS008025"
"AALB002521";"AATE009227";"AGAP003542";"ASIS013607"
"AALB006945";"AATE020937";"AGAP000688";"ASIS017594"
"AALB009454";"AATE020786";"AGAP004186";"ASIS016661"
"AALB008443";"AATE004594";"AGAP013309";"ASIS004249"
"AALB008873";"AATE004538";"AGAP003289";"ASIS009289"
"AALB009821";"AATE015961";"AGAP011462";"ASIS002991"
"AALB005794";"AATE010373";"AGAP005955";"ASIS018275"
"AALB005568";"AATE016521";"AGAP007212";"ASIS018506"
"AALB008094";"AATE015739";"AGAP002041";"ASIS019485"
"AALB007155";"AATE019338";"AGAP003197";"ASIS010250"
"AALB007155";"AATE019338";"AGAP003195";"ASIS010250"
"AALB001668";"AATE007844";"AGAP009142";"ASIS017785"
"AALB001744";"AATE000544";"AGAP008417";"ASIS000774"
"AALB008974";"AATE010185";"AGAP003899";"ASIS014077"
"AALB003816";"AATE010996";"AGAP012393";"ASIS016702"
"AALB006284";"AATE017716";"AGAP000180";"ASIS009488"
"AALB003898";"AATE001877";"AGAP010398";"ASIS009068"
"AALB007268";"AATE001299";"AGAP003131";"ASIS022310"
"AALB008098";"AATE009844";"AGAP002043";"ASIS005634"
"AALB001762";"AATE018649";"AGAP009316";"ASIS021113"
"AALB010564";"AATE019740";"AGAP011204";"ASIS011042"
"AALB015561";"AATE002297";"AGAP001443";"ASIS014891"
"AALB000099";"AATE015934";"AGAP009742";"ASIS003291"
"AALB003507";"AATE008176";"AGAP002654";"ASIS010512"
"AALB006940";"AATE008628";"AGAP000639";"ASIS011796"
"AALB004645";"AATE017756";"AGAP028395";"ASIS006228"
"AALB010531";"AATE011558";"AGAP012995";"ASIS013071"
"AALB010531";"AATE011558";"AGAP013366";"ASIS013071"
"AALB010531";"AATE011558";"AGAP013463";"ASIS013071"
"AALB014273";"AATE017974";"AGAP012967";"ASIS006866"
"AALB014273";"AATE017974";"AGAP012917";"ASIS006866"
"AALB015826";"AATE016217";"AGAP005523";"ASIS021017"
"AALB004085";"AATE019956";"AGAP000951";"ASIS019395"
"AALB009407";"AATE007990";"AGAP001175";"ASIS003813"
"AALB001393";"AATE011316";"AGAP007939";"ASIS020361"
"AALB001246";"AATE010356";"AGAP010359";"ASIS007645"
"AALB005125";"AATE013968";"AGAP007461";"ASIS022904"
"AALB002388";"AATE019060";"AGAP002913";"ASIS014570"
"AALB007610";"AATE004586";"AGAP010445";"ASIS020610"
"AALB002472";"AATE001263";"AGAP001573";"ASIS014739"
"AALB015496";"AATE018753";"AGAP002722";"ASIS010407"
"AALB008691";"AATE004178";"AGAP004438";"ASIS011603"
"AALB004263";"AATE014627";"AGAP005884";"ASIS006080"
"AALB010098";"AATE005735";"AGAP011572";"ASIS023579"
"AALB001924";"AATE006855";"AGAP008035";"ASIS001156"
"AALB009958";"AATE018321";"AGAP012229";"ASIS017971"
"AALB002624";"AATE011686";"AGAP002097";"ASIS021699"
"AALB010364";"AATE020581";"AGAP011757";"ASIS016640"
"AALB008279";"AATE016066";"AGAP002194";"ASIS006531"
"AALB008058";"AATE003418";"AGAP000291";"ASIS009675"
"AALB008058";"AATE011495";"AGAP000291";"ASIS009675"
"AALB008483";"AATE020807";"AGAP010697";"ASIS020041"
"AALB002304";"AATE009341";"AGAP001440";"ASIS018496"
"AALB006823";"AATE011455";"AGAP012964";"ASIS010385"
"AALB000508";"AATE017601";"AGAP009575";"ASIS012087"
"AALB001831";"AATE016396";"AGAP028054";"ASIS023543"
"AALB002987";"AATE001586";"AGAP004534";"ASIS023380"
"AALB004930";"AATE001159";"AGAP006139";"ASIS017385"
"AALB002084";"AATE017788";"AGAP004166";"ASIS020553"
"AALB009363";"AATE010947";"AGAP001212";"ASIS023139"
"AALB007212";"AATE020491";"AGAP003506";"ASIS005239"
"AALB001077";"AATE019101";"AGAP010049";"ASIS022212"
"AALB009648";"AATE019900";"AGAP002248";"ASIS015154"
"AALB003891";"AATE018768";"AGAP012523";"ASIS006772"
"AALB006253";"AATE002191";"AGAP007647";"ASIS001645"
"AALB001147";"AATE003981";"AGAP009905";"ASIS001764"
"AALB006388";"AATE012318";"AGAP000715";"ASIS000859"
"AALB003146";"AATE018647";"AGAP003796";"ASIS009887"
"AALB015748";"AATE005738";"AGAP028060";"ASIS007027"
"AALB010377";"AATE000055";"AGAP011838";"ASIS009213"
"AALB001967";"AATE003002";"AGAP007740";"ASIS011753"
"AALB006375";"AATE007528";"AGAP000367";"ASIS014667"
"AALB005857";"AATE006178";"AGAP007140";"ASIS006596"
"AALB004468";"AATE015712";"AGAP005800";"ASIS013245"
"AALB006455";"AATE005699";"AGAP000528";"ASIS008673"
"AALB008238";"AATE019109";"AGAP002553";"ASIS011509"
"AALB006493";"AATE001608";"AGAP000551";"ASIS005261"
"AALB008290";"AATE007033";"AGAP001418";"ASIS022709"
"AALB006164";"AATE015939";"AGAP006766";"ASIS021971"
"AALB007928";"AATE019794";"AGAP010108";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010121";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010104";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010102";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010107";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010105";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010106";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010103";"ASIS021529"
"AALB007928";"AATE019794";"AGAP010108";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010121";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010104";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010102";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010107";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010105";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010106";"ASIS013397"
"AALB007928";"AATE019794";"AGAP010103";"ASIS013397"
"AALB008895";"AATE010818";"AGAP002809";"ASIS000423"
"AALB008389";"AATE019308";"AGAP004218";"ASIS014558"
"AALB005449";"AATE000182";"AGAP007537";"ASIS006883"
"AALB000292";"AATE005041";"AGAP009934";"ASIS016214"
"AALB002420";"AATE019917";"AGAP013029";"ASIS004198"
"AALB010625";"AATE002275";"AGAP010845";"ASIS012808"
"AALB015787";"AATE009301";"AGAP007851";"ASIS016255"
"AALB009580";"AATE004654";"AGAP001315";"ASIS023190"
"AALB009580";"AATE004654";"AGAP001315";"ASIS020700"
"AALB006634";"AATE007386";"AGAP013356";"ASIS001466"
"AALB010875";"AATE000347";"AGAP003686";"ASIS008093"
"AALB015750";"AATE021713";"AGAP013272";"ASIS016882"
"AALB015750";"AATE014322";"AGAP013272";"ASIS016882"
"AALB015513";"AATE001791";"AGAP010336";"ASIS012757"
"AALB005398";"AATE007092";"AGAP007617";"ASIS019861"
"AALB007358";"AATE015044";"AGAP010321";"ASIS002337"
"AALB006188";"AATE008825";"AGAP028461";"ASIS009431"
"AALB010196";"AATE006099";"AGAP012237";"ASIS013326"
"AALB008364";"AATE017183";"AGAP002642";"ASIS001808"
"AALB000744";"AATE009649";"AGAP007731";"ASIS005818"
"AALB005015";"AATE007123";"AGAP007044";"ASIS000529"
"AALB010105";"AATE015309";"AGAP011565";"ASIS010086"
"AALB004815";"AATE005662";"AGAP005394";"ASIS012303"
"AALB003289";"AATE004025";"AGAP013101";"ASIS011769"
"AALB009095";"AATE020901";"AGAP002985";"ASIS005651"
"AALB001724";"AATE007052";"AGAP009087";"ASIS015348"
"AALB001724";"AATE007052";"AGAP009087";"ASIS011430"
"AALB006673";"AATE006348";"AGAP000697";"ASIS012124"
"AALB007740";"AATE020292";"AGAP010271";"ASIS000145"
"AALB009564";"AATE004163";"AGAP003941";"ASIS020429"
"AALB000991";"AATE018692";"AGAP008105";"ASIS001573"
"AALB006281";"AATE001231";"AGAP028653";"ASIS017689"
"AALB002150";"AATE001015";"AGAP012556";"ASIS005380"
"AALB009868";"AATE010587";"AGAP010922";"ASIS002444"
"AALB002224";"AATE015316";"AGAP001824";"ASIS018700"
"AALB005229";"AATE012388";"AGAP006521";"ASIS008780"
"AALB005752";"AATE002992";"AGAP007386";"ASIS019363"
"AALB006679";"AATE005125";"AGAP000853";"ASIS022504"
"AALB002188";"AATE012787";"AGAP001984";"ASIS017638"
"AALB007350";"AATE002846";"AGAP005091";"ASIS018868"
"AALB010739";"AATE016403";"AGAP010648";"ASIS006479"
"AALB007679";"AATE000263";"AGAP000958";"ASIS006351"
"AALB006572";"AATE015902";"AGAP000445";"ASIS006023"
"AALB010217";"AATE011126";"AGAP027981";"ASIS010287"
"AALB010217";"AATE011126";"AGAP011719";"ASIS010287"
"AALB010217";"AATE011126";"AGAP012020";"ASIS010287"
"AALB010217";"AATE011126";"AGAP012021";"ASIS010287"
"AALB010217";"AATE011126";"AGAP012022";"ASIS010287"
