# genome1: genome1
# genome2: genome2
# genome3: genome3
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign
64 2R 62311706 8558 1 3R 148767467 14170 -1 2R 34767288 7333 -1
65 3L 139939386 4680 1 2L 64050684 4829 1 2L 115091358 6008 1
66 3L 141087474 2718 1 2L 92850802 2861 1 2L 109362907 3081 1
67 3L 143038547 3198 1 2L 67399598 4141 -1 2L 110075481 3613 1
68 3L 143790821 19305 1 2L 99687535 31382 -1 2L 98672102 33385 -1
69 3L 144486720 3670 1 2L 101151716 4176 -1 2L 99316589 4191 -1
70 3L 145714073 6857 1 2L 66484911 7108 1 2L 111173071 7726 -1
71 3L 148344560 4242 1 2L 83947655 4187 1 2L 91324451 4166 1
72 3L 149748573 9388 1 2L 65265022 5563 1 2L 113742667 9530 -1
73 3L 150086138 4077 1 2L 77389207 6720 -1 2L 109194702 3258 -1
74 3L 151494632 4874 1 2L 97804912 5468 1 2L 100589105 5359 -1
75 3L 152977381 5824 1 2L 102642728 6957 1 2L 98865538 5607 -1
76 3L 154193874 5346 1 2L 83962439 5811 1 2L 94296122 6038 -1
77 3L 155522093 6177 1 2L 87228887 9661 1 2L 120143087 6410 -1
78 3L 156581660 3632 1 2L 73556885 5862 -1 2L 132500194 3352 1
79 3L 157017488 6115 1 2L 70528071 5386 -1 2L 117700890 4558 -1
80 3L 157299630 3501 1 2L 80736390 7635 1 2L 101589368 3669 -1
81 3L 159119193 8451 1 2L 96902935 24968 -1 2L 104660147 12248 1
82 3L 159973934 6866 1 2L 72626310 6733 -1 2L 134452873 6581 -1
83 3L 160018241 5972 1 2L 72582959 6918 -1 2L 134845713 6561 -1
84 3L 160405843 9969 1 2L 73020290 5605 -1 2L 133034029 12062 1
85 3L 160979614 5578 1 2L 84724467 6277 -1 2L 130266387 5870 -1
86 3L 161405422 29909 1 2L 78672465 31884 -1 2L 126018637 36334 1
87 3L 162447551 1558 1 2L 87617164 2042 1 2L 129777779 1847 -1
88 3L 162854352 4945 1 2L 87044427 4804 -1 2L 112537899 4429 -1
89 3L 164025617 3828 1 2L 80187731 4402 1 2L 128461500 4928 1
90 3L 164349888 2173 1 2L 67866525 2362 1 2L 109557804 2407 -1
91 3L 164495199 3510 1 2L 93333109 3892 -1 2L 108145864 3744 -1
92 3L 164736329 2151 1 2L 94863054 2688 1 2L 113160806 2484 1
93 3L 165770958 6888 1 2L 94085605 7449 1 2L 116073956 8510 -1
94 3L 166176709 7541 1 2L 80286071 5182 1 2L 102173095 5083 -1
95 3L 166562222 8771 1 2L 72323893 10963 -1 2L 131794689 9153 1
96 3L 167282864 3549 1 2L 81653082 4098 -1 2L 100929732 4371 -1
97 3L 167462475 5151 1 2L 81412322 5537 -1 2L 114090530 5092 -1
98 3L 168331862 2562 1 2L 63334014 3209 1 2L 102200119 3509 -1
99 3L 168915378 2279 1 2L 95654230 2184 1 2L 95849092 2905 -1
100 3L 170042958 6855 1 2L 74467268 6874 -1 2L 134137719 7139 1
101 3R 102322874 2256 1 3L 169348222 2674 -1 3L 223086195 2214 1
102 3R 103178920 6499 1 3L 167311183 9487 -1 3L 218411980 5612 -1
103 3R 105401148 4731 1 3L 193940536 7340 -1 3L 196964906 5225 -1
104 3R 107128475 5965 1 3L 177467843 10051 -1 3L 202435542 8078 -1
105 3R 111779090 11529 1 3L 182608618 16646 -1 3L 227256268 7748 -1
106 3R 114485694 4505 1 3L 162419629 6038 1 3L 207956336 5250 1
107 3R 115450852 3789 1 3L 181552358 3762 -1 3L 229060009 3674 1
108 3R 125291809 4992 1 3L 164279398 4858 1 3L 212948878 5035 -1
109 3R 128051119 4448 1 3L 178968179 11078 -1 3L 205941168 4004 1
110 X 5729468 3261 1 X 4331493 3631 -1 X 4332624 2463 -1
