# genome1: genome1
# genome2: genome2
# genome3: genome3
# genome4: genome4
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
42 2L 90895090 186365 1 2R 19923426 191229 -1 3R 166290540 269575 1 2R 16359077 189929 -1
43 2L 91282559 10193 1 2R 21831681 10969 -1 3R 179368863 11581 -1 2R 19523474 9912 1
44 2L 91638472 72992 1 2R 31392144 83777 1 3R 139781541 87059 1 2R 32087658 98175 -1
45 2L 92271185 13938 1 2R 54232816 31459 1 3R 157813723 23130 -1 2R 21333572 7518 1
46 2L 92285550 108648 1 2R 54264892 134037 1 3R 172411094 211874 1 2R 21341678 125370 1
47 2L 92515771 33563 1 2R 17490910 28350 1 3R 170195155 37127 -1 2R 14020565 29612 1
48 2L 94035191 68640 1 2R 20135788 72043 1 3R 166157612 125711 1 2R 16569839 70597 1
49 2L 94173887 130058 1 2R 20297050 134835 1 3R 145544937 191713 -1 2R 16726894 126442 1
50 2L 94304143 39631 1 2R 37883711 45019 -1 3R 145518124 79400 -1 2R 16855234 47317 1
51 2L 94956108 215307 1 2R 41701734 248776 -1 3R 161209324 296389 1 2R 28242810 257914 -1
52 2L 95848042 5522 1 2R 41027616 5862 -1 3R 162406233 3915 -1 2R 27532318 4128 1
53 2L 96511525 1118847 1 2R 17664670 1067813 -1 3R 168505304 1485336 1 2R 14196087 1036039 -1
54 2L 97630795 236637 1 2R 46694652 297060 1 3R 182275567 292076 1 2R 29484989 314969 1
55 2L 98664802 18627 1 2R 21209963 27133 -1 3R 180424443 30233 -1 2R 20180742 22128 1
56 2L 99159716 7142 1 2R 39858561 7099 -1 3R 140838973 11639 -1 2R 27035675 5050 -1
57 2L 99167101 274144 1 2R 25938852 340126 -1 3R 144746616 385508 -1 2R 30489639 408850 -1
58 2L 100088915 69725 1 2R 16667006 59006 -1 3R 137482571 74659 1 2R 13209877 53642 -1
59 2L 100193795 421627 1 2R 16232375 388766 -1 3R 137834978 455318 1 2R 12783870 384182 -1
60 2L 100719819 41246 1 2R 16126603 22724 -1 3R 137690783 49204 1 2R 12703161 8944 -1
61 2L 100766061 107220 1 2R 16728455 112478 1 3R 137351691 126805 -1 2R 13270328 107700 1
62 2L 101203616 15633 1 2R 17200911 16077 1 3R 170622983 17623 -1 2R 13730912 16365 1
63 2R 13531050 19571 1 3R 105111798 28729 -1 2R 26336808 23744 -1 3R 54728238 28273 -1
64 2R 13597480 888733 1 3R 104164151 906422 -1 2R 24863371 953230 1 3R 53811956 872008 -1
65 2R 14511469 375732 1 3R 103754139 382048 -1 2R 25844827 462789 1 3R 52955446 361196 1
66 2R 14902230 277171 1 3R 103421049 317081 -1 2R 24478074 343660 -1 3R 53339706 300839 1
67 2R 16065424 123341 1 3R 105165209 127526 1 2R 26394877 139026 1 3R 54785890 106571 1
68 2R 18160353 7930 1 3R 150571967 8807 1 2R 57657832 10971 -1 3R 60636364 12496 -1
69 2R 21334147 1013347 1 3R 107370820 1039349 1 2R 35944912 1149710 1 3R 55630667 1007576 1
70 2R 22351752 10095 1 3R 108411686 15137 1 2R 29507051 14456 1 3R 56643936 11158 1
71 2R 22400173 48388 1 3R 108469040 53323 1 2R 27540362 59211 1 3R 56696590 56791 1
72 2R 22730372 16347 1 3R 108841649 24793 1 2R 37225599 19121 1 3R 56856419 26335 1
73 2R 24293817 35200 1 3R 127513483 37172 -1 2R 60725357 47295 -1 3R 59629786 37579 1
74 2R 27270162 136814 1 3R 153493434 157790 1 2R 53866776 132090 1 3R 57928262 122935 -1
75 2R 27466922 23370 1 3R 153719018 25929 1 2R 64590044 26416 1 3R 57841850 18803 -1
76 2R 28207205 70004 1 3R 150446792 95371 1 2R 79620926 94699 -1 3R 60679113 86480 -1
77 2R 29948667 545833 1 3R 153903766 568403 -1 2R 37660401 550031 1 3R 57254137 431087 1
78 2R 31488339 23404 1 3R 114626820 26412 1 2R 51293547 24468 -1 3R 59297987 24013 -1
79 2R 31895305 749960 1 3R 106654540 675469 -1 2R 35095975 846680 -1 3R 54933499 648408 -1
80 2R 32902143 91785 1 3R 154570707 105921 1 2R 37469959 103979 -1 3R 57080718 93269 -1
81 2R 33049051 143913 1 3R 108872965 159200 -1 2R 37253989 179830 -1 3R 56890824 135041 -1
82 2R 34935782 64503 1 3R 150158017 68109 1 2R 75210221 70808 1 3R 60994335 52514 -1
83 2R 36724264 91327 1 3R 138509694 101222 1 2R 68931083 113316 1 3R 58210685 101579 -1
84 2R 37200891 326947 1 3R 117664775 332998 1 2R 48099854 323047 -1 3R 61372107 356948 1
85 2R 37550881 36247 1 3R 118023398 33769 1 2R 48038355 36402 -1 3R 59904017 38314 1
86 2R 40848952 45396 1 3R 137267288 47228 -1 2R 60435092 148033 1 3R 58774487 56663 -1
87 2R 43180687 50031 1 3R 153789749 59043 1 2R 38268837 55253 -1 3R 57757338 43815 -1
88 2R 44244534 7309 1 3R 114893101 7693 -1 2R 33492952 7835 -1 3R 59054025 7186 1
89 2R 46649691 118044 1 3R 159272279 106564 -1 2R 81857777 92014 -1 3R 59805965 93171 1
90 2R 46796943 195744 1 3R 159011510 218824 -1 2R 81603956 216894 -1 3R 61791714 243180 1
91 2R 48858161 113997 1 3R 118061293 168503 1 2R 47823817 209971 -1 3R 59946941 143431 1
92 2R 49557991 71599 1 3R 137186119 80299 -1 2R 67957238 91791 -1 3R 58693516 61015 -1
93 2R 57446750 18648 1 3R 150412563 25236 -1 2R 79724213 40288 1 3R 60782582 18048 1
94 2R 59328019 1158418 1 3R 149910489 238240 1 2R 74972753 229588 1 3R 61080254 212119 -1
95 2R 60530161 41120 1 3R 145680155 51225 1 2R 77207408 49826 1 3R 59420814 44369 -1
96 2R 60959373 19029 1 3R 138472640 26579 -1 2R 78609721 21261 1 3R 58322775 19959 1
97 2R 63064412 18698 1 3R 161277339 62798 1 2R 85025281 105102 1 3R 62693387 10555 1
98 2R 63134917 57390 1 2R 58502842 51331 -1 3R 187477071 199948 1 2R 33281307 54034 -1
99 2R 63235342 76561 1 2R 58714473 82396 -1 3R 186966418 168530 1 2R 33504237 71883 -1
100 2R 63678806 194404 1 2R 58831647 147305 -1 3R 186736302 164761 1 2R 33610789 134359 -1
101 2R 63936996 6671 1 2R 59029125 5782 -1 3R 186678041 5314 1 2R 33795280 1448 -1
102 3L 136728840 16026 1 2L 88401594 11990 -1 2L 94285451 14632 1 2L 39049947 4406 1
103 3L 136766861 8407 1 2L 101510998 80780 -1 2L 95315272 116683 1 2L 40683328 87031 -1
104 3L 136912833 8012 1 2L 89317916 6034 1 2L 93258083 5334 -1 2L 38112518 4525 -1
105 3L 136940273 32304 1 2L 84010045 57952 -1 2L 94316330 68122 1 2L 45208025 58225 1
106 3L 137160158 15631 1 2L 90098135 10907 -1 2L 92216428 15234 1 2L 36096746 9760 -1
107 3L 137550958 374348 1 2L 88607838 537762 1 2L 93419084 582875 -1 2L 38289983 551150 -1
108 3L 138018605 366461 1 2L 76187742 531183 -1 2L 96493098 593442 1 2L 41947673 462563 -1
109 3L 138907580 107738 1 2L 83549878 126684 1 2L 97719120 176515 1 2L 45579656 118870 -1
110 3L 139362262 851585 1 2L 63412589 803750 1 2L 114425497 1070256 1 2L 46760851 829075 1
111 3L 140784960 24353 1 2L 64734453 27472 1 2L 128780835 34051 -1 2L 48117581 21481 1
112 3L 140859051 42897 1 2L 64830092 43055 1 2L 103844000 44777 -1 2L 48217578 38696 1
113 3L 141549276 96166 1 2L 77005213 102557 1 2L 99639985 132959 -1 2L 42730621 103599 1
114 3L 141654978 153909 1 2L 77117683 162378 1 2L 95632036 246732 1 2L 42846554 150322 1
115 3L 141947293 291291 1 2L 62749992 371114 -1 2L 102640849 375299 1 2L 46158164 300977 -1
116 3L 144350638 72184 1 2L 69111925 64368 1 2L 98102732 99096 -1 2L 37170029 86753 -1
117 3L 145876587 67346 1 2L 77414224 54409 -1 2L 109247289 82709 1 2L 43162557 76592 -1
118 3L 145944312 416032 1 2L 68530542 369497 1 2L 106867715 435145 -1 2L 34799966 429118 1
119 3L 147203713 31193 1 2L 71705056 41176 1 2L 121326304 41348 1 2L 52612324 23699 1
120 3L 147611732 9176 1 2L 72140613 24535 1 2L 131800489 24454 -1 2L 50011507 8183 -1
121 3L 148390608 33306 1 2L 83907922 41443 1 2L 91441269 48293 1 2L 45332534 39608 -1
122 3L 149508555 19224 1 2L 64905463 23045 1 2L 103765590 31363 -1 2L 48304079 14073 1
123 3L 149549618 4665 1 2L 64957693 5174 1 2L 126720180 6412 1 2L 48357088 3213 1
124 3L 149554894 113332 1 2L 64969627 145397 1 2L 114124940 116434 -1 2L 48364145 136072 1
125 3L 150151450 16181 1 2L 77389207 24850 -1 2L 109330590 30783 1 2L 43129182 17950 -1
126 3L 150531291 56376 1 2L 102018387 67265 -1 2L 90493463 59388 1 2L 41110862 52394 -1
127 3L 151301109 104898 1 2L 76892628 109456 1 2L 96144559 131980 -1 2L 42616780 109518 1
128 3L 151989050 694868 1 2L 71019131 685672 -1 2L 120461206 863501 -1 2L 51924820 680725 -1
129 3L 152686926 5335 1 2L 71012629 5950 -1 2L 112743856 5886 1 2L 51914332 5086 -1
130 3L 153156769 6176 1 2L 76747133 7275 1 2L 96440922 7318 -1 2L 42461930 5093 1
131 3L 153698439 148467 1 2L 62434032 159237 1 2L 125513137 189917 1 2L 45890015 160733 1
132 3L 153890330 43839 1 2L 62657600 92127 1 2L 103018127 65182 -1 2L 46118996 38137 1
133 3L 154030635 41514 1 2L 84095213 35201 -1 2L 112830617 28804 1 2L 45147002 31305 1
134 3L 154271290 30224 1 2L 83962439 30356 1 2L 94423690 41883 -1 2L 45283944 30212 -1
135 3L 154342543 129422 1 2L 69630994 189045 -1 2L 91678555 151691 -1 2L 36433981 139257 1
136 3L 154579582 51261 1 2L 90905109 55610 1 2L 127744134 55904 -1 2L 39812647 45939 -1
137 3L 155739129 160083 1 2L 82947231 158002 1 2L 119910849 197603 -1 2L 50945966 133102 1
138 3L 155904276 41934 1 2L 90388839 62203 -1 2L 105642653 61688 -1 2L 40344061 59173 1
139 3L 156250300 608937 1 2L 73318309 653110 -1 2L 132206315 694669 1 2L 49033611 628844 -1
140 3L 157628336 220896 1 2L 75121134 259375 -1 2L 119497998 288210 1 2L 51161792 234943 -1
141 3L 157889322 14442 1 2L 83152837 11563 -1 2L 119830786 11908 1 2L 51130978 9858 -1
142 3L 158059742 782851 1 2L 82048425 831921 1 2L 123806473 902513 1 2L 50147705 730313 1
143 3L 159430816 131838 1 2L 96414255 186206 -1 2L 122622713 211157 1 2L 43308858 162986 1
144 3L 160220135 210974 1 2L 73075452 227626 -1 2L 132914243 226476 1 2L 48811722 207677 -1
145 3L 161910589 159793 1 2L 75421159 240690 1 2L 119163456 281312 -1 2L 51439012 200456 1
146 3L 162185156 49769 1 2L 61519831 65807 1 2L 118877464 85963 -1 2L 51774069 58149 1
147 3L 163082478 84681 1 2L 77283115 99165 1 2L 109368898 108200 -1 2L 43005971 103061 1
148 3L 163677485 25144 1 2L 68333274 28627 -1 2L 107507605 31802 1 2L 34575631 34697 -1
149 3L 163886755 78996 1 2L 72218290 84126 -1 2L 131876548 81226 -1 2L 49881032 81680 1
150 3L 164579591 8200 1 2L 90567488 7599 1 2L 105834159 10302 1 2L 40212136 9072 -1
151 3L 164587911 16753 1 2L 63187257 18171 -1 2L 102532631 20001 1 2L 46533616 11727 -1
152 3L 166493917 16947 1 2L 73972140 31743 1 2L 132133525 71178 -1 2L 49665789 24105 1
153 3L 166639638 22371 1 2L 72302885 31971 -1 2L 131958102 27047 1 2L 49845049 28803 1
154 3L 167075693 4354 1 2L 81984104 9499 -1 2L 123736692 9728 -1 2L 50073769 4573 -1
155 3L 167414841 107581 1 2L 81440840 145338 -1 2L 100882510 133231 -1 2L 34192675 135706 -1
156 3L 167965350 33427 1 2L 69417319 52433 1 2L 94552965 149470 -1 2L 36781901 43150 -1
157 3L 168094193 27028 1 2L 90766568 34226 -1 2L 106063109 39076 -1 2L 39971170 42414 1
158 3L 168534726 318309 1 2L 94971528 471187 1 2L 113434624 449369 1 2L 44446293 435482 -1
159 3L 168893351 23092 1 2L 95521915 58476 1 2L 111769592 59488 1 2L 44352296 32611 -1
160 3L 168992794 2279 1 2L 95654230 2184 1 2L 96012505 2905 -1 2L 44248071 2307 -1
161 3L 169002596 96802 1 2L 95664643 127131 1 2L 123588266 124429 -1 2L 44117762 121012 -1
162 3L 169290788 200948 1 2L 96004017 268802 -1 2L 123087549 280223 1 2L 43608315 286223 1
163 3R 102022074 6956 1 3L 171295513 7688 1 3L 229807289 8059 1 3L 76916879 4402 -1
164 3R 102034147 555803 1 3L 169165079 694543 -1 3L 222720921 980058 1 3L 77605120 683002 1
165 3R 102590829 174923 1 3L 168954113 208421 -1 3L 229236334 228971 1 3L 78295067 208078 1
166 3R 102860081 61543 1 3L 171312889 83551 -1 3L 229823815 61101 -1 3L 76837154 66427 1
167 3R 103110548 30534 1 3L 169887624 12633 -1 3L 222671058 17869 1 3L 77565034 11015 1
168 3R 103556356 340324 1 3L 166583122 449382 -1 3L 217518172 478174 -1 3L 66653784 467495 -1
169 3R 104693705 2819 1 3L 186537027 3062 1 3L 224780794 3266 1 3L 79097676 1609 -1
170 3R 104696893 131890 1 3L 186540619 190511 1 3L 224784985 180611 1 3L 65329004 194590 1
171 3R 104874481 156534 1 3L 191419918 232835 1 3L 219594537 209064 -1 3L 71072978 234888 -1
172 3R 105031816 6487 1 3L 191655713 9532 1 3L 212830626 10906 1 3L 71062216 8472 -1
173 3R 105038628 169968 1 3L 164488577 221488 -1 3L 212842363 230324 1 3L 70841707 219963 -1
174 3R 105951229 140083 1 3L 183074667 178505 1 3L 195472400 558516 1 3L 73659944 165287 1
175 3R 106208507 71348 1 3L 183426967 92084 1 3L 204355716 121854 -1 3L 73993648 59882 1
176 3R 107484722 33790 1 3L 182539861 64013 -1 3L 227238829 32876 -1 3L 69994310 67245 1
177 3R 107858952 11936 1 3L 185547150 15925 -1 3L 227626969 13126 1 3L 79836851 10677 1
178 3R 107920908 115834 1 3L 168633119 62764 1 3L 211981878 170947 -1 3L 78752096 70402 -1
179 3R 108082716 57717 1 3L 168756062 65115 1 3L 225616247 94997 1 3L 78641556 60917 -1
180 3R 108162660 93225 1 3L 171410139 90073 1 3L 225745321 109355 1 3L 76736352 81944 -1
181 3R 108839231 44224 1 3L 184670491 66896 -1 3L 213781274 79103 -1 3L 72244201 51550 1
182 3R 109389269 182606 1 3L 180945219 349439 -1 3L 227913879 192387 1 3L 80127790 218233 1
183 3R 110690426 163117 1 3L 171549012 210471 -1 3L 225265749 239438 1 3L 76512634 172281 1
184 3R 111782240 118511 1 3L 182628911 159543 -1 3L 227290571 124513 -1 3L 69798649 166882 1
185 3R 112669865 162528 1 3L 170428534 203984 1 3L 221610983 256735 -1 3L 75752424 162072 1
186 3R 113113152 9152 1 3L 183586699 13438 -1 3L 204203437 48737 1 3L 74147216 14417 -1
187 3R 113699614 163614 1 3L 167911247 159156 1 3L 219156770 274132 1 3L 64435971 517812 1
188 3R 114059824 80050 1 3L 168285248 83769 1 3L 212540918 167995 -1 3L 65188158 110808 1
189 3R 114464458 15150 1 3L 183928971 12197 1 3L 203897928 15684 -1 3L 74399325 10708 1
190 3R 114552028 14141 1 3L 174012247 16488 1 3L 219806765 25934 -1 3L 73138916 22997 -1
191 3R 114613950 79191 1 3L 170286571 85942 1 3L 221979684 129441 -1 3L 77101925 81697 -1
192 3R 114753628 526051 1 3L 185580210 707166 -1 3L 194580417 704826 1 3L 79296003 519934 1
193 3R 116009376 10845 1 3L 174995687 14603 -1 3L 205336575 10715 -1 3L 75475548 28288 1
194 3R 116192135 8647 1 3L 174775932 12252 -1 3L 205132291 9730 -1 3L 72407083 6515 1
195 3R 116224894 22962 1 3L 184470937 28053 1 3L 226165123 25291 1 3L 74886735 18267 1
196 3R 116252383 28452 1 3L 163989215 44777 -1 3L 226200589 32243 1 3L 74931743 29654 1
197 3R 116844813 13049 1 3L 189463616 14103 1 3L 228323201 10850 -1 3L 80669694 10278 -1
198 3R 116902219 5878 1 3L 180590223 10273 1 3L 228276752 6344 -1 3L 80615316 6772 -1
199 3R 117010750 47190 1 3L 180765387 48394 1 3L 221366053 88005 1 3L 80465639 61062 -1
200 3R 117626227 194370 1 3L 161871098 221178 1 3L 207390360 208597 1 3L 63468402 220645 1
201 3R 119076273 7372 1 3L 175810187 8486 1 3L 211582905 10250 -1 3L 69260550 8773 -1
202 3R 119382498 71570 1 3L 170909618 72333 -1 3L 220953926 95477 1 3L 76190162 62346 -1
203 3R 120279904 89848 1 3L 174098772 104814 1 3L 196050738 163400 -1 3L 72967193 115654 -1
204 3R 120433886 434160 1 3L 174276547 491980 1 3L 204660691 462331 1 3L 72426037 460943 -1
205 3R 120868259 38789 1 3L 184421551 41913 -1 3L 226116807 36799 -1 3L 74836812 28189 -1
206 3R 120907700 344165 1 3L 183986670 434415 -1 3L 205543576 360584 1 3L 74450034 385646 -1
207 3R 121310648 7720 1 3L 188063743 8279 1 3L 226830093 7505 1 3L 81589275 5616 -1
208 3R 121596899 35936 1 3L 188467230 39894 1 3L 228822150 35252 -1 3L 81253536 36663 -1
209 3R 121802628 9582 1 3L 183534037 12628 1 3L 204294488 8009 -1 3L 74095686 2357 1
210 3R 121812584 123176 1 3L 170774100 121371 -1 3L 221078643 207492 1 3L 76056572 114583 -1
211 3R 122057526 6563 1 3L 170633269 18054 -1 3L 221584575 24805 1 3L 75929351 6029 -1
212 3R 122657853 15050 1 3L 180813956 13724 1 3L 221455399 20623 1 3L 80452612 12349 -1
213 3R 123104108 162192 1 3L 175227239 177048 -1 3L 225952601 161758 1 3L 75089180 181477 1
214 3R 123269177 139072 1 3L 175060990 163633 -1 3L 205392714 142040 -1 3L 75273982 147376 1
215 3R 123504672 50084 1 3L 194546919 57484 1 3L 209559544 66695 1 3L 67744559 70474 -1
216 3R 123620446 186307 1 3L 189704461 198644 1 3L 209698236 259647 1 3L 67444037 219714 -1
217 3R 124239554 10500 1 3L 175406800 13042 1 3L 225941919 8294 -1 3L 75076219 10413 -1
218 3R 124299888 31824 1 3L 175497196 26487 1 3L 211933425 32984 -1 3L 69577952 26179 -1
219 3R 125238922 76521 1 3L 164342232 125348 1 3L 213086031 99172 -1 3L 70723502 100005 1
220 3R 125324614 15934 1 3L 173996205 15599 -1 3L 219833245 18910 1 3L 73162603 10870 1
221 3R 127759788 188457 1 3L 179270281 229065 -1 3L 206205503 208338 -1 3L 67868001 222825 1
222 3R 128487505 43019 1 3L 186883126 40080 1 3L 220739155 97568 -1 3L 65682891 44094 1
223 3R 128661949 109285 1 3L 164086363 119429 1 3L 213362658 97946 -1 3L 70474671 72251 1
224 3R 130345155 109652 1 3L 197460375 126765 1 3L 190715961 120795 1 3L 62970076 128397 -1
225 X 165520 78262 1 X 1067115 103054 -1 X 11387693 132999 1 X 11783598 79922 1
226 X 334070 10419 1 X 15694236 31352 1 X 5759812 20850 -1 X 11595517 5731 -1
227 X 466059 22468 1 X 1514581 33833 -1 X 8271710 88173 -1 X 10967789 68354 -1
228 X 1000698 128614 1 X 10689238 190414 1 X 3120259 138075 -1 X 6559230 176164 -1
229 X 1280472 16362 1 X 12053212 62421 -1 X 14770308 59839 -1 X 5284695 56444 1
230 X 1450400 8916 1 X 13249876 13668 1 X 16612688 8581 -1 X 1276014 9844 1
231 X 2069106 15270 1 X 2668976 24650 1 X 2180446 15600 1 X 9012856 10523 1
232 X 2809609 47969 1 X 14646130 20309 -1 X 13740179 29388 -1 X 12587728 29129 1
233 X 3234281 51899 1 X 3683777 58126 1 X 1792391 89827 1 X 9622912 62738 1
234 X 3310366 16869 1 X 3811396 37174 1 X 8635241 46976 1 X 9782077 21638 1
235 X 3345130 4080 1 X 2190368 9695 1 X 7190193 11194 -1 X 2344050 7423 -1
236 X 3356204 11377 1 X 13678777 10285 1 X 15562826 14865 1 X 10345110 6479 -1
237 X 3466582 20123 1 X 13780070 36640 -1 X 15720737 44431 -1 X 10218990 23876 1
238 X 3681608 76695 1 X 10385947 94158 -1 X 16431518 103529 -1 X 1472295 74332 1
239 X 3915452 13897 1 X 22994 9606 1 X 15355731 15653 1 X 4597954 8025 -1
240 X 3931798 9022 1 X 1223612 4183 -1 X 18315337 9020 1 X 10644828 2381 -1
241 X 4082747 46314 1 X 11200828 89331 -1 X 1005551 53623 -1 X 6112321 57661 1
242 X 4142360 127604 1 X 11330721 156301 1 X 1099948 161088 1 X 190863 130146 -1
243 X 4428769 16428 1 X 11673372 27680 1 X 1532552 25479 1 X 5747806 26651 -1
244 X 4572213 5848 1 X 10618121 5943 1 X 17155341 14186 -1 X 2920480 1830 -1
245 X 4790543 38613 1 X 9806267 39955 -1 X 7860156 53654 1 X 8319199 24514 1
246 X 5044830 107159 1 X 15317638 224843 1 X 5489431 187096 -1 X 10453749 177183 -1
247 X 5482731 12363 1 X 4597650 14169 -1 X 10699414 23142 -1 X 7758079 19243 1
248 X 5495717 243950 1 X 4321101 275065 -1 X 4270081 252853 -1 X 7801166 206690 1
249 X 6082575 29681 1 X 2066150 26605 1 X 13623925 44091 -1 X 2472361 31258 -1
250 X 6269631 49761 1 X 7814211 57822 1 X 154424 52717 1 X 604476 50146 1
251 X 7319980 8297 1 X 1813146 12933 1 X 12762561 6577 -1 X 3524392 6100 1
252 X 7656280 43153 1 X 11135059 48796 -1 X 932591 50670 -1 X 6202024 38142 1
253 X 7793731 6431 1 X 7563475 7681 1 X 1574720 5702 -1 X 387129 2609 1
254 X 8416818 11164 1 X 7755357 16010 -1 X 13791909 21380 -1 X 558670 10761 -1
255 X 8449634 8188 1 X 7724618 10069 -1 X 2992904 8953 -1 X 530542 5521 -1
256 X 8460969 31267 1 X 10943572 34825 -1 X 2943798 26938 -1 X 6445508 28808 1
257 X 8492833 13207 1 X 10630686 32656 1 X 12106448 41389 1 X 2898180 13612 -1
258 X 8621299 26393 1 X 13830959 46203 1 X 15800223 48246 1 X 10131808 49790 -1
259 X 8917972 25567 1 X 6691819 43445 -1 X 14351163 42819 -1 X 671814 30610 -1
260 X 8955936 6646 1 X 9598109 20463 -1 X 1946472 23126 1 X 8555703 26482 1
261 X 9355123 9646 1 X 3181156 13750 -1 X 2057361 53458 1 X 3878035 7229 1
262 X 9370261 4868 1 X 601086 5873 -1 X 4598047 6625 1 X 4678442 4567 -1
263 X 9471616 40781 1 X 899466 38746 1 X 8442607 66926 1 X 12053727 54595 -1
264 X 9554264 18898 1 X 9710929 23152 -1 X 8017667 36659 1 X 8433486 21055 1
265 X 9744070 11619 1 X 1615140 18114 1 X 11240599 17627 1 X 11104518 11492 1
266 X 9978493 28239 1 X 707816 20357 1 X 15252295 31092 1 X 4823094 27692 1
267 X 10160500 35780 1 X 1170596 38894 -1 X 11320151 59381 1 X 11726744 47066 1
268 X 10348870 67275 1 X 7203989 163021 1 X 18120046 147958 1 X 1116986 99957 1
269 X 10419350 12179 1 X 1230619 10660 -1 X 18285704 15917 1 X 10651218 4999 -1
270 X 11160345 76821 1 X 11032388 69297 -1 X 842664 61405 -1 X 6303256 76648 1
