"aalbimanus_eg_gene";"aatroparvus_eg_gene";"agambiae_eg_gene"
"AALB002045";"AATE009220";"AGAP003960"
"AALB004651";"AATE010680";"AGAP006405"
"AALB004651";"AATE017567";"AGAP006405"
"AALB004651";"AATE006407";"AGAP006405"
"AALB014160";"AATE001557";"AGAP009507"
"AALB002126";"AATE011488";"AGAP002200"
"AALB000178";"AATE011786";"AGAP008233"
"AALB015489";"AATE004956";"AGAP008767"
"AALB009759";"AATE010697";"AGAP010351"
"AALB003693";"AATE007542";"AGAP004694"
"AALB000187";"AATE012257";"AGAP008223"
"AALB004074";"AATE001426";"AGAP004855"
"AALB001587";"AATE003600";"AGAP010003"
"AALB015812";"AATE011031";"AGAP007543"
"AALB006215";"AATE015284";"AGAP007578"
"AALB010014";"AATE003769";"AGAP012100"
"AALB009046";"AATE020907";"AGAP002353"
"AALB001749";"AATE000329";"AGAP008427"
"AALB009739";"AATE004648";"AGAP000215"
"AALB007160";"AATE006872";"AGAP003190"
"AALB000166";"AATE012040";"AGAP008247"
"AALB000166";"AATE012040";"AGAP012476"
"AALB015785";"AATE006667";"AGAP009633"
"AALB007277";"AATE016112";"AGAP003139"
"AALB007277";"AATE016112";"AGAP012938"
"AALB004966";"AATE017028";"AGAP006938"
"AALB003212";"AATE019296";"AGAP005198"
"AALB004538";"AATE004696";"AGAP007373"
"AALB001234";"AATE011137";"AGAP010371"
"AALB008580";"AATE020093";"AGAP001727"
"AALB010524";"AATE018036";"AGAP010835"
"AALB003927";"AATE016691";"AGAP003077"
"AALB001504";"AATE002313";"AGAP008132"
"AALB003128";"AATE005050";"AGAP003814"
"AALB004213";"AATE001614";"AGAP005553"
"AALB000668";"AATE015094";"AGAP009889"
"AALB007135";"AATE009939";"AGAP002013"
"AALB007135";"AATE003241";"AGAP002013"
"AALB004362";"AATE012277";"AGAP005216"
"AALB006674";"AATE020065";"AGAP000698"
"AALB003131";"AATE011867";"AGAP003808"
"AALB001055";"AATE003601";"AGAP009946"
"AALB000335";"AATE011479";"AGAP007992"
"AALB015744";"AATE009952";"AGAP006047"
"AALB000706";"AATE007054";"AGAP008518"
"AALB006341";"AATE006230";"AGAP000382"
"AALB015694";"AATE005001";"AGAP006879"
"AALB005537";"AATE017717";"AGAP005549"
"AALB002816";"AATE007563";"AGAP003466"
"AALB001945";"AATE015002";"AGAP009862"
"AALB000847";"AATE014010";"AGAP007955"
"AALB000945";"AATE011816";"AGAP028421"
"AALB009652";"AATE013032";"AGAP002239"
"AALB009212";"AATE015867";"AGAP001274"
"AALB000854";"AATE009908";"AGAP008976"
"AALB005041";"AATE017863";"AGAP006111"
"AALB008969";"AATE009250";"AGAP002712"
"AALB009491";"AATE016509";"AGAP003284"
"AALB006693";"AATE011758";"AGAP000844"
"AALB006693";"AATE016412";"AGAP000844"
"AALB009854";"AATE003043";"AGAP010504"
"AALB009854";"AATE003043";"AGAP010505"
"AALB001872";"AATE013164";"AGAP009647"
"AALB010030";"AATE014743";"AGAP011513"
"AALB009530";"AATE020153";"AGAP003226"
"AALB000894";"AATE007882";"AGAP010008"
"AALB006884";"AATE009214";"AGAP001010"
"AALB003255";"AATE004783";"AGAP006264"
"AALB004288";"AATE020025";"AGAP006017"
"AALB004866";"AATE001622";"AGAP005263"
"AALB003405";"AATE009237";"AGAP001601"
"AALB002753";"AATE012585";"AGAP002394"
"AALB009683";"AATE021032";"AGAP002607"
"AALB009227";"AATE007063";"AGAP001512"
"AALB005916";"AATE010791";"AGAP006375"
"AALB005097";"AATE001747";"AGAP005493"
"AALB004125";"AATE012077";"AGAP006676"
"AALB007770";"AATE016320";"AGAP000724"
"AALB006445";"AATE018948";"AGAP000540"
"AALB001317";"AATE002743";"AGAP009952"
"AALB001114";"AATE017787";"AGAP008729"
"AALB006057";"AATE007281";"AGAP006100"
"AALB007839";"AATE005166";"AGAP010173"
"AALB009906";"AATE008997";"AGAP012175"
"AALB005589";"AATE001993";"AGAP006622"
"AALB009171";"AATE012121";"AGAP002529"
"AALB002759";"AATE013682";"AGAP002952"
"AALB004946";"AATE008393";"AGAP005547"
"AALB004946";"AATE008393";"AGAP007159"
"AALB004946";"AATE008393";"AGAP005548"
"AALB004946";"AATE008393";"AGAP007158"
"AALB004946";"AATE014772";"AGAP005547"
"AALB004946";"AATE014772";"AGAP007159"
"AALB004946";"AATE014772";"AGAP005548"
"AALB004946";"AATE014772";"AGAP007158"
"AALB004946";"AATE013088";"AGAP005547"
"AALB004946";"AATE013088";"AGAP007159"
"AALB004946";"AATE013088";"AGAP005548"
"AALB004946";"AATE013088";"AGAP007158"
"AALB004946";"AATE011873";"AGAP005547"
"AALB004946";"AATE011873";"AGAP007159"
"AALB004946";"AATE011873";"AGAP005548"
"AALB004946";"AATE011873";"AGAP007158"
"AALB000328";"AATE005232";"AGAP007985"
"AALB003925";"AATE001708";"AGAP001613"
"AALB009490";"AATE006218";"AGAP012769"
"AALB009490";"AATE006218";"AGAP003285"
"AALB010520";"AATE014496";"AGAP011801"
"AALB010520";"AATE015419";"AGAP011801"
"AALB010520";"AATE008333";"AGAP011801"
"AALB010520";"AATE014555";"AGAP011801"
"AALB006081";"AATE019660";"AGAP012708"
"AALB006081";"AATE019660";"AGAP005061"
"AALB010415";"AATE015330";"AGAP010611"
"AALB007980";"AATE003124";"AGAP028125"
"AALB006872";"AATE002936";"AGAP000203"
"AALB004958";"AATE012237";"AGAP005351"
"AALB000750";"AATE019352";"AGAP028182"
"AALB000750";"AATE019352";"AGAP012173"
"AALB008506";"AATE020607";"AGAP028522"
"AALB003326";"AATE006815";"AGAP000942"
"AALB006080";"AATE009552";"AGAP005062"
"AALB007609";"AATE007914";"AGAP010444"
"AALB010027";"AATE000933";"AGAP012858"
"AALB010027";"AATE000933";"AGAP011519"
"AALB000686";"AATE000388";"AGAP028076"
"AALB006384";"AATE011572";"AGAP000964"
"AALB006382";"AATE000460";"AGAP000966"
"AALB010100";"AATE016041";"AGAP011570"
"AALB001881";"AATE013252";"AGAP008295"
"AALB001881";"AATE013252";"AGAP008292"
"AALB001881";"AATE013252";"AGAP008296"
"AALB001881";"AATE013252";"AGAP008294"
"AALB001881";"AATE013252";"AGAP012842"
"AALB001881";"AATE013252";"AGAP008291"
"AALB001881";"AATE013252";"AGAP008293"
"AALB001881";"AATE013252";"AGAP008290"
"AALB000985";"AATE012290";"AGAP008098"
"AALB010382";"AATE012619";"AGAP011832"
"AALB009368";"AATE014327";"AGAP001208"
"AALB014862";"AATE005028";"AGAP004182"
"AALB002458";"AATE005684";"AGAP001592"
"AALB002458";"AATE005684";"AGAP012824"
"AALB007743";"AATE008091";"AGAP000666"
"AALB007743";"AATE016621";"AGAP000666"
"AALB008929";"AATE020333";"AGAP004476"
"AALB005112";"AATE011213";"AGAP007443"
"AALB003216";"AATE006120";"AGAP005207"
"AALB003216";"AATE004418";"AGAP005207"
"AALB001713";"AATE005740";"AGAP009104"
"AALB005567";"AATE001500";"AGAP007211"
"AALB007850";"AATE004569";"AGAP010205"
"AALB007602";"AATE016865";"AGAP010437"
"AALB010671";"AATE007024";"AGAP011749"
"AALB003846";"AATE018800";"AGAP011614"
"AALB008196";"AATE003253";"AGAP001759"
"AALB004484";"AATE006373";"AGAP007698"
"AALB015596";"AATE021695";"AGAP013083"
"AALB015596";"AATE021695";"AGAP013261"
"AALB003550";"AATE009845";"AGAP004517"
"AALB003281";"AATE013816";"AGAP013248"
"AALB002237";"AATE019518";"AGAP001862"
"AALB000995";"AATE016973";"AGAP008377"
"AALB001896";"AATE000030";"AGAP009002"
"AALB008440";"AATE020181";"AGAP002708"
"AALB008440";"AATE020181";"AGAP002707"
"AALB003494";"AATE014730";"AGAP004424"
"AALB007889";"AATE005641";"AGAP006187"
"AALB008118";"AATE001646";"AGAP001749"
"AALB008594";"AATE002242";"AGAP001740"
"AALB004212";"AATE006017";"AGAP005552"
"AALB004273";"AATE017842";"AGAP005994"
"AALB010039";"AATE010624";"AGAP028523"
"AALB002797";"AATE019829";"AGAP004060"
"AALB005907";"AATE001439";"AGAP005339"
"AALB005907";"AATE001439";"AGAP005337"
"AALB007043";"AATE019788";"AGAP011172"
"AALB000023";"AATE009839";"AGAP009596"
"AALB004858";"AATE004880";"AGAP004832"
"AALB005257";"AATE014214";"AGAP006574"
"AALB009199";"AATE012323";"AGAP001290"
"AALB005335";"AATE007571";"AGAP005370"
"AALB001698";"AATE018427";"AGAP009116"
"AALB004699";"AATE017387";"AGAP006959"
"AALB004699";"AATE017387";"AGAP006961"
"AALB004699";"AATE017387";"AGAP006958"
"AALB004699";"AATE014990";"AGAP006959"
"AALB004699";"AATE014990";"AGAP006961"
"AALB004699";"AATE014990";"AGAP006958"
"AALB002343";"AATE006097";"AGAP013446"
"AALB008994";"AATE003748";"AGAP007415"
"AALB008994";"AATE003748";"AGAP002849"
"AALB001757";"AATE006169";"AGAP028554"
"AALB004884";"AATE017934";"AGAP005890"
"AALB001883";"AATE020640";"AGAP009638"
"AALB001883";"AATE002104";"AGAP009638"
"AALB010289";"AATE018105";"AGAP011859"
"AALB009195";"AATE003480";"AGAP001293"
"AALB005183";"AATE006022";"AGAP006459"
"AALB006683";"AATE021100";"AGAP000881"
"AALB000899";"AATE013419";"AGAP008644"
"AALB007314";"AATE000016";"AGAP004943"
"AALB002983";"AATE006252";"AGAP004544"
"AALB005781";"AATE001122";"AGAP005971"
"AALB001335";"AATE013313";"AGAP009542"
"AALB006883";"AATE015765";"AGAP001008"
"AALB002600";"AATE004327";"AGAP003369"
"AALB002600";"AATE003871";"AGAP003369"
"AALB009351";"AATE020731";"AGAP001227"
"AALB009122";"AATE004969";"AGAP003012"
"AALB001879";"AATE018380";"AGAP009640"
"AALB001879";"AATE020646";"AGAP009640"
"AALB009937";"AATE017784";"AGAP011968"
"AALB004372";"AATE018517";"AGAP005306"
"AALB006607";"AATE016682";"AGAP000433"
"AALB003762";"AATE006647";"AGAP011533"
"AALB009515";"AATE012180";"AGAP003252"
"AALB001544";"AATE012810";"AGAP008304"
"AALB010576";"AATE013818";"AGAP011214"
"AALB015693";"AATE015192";"AGAP006875"
"AALB015693";"AATE015192";"AGAP006877"
"AALB015693";"AATE015192";"AGAP006874"
"AALB015693";"AATE015192";"AGAP006876"
"AALB015693";"AATE005925";"AGAP006875"
"AALB015693";"AATE005925";"AGAP006877"
"AALB015693";"AATE005925";"AGAP006874"
"AALB015693";"AATE005925";"AGAP006876"
"AALB002396";"AATE013130";"AGAP002759"
"AALB000837";"AATE012884";"AGAP007966"
"AALB003495";"AATE003265";"AGAP004428"
"AALB003495";"AATE003265";"AGAP004426"
"AALB001330";"AATE015869";"AGAP009536"
"AALB000357";"AATE013688";"AGAP013772"
"AALB015828";"AATE002834";"AGAP007580"
"AALB007499";"AATE017399";"AGAP004734"
"AALB005167";"AATE016545";"AGAP007521"
"AALB001568";"AATE009487";"AGAP009824"
"AALB000007";"AATE015136";"AGAP008961"
"AALB008823";"AATE006640";"AGAP001898"
"AALB009335";"AATE007816";"AGAP001239"
"AALB002280";"AATE008791";"AGAP002780"
"AALB005184";"AATE005772";"AGAP006456"
"AALB009378";"AATE012631";"AGAP001200"
"AALB008997";"AATE017749";"AGAP002875"
"AALB001997";"AATE020822";"AGAP009871"
"AALB001824";"AATE019268";"AGAP028228"
"AALB006248";"AATE012255";"AGAP007642"
"AALB007842";"AATE003485";"AGAP010197"
"AALB003905";"AATE009382";"AGAP002274"
"AALB003999";"AATE010096";"AGAP010482"
"AALB002066";"AATE002596";"AGAP002364"
"AALB004412";"AATE000977";"AGAP006657"
"AALB001072";"AATE009947";"AGAP009053"
"AALB010499";"AATE000930";"AGAP012321"
"AALB002521";"AATE009227";"AGAP003542"
"AALB006945";"AATE020937";"AGAP000688"
"AALB009454";"AATE020786";"AGAP004186"
"AALB008443";"AATE004594";"AGAP013309"
"AALB008873";"AATE004538";"AGAP003289"
"AALB009821";"AATE015961";"AGAP011462"
"AALB005794";"AATE010373";"AGAP005955"
"AALB005568";"AATE016521";"AGAP007212"
"AALB000796";"AATE010203";"AGAP009770"
"AALB008094";"AATE015739";"AGAP002041"
"AALB007155";"AATE019338";"AGAP003197"
"AALB007155";"AATE019338";"AGAP003195"
"AALB009806";"AATE003296";"AGAP011446"
"AALB001668";"AATE007844";"AGAP009142"
"AALB001744";"AATE000544";"AGAP008417"
"AALB002663";"AATE007336";"AGAP002251"
"AALB008974";"AATE010185";"AGAP003899"
"AALB003816";"AATE010996";"AGAP012393"
"AALB006284";"AATE017716";"AGAP000180"
"AALB001731";"AATE005509";"AGAP009237"
"AALB003898";"AATE001877";"AGAP010398"
"AALB007268";"AATE001299";"AGAP003131"
"AALB008098";"AATE009844";"AGAP002043"
"AALB001762";"AATE018649";"AGAP009316"
"AALB010564";"AATE019740";"AGAP011204"
"AALB005313";"AATE006238";"AGAP006829"
"AALB015561";"AATE002297";"AGAP001443"
"AALB000099";"AATE015934";"AGAP009742"
"AALB003507";"AATE008176";"AGAP002654"
"AALB006940";"AATE008628";"AGAP000639"
"AALB004645";"AATE017756";"AGAP028395"
"AALB010531";"AATE011558";"AGAP012995"
"AALB010531";"AATE011558";"AGAP013366"
"AALB010531";"AATE011558";"AGAP013463"
"AALB014273";"AATE017974";"AGAP012967"
"AALB014273";"AATE017974";"AGAP012917"
"AALB015826";"AATE016217";"AGAP005523"
"AALB004085";"AATE019956";"AGAP000951"
"AALB002295";"AATE004978";"AGAP002795"
"AALB002295";"AATE017914";"AGAP002795"
"AALB009407";"AATE007990";"AGAP001175"
"AALB001393";"AATE011316";"AGAP007939"
"AALB001246";"AATE010356";"AGAP010359"
"AALB005125";"AATE013968";"AGAP007461"
"AALB002388";"AATE019060";"AGAP002913"
"AALB008305";"AATE014154";"AGAP004366"
"AALB007610";"AATE004586";"AGAP010445"
"AALB010556";"AATE020538";"AGAP028501"
"AALB000881";"AATE008842";"AGAP010024"
"AALB000881";"AATE008842";"AGAP010021"
"AALB002472";"AATE001263";"AGAP001573"
"AALB015496";"AATE018753";"AGAP002722"
"AALB008691";"AATE004178";"AGAP004438"
"AALB004263";"AATE014627";"AGAP005884"
"AALB015843";"AATE001848";"AGAP010212"
"AALB010098";"AATE005735";"AGAP011572"
"AALB001924";"AATE006855";"AGAP008035"
"AALB001949";"AATE007747";"AGAP009347"
"AALB009958";"AATE018321";"AGAP012229"
"AALB002624";"AATE011686";"AGAP002097"
"AALB010364";"AATE020581";"AGAP011757"
"AALB008279";"AATE016066";"AGAP002194"
"AALB008058";"AATE003418";"AGAP000291"
"AALB008058";"AATE011495";"AGAP000291"
"AALB008483";"AATE020807";"AGAP010697"
"AALB002304";"AATE009341";"AGAP001440"
"AALB006823";"AATE011455";"AGAP012964"
"AALB000508";"AATE017601";"AGAP009575"
"AALB003037";"AATE003607";"AGAP003746"
"AALB001831";"AATE016396";"AGAP028054"
"AALB002987";"AATE001586";"AGAP004534"
"AALB004930";"AATE001159";"AGAP006139"
"AALB002084";"AATE017788";"AGAP004166"
"AALB009363";"AATE010947";"AGAP001212"
"AALB007212";"AATE020491";"AGAP003506"
"AALB001077";"AATE019101";"AGAP010049"
"AALB009648";"AATE019900";"AGAP002248"
"AALB003891";"AATE018768";"AGAP012523"
"AALB006253";"AATE002191";"AGAP007647"
"AALB001147";"AATE003981";"AGAP009905"
"AALB006388";"AATE012318";"AGAP000715"
"AALB003146";"AATE018647";"AGAP003796"
"AALB015748";"AATE005738";"AGAP028060"
"AALB010377";"AATE000055";"AGAP011838"
"AALB001967";"AATE003002";"AGAP007740"
"AALB006375";"AATE007528";"AGAP000367"
"AALB010833";"AATE013989";"AGAP011778"
"AALB005023";"AATE002289";"AGAP007038"
"AALB005857";"AATE006178";"AGAP007140"
"AALB004468";"AATE015712";"AGAP005800"
"AALB006455";"AATE005699";"AGAP000528"
"AALB008238";"AATE019109";"AGAP002553"
"AALB006493";"AATE001608";"AGAP000551"
"AALB008290";"AATE007033";"AGAP001418"
"AALB006164";"AATE015939";"AGAP006766"
"AALB007928";"AATE019794";"AGAP010108"
"AALB007928";"AATE019794";"AGAP010121"
"AALB007928";"AATE019794";"AGAP010104"
"AALB007928";"AATE019794";"AGAP010102"
"AALB007928";"AATE019794";"AGAP010107"
"AALB007928";"AATE019794";"AGAP010105"
"AALB007928";"AATE019794";"AGAP010106"
"AALB007928";"AATE019794";"AGAP010103"
"AALB008895";"AATE010818";"AGAP002809"
"AALB008389";"AATE019308";"AGAP004218"
"AALB005449";"AATE000182";"AGAP007537"
"AALB000292";"AATE005041";"AGAP009934"
"AALB001986";"AATE007656";"AGAP007852"
"AALB002420";"AATE019917";"AGAP013029"
"AALB010625";"AATE002275";"AGAP010845"
"AALB015787";"AATE009301";"AGAP007851"
"AALB009580";"AATE004654";"AGAP001315"
"AALB006634";"AATE007386";"AGAP013356"
"AALB010875";"AATE000347";"AGAP003686"
"AALB015750";"AATE021713";"AGAP013272"
"AALB015750";"AATE014322";"AGAP013272"
"AALB009546";"AATE017748";"AGAP003206"
"AALB015513";"AATE001791";"AGAP010336"
"AALB005398";"AATE007092";"AGAP007617"
"AALB007358";"AATE015044";"AGAP010321"
"AALB006188";"AATE008825";"AGAP028461"
"AALB010196";"AATE006099";"AGAP012237"
"AALB008364";"AATE017183";"AGAP002642"
"AALB000744";"AATE009649";"AGAP007731"
"AALB005015";"AATE007123";"AGAP007044"
"AALB010105";"AATE015309";"AGAP011565"
"AALB006321";"AATE000623";"AGAP000983"
"AALB004815";"AATE005662";"AGAP005394"
"AALB006908";"AATE003951";"AGAP000558"
"AALB003289";"AATE004025";"AGAP013101"
"AALB000362";"AATE001944";"AGAP009041"
"AALB009095";"AATE020901";"AGAP002985"
"AALB001724";"AATE007052";"AGAP009087"
"AALB006673";"AATE006348";"AGAP000697"
"AALB000753";"AATE015091";"AGAP008764"
"AALB007740";"AATE020292";"AGAP010271"
"AALB009564";"AATE004163";"AGAP003941"
"AALB000991";"AATE018692";"AGAP008105"
"AALB006281";"AATE001231";"AGAP028653"
"AALB002150";"AATE001015";"AGAP012556"
"AALB009868";"AATE010587";"AGAP010922"
"AALB002224";"AATE015316";"AGAP001824"
"AALB005229";"AATE012388";"AGAP006521"
"AALB005752";"AATE002992";"AGAP007386"
"AALB000360";"AATE004186";"AGAP009042"
"AALB006679";"AATE005125";"AGAP000853"
"AALB002188";"AATE012787";"AGAP001984"
"AALB007350";"AATE002846";"AGAP005091"
"AALB010739";"AATE016403";"AGAP010648"
"AALB007679";"AATE000263";"AGAP000958"
"AALB006572";"AATE015902";"AGAP000445"
"AALB010217";"AATE011126";"AGAP027981"
"AALB010217";"AATE011126";"AGAP011719"
"AALB010217";"AATE011126";"AGAP012020"
"AALB010217";"AATE011126";"AGAP012021"
"AALB010217";"AATE011126";"AGAP012022"
"AALB010217";"AATE011126";"AGAP012502"
"AALB010217";"AATE011126";"AGAP012504"
"AALB010217";"AATE011126";"AGAP028075"
"AALB002844";"AATE015509";"AGAP003431"
"AALB014159";"AATE018030";"AGAP009508"
"AALB009970";"AATE003645";"AGAP012340"
"AALB009970";"AATE003645";"AGAP013360"
"AALB009970";"AATE003645";"AGAP000628"
"AALB005332";"AATE002200";"AGAP006871"
"AALB001302";"AATE001218";"AGAP008274"
"AALB002719";"AATE010698";"AGAP001947"
"AALB004375";"AATE020567";"AGAP005300"
"AALB002057";"AATE012117";"AGAP001620"
"AALB000337";"AATE018930";"AGAP013715"
"AALB003504";"AATE014382";"AGAP002656"
"AALB000243";"AATE008225";"AGAP007769"
"AALB000474";"AATE001508";"AGAP008848"
"AALB007132";"AATE006160";"AGAP002016"
"AALB001164";"AATE005766";"AGAP028144"
"AALB000421";"AATE014059";"AGAP009350"
"AALB009450";"AATE004892";"AGAP004189"
"AALB009450";"AATE004892";"AGAP004195"
"AALB009936";"AATE012012";"AGAP011967"
"AALB010361";"AATE013060";"AGAP011252"
"AALB004964";"AATE017039";"AGAP006941"
"AALB004918";"AATE000530";"AGAP006925"
"AALB004918";"AATE005474";"AGAP006925"
"AALB009226";"AATE008380";"AGAP001513"
"AALB004350";"AATE001988";"AGAP005229"
"AALB008900";"AATE006718";"AGAP002815"
"AALB004919";"AATE017163";"AGAP005584"
"AALB000013";"AATE007573";"AGAP028118"
"AALB000013";"AATE007573";"AGAP028020"
"AALB000013";"AATE007573";"AGAP028195"
"AALB009299";"AATE010488";"AGAP001109"
"AALB001169";"AATE002026";"AGAP028220"
"AALB004342";"AATE019213";"AGAP005238"
"AALB009172";"AATE011907";"AGAP002530"
"AALB004279";"AATE000914";"AGAP006006"
"AALB001983";"AATE005347";"AGAP007854"
"AALB003579";"AATE009243";"AGAP001647"
"AALB000573";"AATE010701";"AGAP009658"
"AALB007795";"AATE020488";"AGAP000841"
"AALB002977";"AATE011228";"AGAP004551"
"AALB009365";"AATE006721";"AGAP013011"
"AALB008865";"AATE010798";"AGAP001687"
"AALB004599";"AATE005971";"AGAP005600"
"AALB003386";"AATE020912";"AGAP003409"
"AALB003189";"AATE010340";"AGAP005163"
"AALB000346";"AATE020574";"AGAP009598"
"AALB010335";"AATE000522";"AGAP011426"
"AALB005878";"AATE006231";"AGAP005121"
"AALB001371";"AATE013607";"AGAP007905"
"AALB003899";"AATE006708";"AGAP010399"
"AALB010814";"AATE008564";"AGAP028632"
"AALB005188";"AATE019588";"AGAP006451"
"AALB000299";"AATE013172";"AGAP009303"
"AALB006963";"AATE010980";"AGAP010881"
"AALB002207";"AATE021193";"AGAP001807"
"AALB002207";"AATE010852";"AGAP001807"
"AALB007641";"AATE016081";"AGAP000884"
"AALB008331";"AATE018787";"AGAP012643"
"AALB008331";"AATE018787";"AGAP013073"
"AALB003513";"AATE000776";"AGAP013321"
"AALB004494";"AATE018098";"AGAP007339"
"AALB005999";"AATE020840";"AGAP005845"
"AALB007553";"AATE001123";"AGAP028223"
"AALB002105";"AATE013898";"AGAP002329"
"AALB010216";"AATE012082";"AGAP010544"
"AALB004602";"AATE012310";"AGAP005603"
"AALB004602";"AATE012310";"AGAP005602"
"AALB009458";"AATE007170";"AGAP004181"
"AALB003967";"AATE012598";"AGAP012115"
"AALB000009";"AATE014935";"AGAP008959"
"AALB002247";"AATE001620";"AGAP002149"
"AALB007540";"AATE020466";"AGAP012525"
"AALB007540";"AATE020466";"AGAP010318"
"AALB009959";"AATE019840";"AGAP012227"
"AALB003929";"AATE003569";"AGAP003075"
"AALB009699";"AATE012875";"AGAP004579"
"AALB000658";"AATE007375";"AGAP008986"
"AALB010464";"AATE009424";"AGAP011334"
"AALB002498";"AATE002230";"AGAP003772"
"AALB006431";"AATE007879";"AGAP000130"
"AALB002843";"AATE008094";"AGAP003432"
"AALB009950";"AATE005195";"AGAP028498"
"AALB002780";"AATE006849";"AGAP003715"
"AALB000720";"AATE016977";"AGAP008501"
"AALB001431";"AATE007221";"AGAP009205"
"AALB005024";"AATE006737";"AGAP007039"
"AALB009219";"AATE009415";"AGAP002505"
"AALB014010";"AATE000192";"AGAP009700"
"AALB009390";"AATE012507";"AGAP001190"
"AALB006682";"AATE008218";"AGAP000461"
"AALB009160";"AATE013498";"AGAP001514"
"AALB005782";"AATE020596";"AGAP005967"
"AALB005782";"AATE020596";"AGAP005968"
"AALB005782";"AATE020596";"AGAP005969"
"AALB005782";"AATE020596";"AGAP005966"
"AALB005782";"AATE008605";"AGAP005967"
"AALB005782";"AATE008605";"AGAP005968"
"AALB005782";"AATE008605";"AGAP005969"
"AALB005782";"AATE008605";"AGAP005966"
"AALB005782";"AATE018830";"AGAP005967"
"AALB005782";"AATE018830";"AGAP005968"
"AALB005782";"AATE018830";"AGAP005969"
"AALB005782";"AATE018830";"AGAP005966"
"AALB004776";"AATE009943";"AGAP005899"
"AALB000046";"AATE020920";"AGAP007834"
"AALB006895";"AATE005673";"AGAP000262"
"AALB001644";"AATE018429";"AGAP009450"
"AALB001644";"AATE012722";"AGAP009450"
"AALB004436";"AATE006214";"AGAP006050"
"AALB008333";"AATE018787";"AGAP012643"
"AALB008333";"AATE018787";"AGAP013073"
"AALB000285";"AATE011116";"AGAP009931"
"AALB005764";"AATE020603";"AGAP007108"
"AALB002490";"AATE017885";"AGAP003766"
"AALB005439";"AATE017613";"AGAP007657"
"AALB005888";"AATE002122";"AGAP005133"
"AALB000146";"AATE004367";"AGAP009232"
"AALB008928";"AATE020647";"AGAP004477"
"AALB009382";"AATE013125";"AGAP013230"
"AALB007638";"AATE004833";"AGAP000104"
"AALB006929";"AATE016003";"AGAP000328"
"AALB004009";"AATE013449";"AGAP010345"
"AALB007123";"AATE013609";"AGAP003094"
"AALB005243";"AATE004321";"AGAP006540"
"AALB006172";"AATE016524";"AGAP006756"
"AALB007431";"AATE014921";"AGAP011281"
"AALB000344";"AATE017961";"AGAP009600"
"AALB003655";"AATE006076";"AGAP003323"
"AALB006932";"AATE011959";"AGAP000320"
"AALB004676";"AATE016950";"AGAP006227"
"AALB006942";"AATE001169";"AGAP000635"
"AALB002671";"AATE008620";"AGAP001959"
"AALB004382";"AATE008484";"AGAP005297"
"AALB001918";"AATE015327";"AGAP008041"
"AALB007364";"AATE006208";"AGAP027999"
"AALB001541";"AATE009597";"AGAP008308"
"AALB015751";"AATE007187";"AGAP011326"
"AALB010716";"AATE012341";"AGAP010765"
"AALB010716";"AATE012341";"AGAP010766"
"AALB010716";"AATE001559";"AGAP010765"
"AALB010716";"AATE001559";"AGAP010766"
"AALB007999";"AATE018512";"AGAP008977"
"AALB007458";"AATE002772";"AGAP004696"
"AALB000982";"AATE018998";"AGAP008095"
"AALB005853";"AATE013485";"AGAP007146"
"AALB000981";"AATE001126";"AGAP008094"
"AALB009841";"AATE007097";"AGAP010490"
"AALB007659";"AATE011817";"AGAP000787"
